source,journal,doi,title,url,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files
plos,plosone,10.1371/journal.pone.0314978,Health-related quality of life in a large cohort of patients with cardiac implantable electronic devices A registry-based study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0314978,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"The data utilized in this study are subject to ethical restrictions and are provided by the Swedish ICD and Pacemaker Registry. Access to these data is available upon request, contingent upon the submission of ethical approval. For further information and to request access to the data, please visit ",,,,,,,
plos,plosone,10.1371/journal.pone.0123798,Defining the Minimal Important Difference for the Visual Analogue Scale Assessing Dyspnea in Patients with Malignant Pleural Effusions,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0123798,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper and supporting information files.,,,,,,,
plos,plosone,10.1371/journal.pone.0207290,Discriminating severe seasonal allergic rhinitis. Results from a large nation-wide database,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0207290,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"For detailed data, current French regulation in agreement with EC GDPR does not allow to share them publically, but they are all available at our lab. Data set used to reach the conclusions drawn in the manuscript with related metadata and methods, and any additional data required to replicate the r",,,,,,,
plos,plosone,10.1371/journal.pone.0306405,Investigating the efficacy of transcranial direct current stimulation on chronic pain management in endometriosis patients: A randomized controlled trial protocol,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0306405,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,No datasets were generated or analysed during the current study. All relevant data from this study will be made available upon study completion.,,,,,,,
plos,plosone,10.1371/journal.pone.0148856,Construct Validity of the SF-12v2 for the Homeless Population with Mental Illness: An Instrument to Measure Self-Reported Mental and Physical Health,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0148856,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,The authors confirm that all data underlying the findings are fully available. All relevant data are within the paper.,,,,,,,
plos,plosone,10.1371/journal.pone.0099485,Is the Pain Visual Analogue Scale Linear and Responsive to Change? An Exploration Using Rasch Analysis,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0099485,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,plosone,10.1371/journal.pone.0094754,Effects of Changes in Water Intake on Mood of High and Low Drinkers,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0094754,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,plosone,10.1371/journal.pone.0190056,What is a good result after clubfoot treatment? A Delphi-based consensus on success by regional clubfoot trainers from across Africa,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0190056,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper and its Supporting Information files.,,,,,,,
plos,plosone,10.1371/journal.pone.0144325,"A Randomized, Single-Blind, Placebo-Controlled Study on the Efficacy of the Arthrokinematic Approach-Hakata Method in Patients with Chronic Nonspecific Low Back Pain",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0144325,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"Due to ethical restrictions, data are available upon request. Interested researchers may submit requests for data to the Corresponding Author, Akira Kogure, ( anakin_kogure@ybb.ne.jp ), Physical Medicine and Rehabilitation, Sakura Orthopedic Hospital, Chiba, Japan.",,,,,,,
plos,plosone,10.1371/journal.pone.0197630,An observational study: The utility of perfusion index as a discharge criterion for pain assessment in the postanesthesia care unit,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0197630,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper and its Supporting Information files.,,,,,,,
plos,plosone,10.1371/journal.pone.0099891,Preference for Different Anchor Descriptors on Visual Analogue Scales among Japanese Patients with Chronic Pain,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0099891,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,plosone,10.1371/journal.pone.0178948,At-risk and intervention thresholds of occupational stress using a visual analogue scale,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0178948,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Titles of columns are written without abbreviations.   https",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0178948_S1_Database.xlsx,9500,500,19,1.0,0
plos,plosone,10.1371/journal.pone.0151972,Quantitative and Qualitative Responses to Topical Cold in Healthy Caucasians Show Variance between Individuals but High Test-Retest Reliability,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0151972,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://figshare.com/s/b082bfe0a5f353b8d8c0,Data files are available from the Figshare database ( https://figshare.com/s/b082bfe0a5f353b8d8c0 ).,https://figshare.com/s/b082bfe0a5f353b8d8c0,,,,,,
plos,plosone,10.1371/journal.pone.0218988,Left-handers know what’s left is right: Handedness and object affordance,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0218988,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,Data are available on Open Science Framework ( osf.io/d4pt7 ).,,,,,,,
plos,plosone,10.1371/journal.pone.0023494,Reduction of Claustrophobia with Short-Bore versus Open Magnetic Resonance Imaging: A Randomized Controlled Trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0023494,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,plosone,10.1371/journal.pone.0099696,Self-Relevant Disgust and Self-Harm Urges in Patients with Borderline Personality Disorder and Depression: A Pilot Study with a Newly Designed Psychological Challenge,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0099696,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,plosone,10.1371/journal.pone.0229558,Pneumococcal colonisation is an asymptomatic event in healthy adults using an experimental human colonisation model,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0229558,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper and its Supporting Information files.,,,,,,,
plos,plosone,10.1371/journal.pone.0132779,The Relationship between Visual Impairment and Health-Related Quality of Life in Korean Adults: The Korea National Health and Nutrition Examination Survey (2008–2012),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0132779,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper.,,,,,,,
plos,plosone,10.1371/journal.pone.0139432,A Randomized Controlled Trial on the Effect of Needle Gauge on the Pain and Anxiety Experienced during Radial Arterial Puncture,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0139432,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper and its Supporting Information files.,,,,,,,
plos,plosone,10.1371/journal.pone.0196917,The provision of written information and its effect on levels of pain and anxiety during electrodiagnostic studies: A randomised controlled trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0196917,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper and its Supporting Information files.,,,,,,,
plos,plosone,10.1371/journal.pone.0202427,"Features of patients with rheumatoid arthritis whose debut joint is a foot or ankle joint: A 5,479-case study from the IORRA cohort",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0202427,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"Data are from the IORRA study. Accessing raw data of the study is restricted by the ethical committee of Tokyo Women's Medical University as participants did not provide consent for public data sharing. Interested, qualified researchers may request these data by contacting Prof. Masayoshi Harigai at",,,,,,,
plos,plosone,10.1371/journal.pone.0046796,Can a One-Item Mood Scale Do the Trick? Predicting Relapse over 5.5-Years in Recurrent Depression,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0046796,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,plosone,10.1371/journal.pone.0168338,Auricular Acupuncture for Exam Anxiety in Medical Students—A Randomized Crossover Investigation,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0168338,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Study Data.   https://doi.org/10.1371/journal.pone.0168338.s",All relevant data are within the paper and its Supporting Information files. The raw data is given in SPSS table as  S3 File .,,journal.pone.0168338_S3_File.sav,3494,44,85,0.9342,0
plos,plosone,10.1371/journal.pone.0091733,Assessment of Cancer Therapy-Induced Oral Mucositis Using a Patient-Reported Oral Mucositis Experience Questionnaire,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0091733,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,plosone,10.1371/journal.pone.0282115,Localization diagnosis of low back pain in a population-based study of a Japanese mountain village,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0282115,cc-by,not_item_response,"Does NOT look like item-response data — not a candidate for IRW. | only 8 distinct ids (too few to be respondents) | 100% of responses are unique (real items reuse a small scale; this looks like a results table) | 83% of resp values are non-integer — ordinal item responses are almost always integer-valued | SI caption: LBP location, QOL scores, comorbidities.   https://doi.org/1",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0282115_S1_Table.xlsx,84,8,7,1.5,2
plos,plosone,10.1371/journal.pone.0326680,"Effects of pressure garments of varying designs on upper extremity sensorimotor functions and quality of life after stroke: Study protocol for a multicenter, double-blind, prospective randomized controlled trial",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0326680,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,No datasets were generated or analysed during the current study.,,,,,,,
plos,plosone,10.1371/journal.pone.0323132,Clinical validation of the Unesp-Botucatu acute pain scale in sheep undergoing orthopedic surgery,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0323132,cc-by,download_failed,No such keys(s): 'io.excel.zip.reader',All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0323132_S1_Appendix.xlsx,,,,,
plos,plosone,10.1371/journal.pone.0344948,Therapeutic efficacy of nimodipine and topiramate on migraine and vestibular migraine; A prospective multicenter open-label study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0344948,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,The data supporting the findings of this study are not publicly available due to institutional and ethical restrictions but are available from the Institutional Review Board (IRB) / Data Access Committee of Pusan National University Hospital upon reasonable request. Requests for data access should b,,,,,,,
plos,plosone,10.1371/journal.pone.0247653,Cervical transcutaneous vagal neuromodulation in chronic pancreatitis patients with chronic pain: A randomised sham controlled clinical trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0247653,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://doi.org/10.6084/m9.figshare.14009030,Data is available at  https://doi.org/10.6084/m9.figshare.14009030 .,https://doi.org/10.6084/m9.figshare.14009030,,,,,,
plos,plosone,10.1371/journal.pone.0030123,"Interleukin-1 Inhibition and Fatigue in Primary Sjögren's Syndrome – A Double Blind, Randomised Clinical Trial",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0030123,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,plosone,10.1371/journal.pone.0270212,"Effects of Tai Chi on the quality of life, mental wellbeing, and physical function of adults with chronic diseases: Protocol for a single-blind, two-armed, randomised controlled trial",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0270212,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data from this study will be made available upon study completion.,,,,,,,
plos,plosone,10.1371/journal.pone.0274377,Evaluation of patients’ satisfaction with bronchoscopy procedure,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0274377,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Unnamed: 0' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', '1 <66', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unn","The shared database in is an anonymized version - it doesn't have patients' names, surnames, and PESEL Numbers [Polish acronym for ""Universal Electronic System for Registration of the Population”]. All other data is available in the shared database. For a full database please contact the Science Dep",,journal.pone.0274377_S1_Data.xlsx,,,,,0
plos,plosone,10.1371/journal.pone.0071529,Copper Bracelets and Magnetic Wrist Straps for Rheumatoid Arthritis – Analgesic and Anti-Inflammatory Effects: A Randomised Double-Blind Placebo Controlled Crossover Trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0071529,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,plosone,10.1371/journal.pone.0246890,Comparisons of fatigue between dialysis modalities: A cross-sectional study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0246890,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the manuscript and its  Supporting Information  files.,,,,,,,
plos,plosone,10.1371/journal.pone.0123898,The Relationship between Regular Sports Participation and Vigilance in Male and Female Adolescents,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0123898,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper.,,,,,,,
plos,plosone,10.1371/journal.pone.0316159,Validation of visual analog scales of mood and anxiety at the workplace,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316159,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://osf.io/6vcsg/?view_only=3f4a891812544f1999da8caaba674c28,"All files are available from the ""Validation of VAS Anxiety and Depression"" database (URL  https://osf.io/6vcsg/?view_only=3f4a891812544f1999da8caaba674c28 ).",https://osf.io/6vcsg/?view_only=3f4a891812544f1999da8caaba674c28,,,,,,
plos,plosone,10.1371/journal.pone.0141230,Pulmonary Impairment in Tuberculosis Survivors: The Korean National Health and Nutrition Examination Survey 2008-2012,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0141230,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,Data are available from the Korean National Health and Nutrition Examination Survey (Korean NHANES) Institutional Data Access / Ethics Committee for researchers who meet the criteria for access to confidential data.,,,,,,,
plos,plosone,10.1371/journal.pone.0174527,The influence of sagittal profile alteration and final lordosis on the clinical outcome of cervical spondylotic myelopathy. A Delta-Omega-analysis,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0174527,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: The anonymised data.   https://doi.org/10.1371/journal.pone.",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0174527_S2_File.xls,1711,102,17,0.9867,0
plos,plosone,10.1371/journal.pone.0262703,A tranquil virtual reality experience to reduce subjective stress among COVID-19 frontline healthcare workers,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0262703,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,The data underlying the results presented in the study are available from the OhioHealth Research Institute (contact: 1.614.566.1250;  https://www.ohiohealth.com/ohiohealth-research-and-innovation-institute/about-us ).,,,,,,,
plos,plosone,10.1371/journal.pone.0269988,Successful outcomes with low–threshold intervention for cannabis use disorders in Norway - an observational study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0269988,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_ordinal*, resp_direction*, imputed_values* | SI caption: https://doi.org/10.1371/journal.pone.0269988.s001",An anonymized data set necessary to facilitate replication of the study findings has been uploaded as a  Supporting Information  file.,,journal.pone.0269988_S1_File.sav,2083,26,19,4.2166,0
plos,plosone,10.1371/journal.pone.0151982,Diagnosing Depression in Chronic Pain Patients: DSM-IV Major Depressive Disorder vs. Beck Depression Inventory (BDI),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0151982,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://doi.org/10.5061/dryad.14955,Data are available at DRYAD (DOI:  10.5061/dryad.14955 ).,https://doi.org/10.5061/dryad.14955,,,,,,
plos,plosone,10.1371/journal.pone.0234807,Tinnitus-related distress and pain perceptions in patients with chronic tinnitus – Do psychological factors constitute a link?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0234807,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"As per Charité Universitaetsmedizin Berlin’s ethics committee, unfortunately, we cannot make the data public without restrictions because we did not obtain patients' consent to do so at the time. Nevertheless, interested researchers can contact the directorate of the Tinnitus Center Charité Universi",,,,,,,
plos,plosone,10.1371/journal.pone.0160183,Psychometric Assessment of the Japanese Version of the Zurich Claudication Questionnaire (ZCQ): Reliability and Validity,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0160183,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Supporting information.    Dataset of this study. 
  https:/",All relevant data are within the paper and its Supporting Information file.,,journal.pone.0160183_S1_File.xls,387,195,2,0.9923,0
plos,plosone,10.1371/journal.pone.0217792,Does stopping at C7 in long posterior cervical fusion accelerate the symptomatic breakdown of cervicothoracic junction?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0217792,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale* | SI caption: Raw data: Patients demographics, clinical and radiologic par",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0217792_S1_Table.xlsx,782,46,17,1.0,1
plos,plosone,10.1371/journal.pone.0267885,Cross-cultural adaptation and validation of the Arabic version of the simple shoulder test in the United Arab Emirates,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0267885,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the manuscript and its  Supporting information  files.,,,,,,,
plos,plosone,10.1371/journal.pone.0133907,Which and How Many Patients Should Be Included in Randomised Controlled Trials to Demonstrate the Efficacy of Biologics in Primary Sjögren’s Syndrome?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0133907,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_direction*, imputed_values* | SI caption: S1 file was used to separate the ASSESS cohort patients into",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0133907_S1_File.xls,3414,2,9,189.6667,0
plos,plosone,10.1371/journal.pone.0141801,Weakened Resilience in Parenting Self-Efficacy in Pregnant Women Who Were Abused in Childhood: An Experimental Test,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0141801,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: http://dx.doi.org/10.17026/dans-z6b-8n2z,"Data underlying the findings are available, exclusive of demographic data for reasons of anonymity. Data are available from Dans Easy by using this link:  http://dx.doi.org/10.17026/dans-z6b-8n2z .",http://dx.doi.org/10.17026/dans-z6b-8n2z,,,,,,
