table	table.lower	Description	URL (for data)	Reference	DOI (for paper)	Original License	Custom License	Public Reshare?	Derived License	Custom License	Notes	Contributor	Date
goldberg_2018_bri_bri	goldberg_2018_bri_bri	Behavioral Report Inventory (ESCS), 400 activity descriptions rated for frequency. resp 1-5. 778 respondents x 400 items = 309954 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LXKJIV	Goldberg, L. R. (2018). Eugene-Springfield Community Sample [Data set]. Harvard Dataverse. https://dataverse.harvard.edu/dataverse/ESCS-Data	10.7910/DVN/LXKJIV	CC0 1.0		Public	CC0 1.0		Eugene-Springfield Community Sample: a single panel of ~1,100 adults in Eugene and Springfield, Oregon, mailed 28 questionnaires over roughly fifteen years. The same id keys every ESCS table and joins the shared demographics file, so these tables are linked measurements on one sample rather than separate studies - 1,016 distinct respondents in total, the median one appearing in 53 of the tables. Each mailing bundles several instruments, so it is split into blocks by column family and response scale.	automated	2026-08-26
goldberg_2018_bri_curio	goldberg_2018_bri_curio	Behavioral Report Inventory (ESCS), 31 kinds of dissociative experiences. resp 1-5. 777 respondents x 31 items = 24062 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LXKJIV	Goldberg, L. R. (2018). Eugene-Springfield Community Sample [Data set]. Harvard Dataverse. https://dataverse.harvard.edu/dataverse/ESCS-Data	10.7910/DVN/LXKJIV	CC0 1.0		Public	CC0 1.0		Eugene-Springfield Community Sample: a single panel of ~1,100 adults in Eugene and Springfield, Oregon, mailed 28 questionnaires over roughly fifteen years. The same id keys every ESCS table and joins the shared demographics file, so these tables are linked measurements on one sample rather than separate studies - 1,016 distinct respondents in total, the median one appearing in 53 of the tables. Each mailing bundles several instruments, so it is split into blocks by column family and response scale.	automated	2026-08-26
goldberg_2018_bri_feel	goldberg_2018_bri_feel	Behavioral Report Inventory (ESCS), 24 symptoms of depression, including the CES-D items. resp 1-5. 778 respondents x 24 items = 18637 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LXKJIV	Goldberg, L. R. (2018). Eugene-Springfield Community Sample [Data set]. Harvard Dataverse. https://dataverse.harvard.edu/dataverse/ESCS-Data	10.7910/DVN/LXKJIV	CC0 1.0		Public	CC0 1.0		Eugene-Springfield Community Sample: a single panel of ~1,100 adults in Eugene and Springfield, Oregon, mailed 28 questionnaires over roughly fifteen years. The same id keys every ESCS table and joins the shared demographics file, so these tables are linked measurements on one sample rather than separate studies - 1,016 distinct respondents in total, the median one appearing in 53 of the tables. Each mailing bundles several instruments, so it is split into blocks by column family and response scale.	automated	2026-08-26
goldberg_2018_bri_food	goldberg_2018_bri_food	Behavioral Report Inventory (ESCS), eating habits and practices. resp 1-5. 777 respondents x 20 items = 15474 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LXKJIV	Goldberg, L. R. (2018). Eugene-Springfield Community Sample [Data set]. Harvard Dataverse. https://dataverse.harvard.edu/dataverse/ESCS-Data	10.7910/DVN/LXKJIV	CC0 1.0		Public	CC0 1.0		Eugene-Springfield Community Sample: a single panel of ~1,100 adults in Eugene and Springfield, Oregon, mailed 28 questionnaires over roughly fifteen years. The same id keys every ESCS table and joins the shared demographics file, so these tables are linked measurements on one sample rather than separate studies - 1,016 distinct respondents in total, the median one appearing in 53 of the tables. Each mailing bundles several instruments, so it is split into blocks by column family and response scale.	automated	2026-08-26
goldberg_2018_bri_ofood	goldberg_2018_bri_ofood	Behavioral Report Inventory (ESCS), further eating habits and practices. resp 1-5. 774 respondents x 29 items = 22319 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LXKJIV	Goldberg, L. R. (2018). Eugene-Springfield Community Sample [Data set]. Harvard Dataverse. https://dataverse.harvard.edu/dataverse/ESCS-Data	10.7910/DVN/LXKJIV	CC0 1.0		Public	CC0 1.0		Eugene-Springfield Community Sample: a single panel of ~1,100 adults in Eugene and Springfield, Oregon, mailed 28 questionnaires over roughly fifteen years. The same id keys every ESCS table and joins the shared demographics file, so these tables are linked measurements on one sample rather than separate studies - 1,016 distinct respondents in total, the median one appearing in 53 of the tables. Each mailing bundles several instruments, so it is split into blocks by column family and response scale.	automated	2026-08-26
goldberg_2018_ciss	goldberg_2018_ciss	Campbell Interest and Skill Survey (ESCS). resp 1-6. 577 respondents x 320 items = 184394 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ANMXHR	Goldberg, L. R. (2018). Eugene-Springfield Community Sample [Data set]. Harvard Dataverse. https://dataverse.harvard.edu/dataverse/ESCS-Data	10.7910/DVN/ANMXHR	CC0 1.0		Public	CC0 1.0		Eugene-Springfield Community Sample: a single panel of ~1,100 adults in Eugene and Springfield, Oregon, mailed 28 questionnaires over roughly fifteen years. The same id keys every ESCS table and joins the shared demographics file, so these tables are linked measurements on one sample rather than separate studies - 1,016 distinct respondents in total, the median one appearing in 53 of the tables. Each mailing bundles several instruments, so it is split into blocks by column family and response scale.	automated	2026-08-26
goldberg_2018_cpi	goldberg_2018_cpi	California Psychological Inventory (ESCS). resp 1-2. 815 respondents x 462 items = 370940 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/VBLMYO	Goldberg, L. R. (2018). Eugene-Springfield Community Sample [Data set]. Harvard Dataverse. https://dataverse.harvard.edu/dataverse/ESCS-Data	10.7910/DVN/VBLMYO	CC0 1.0		Public	CC0 1.0		Eugene-Springfield Community Sample: a single panel of ~1,100 adults in Eugene and Springfield, Oregon, mailed 28 questionnaires over roughly fifteen years. The same id keys every ESCS table and joins the shared demographics file, so these tables are linked measurements on one sample rather than separate studies - 1,016 distinct respondents in total, the median one appearing in 53 of the tables. Each mailing bundles several instruments, so it is split into blocks by column family and response scale.	automated	2026-08-26
goldberg_2018_dop_ab5c_vignettes	goldberg_2018_dop_ab5c_vignettes	Descriptions of People (ESCS), the 90 AB5C facet-pole vignettes. resp 1-9. 639 respondents x 90 items = 57347 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MH6FCC	Goldberg, L. R. (2018). Eugene-Springfield Community Sample [Data set]. Harvard Dataverse. https://dataverse.harvard.edu/dataverse/ESCS-Data	10.7910/DVN/MH6FCC	CC0 1.0		Public	CC0 1.0		Eugene-Springfield Community Sample: a single panel of ~1,100 adults in Eugene and Springfield, Oregon, mailed 28 questionnaires over roughly fifteen years. The same id keys every ESCS table and joins the shared demographics file, so these tables are linked measurements on one sample rather than separate studies - 1,016 distinct respondents in total, the median one appearing in 53 of the tables. Each mailing bundles several instruments, so it is split into blocks by column family and response scale.	automated	2026-08-26
goldberg_2018_dop_avocational_interests	goldberg_2018_dop_avocational_interests	Descriptions of People (ESCS), avocational-interest items. resp 1-5. 639 respondents x 209 items = 133175 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MH6FCC	Goldberg, L. R. (2018). Eugene-Springfield Community Sample [Data set]. Harvard Dataverse. https://dataverse.harvard.edu/dataverse/ESCS-Data	10.7910/DVN/MH6FCC	CC0 1.0		Public	CC0 1.0		Eugene-Springfield Community Sample: a single panel of ~1,100 adults in Eugene and Springfield, Oregon, mailed 28 questionnaires over roughly fifteen years. The same id keys every ESCS table and joins the shared demographics file, so these tables are linked measurements on one sample rather than separate studies - 1,016 distinct respondents in total, the median one appearing in 53 of the tables. Each mailing bundles several instruments, so it is split into blocks by column family and response scale.	automated	2026-08-26
goldberg_2018_eps_adjectives	goldberg_2018_eps_adjectives	Experimental Personality Survey (ESCS), person-descriptive adjectives, one per item. resp 1-7. 726 respondents x 242 items = 173902 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GCV3ZZ	Goldberg, L. R. (2018). Eugene-Springfield Community Sample [Data set]. Harvard Dataverse. https://dataverse.harvard.edu/dataverse/ESCS-Data	10.7910/DVN/GCV3ZZ	CC0 1.0		Public	CC0 1.0		Eugene-Springfield Community Sample: a single panel of ~1,100 adults in Eugene and Springfield, Oregon, mailed 28 questionnaires over roughly fifteen years. The same id keys every ESCS table and joins the shared demographics file, so these tables are linked measurements on one sample rather than separate studies - 1,016 distinct respondents in total, the median one appearing in 53 of the tables. Each mailing bundles several instruments, so it is split into blocks by column family and response scale.	automated	2026-08-26
