source,journal,doi,title,url,pmcid,license,flag,reasons,data_file,n_responses,n_participants,n_items,density,n_other_files,refined_flag,refined_reason
pmc,peerj,10.7717/peerj.17565,Early-life diet does not affect preference for fish in herring gulls (<i>Larus argentatus</i>).,https://europepmc.org/article/PMC/PMC11246621,PMC11246621,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*",peerj-12-17565-s011.csv,87.0,29.0,3.0,1.0,5.0,not_item_response,"Title is HTML-encoded paper prose — file is a scraped element, not a dataset"
pmc,screports,10.1038/s41598-023-42115-z,On the (number of) aversive traits it takes to approximate the common core of aversive personality.,https://europepmc.org/article/PMC/PMC10497531,PMC10497531,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",41598_2023_42115_MOESM2_ESM.csv,2567.0,151.0,17.0,1.0,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
pmc,peerj,10.7717/peerj.19801,Effect of sleep quality on vision-related quality of life in a sample of Qassim University students: an ocular surface health approach.,https://europepmc.org/article/PMC/PMC12330819,PMC12330819,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",peerj-13-19801-s001.xlsx,3215.0,92.0,36.0,0.9707,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
pmc,peerj,10.7717/peerj.19555,Advancing anesthesiology trainee proficiency in airway management &lt;i&gt;via&lt;/i&gt; simulation-based training: a non-hypoxic apnea duration approach.,https://europepmc.org/article/PMC/PMC12145085,PMC12145085,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",peerj-13-19555-s001.xlsx,485.0,18.0,27.0,0.9979,0.0,aggregate_continuous,Response has >50 unique values and very few apparent participants — likely a summary / aggregate file with continuous measures
pmc,peerj,10.7717/peerj.20310,Modified STOP-Bang questionnaire for detecting obstructive sleep apnea in individuals with a body mass index below 35 kg/m&lt;sup&gt;2&lt;/sup&gt;.,https://europepmc.org/article/PMC/PMC12617366,PMC12617366,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",peerj-13-20310-s001.xlsx,3946.0,188.0,21.0,0.9995,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
pmc,peerj,10.7717/peerj.7208,No evidence for negative impacts of acute sulfoxaflor exposure on bee olfactory conditioning or working memory.,https://europepmc.org/article/PMC/PMC6694785,PMC6694785,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*",peerj-07-7208-s003.xlsx,612.0,102.0,6.0,1.0,2.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
pmc,peerj,10.7717/peerj.13069,Lacunes and type 2 diabetes mellitus have a joint effect on cognitive impairment: a retrospective study.,https://europepmc.org/article/PMC/PMC8898547,PMC8898547,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",peerj-10-13069-s002.xlsx,2724.0,227.0,12.0,1.0,1.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
pmc,peerj,10.7717/peerj.20207,Auditory processing ability in Thai native speakers with the Gaps-In-Noise (GIN) test.,https://europepmc.org/article/PMC/PMC12598593,PMC12598593,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_ordinal*, resp_direction*, imputed_values*",peerj-13-20207-s002.xlsx,1537.0,52.0,29.0,1.0192,0.0,worth_retrying,"Only issue is a low-confidence id column mapping — re-examine the first column to confirm it is the person identifier; if so, this dataset may be usable"
pmc,peerj,10.7717/peerj.9845,"A pilot feasibility randomized controlled trial on combining mind-body physical exercise, cognitive training, and nurse-led risk factor modification to reduce cognitive decline among older adults with mild cognitive impairment in primary care.",https://europepmc.org/article/PMC/PMC7482623,PMC7482623,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",peerj-08-9845-s003.sav,1506.0,19.0,85.0,0.9325,0.0,worth_retrying,"Only issue is a low-confidence id column mapping — re-examine the first column to confirm it is the person identifier; if so, this dataset may be usable"
pmc,peerj,10.7717/peerj.3928,Decreased quality of life and treatment satisfaction in patients with latent autoimmune diabetes of the adult.,https://europepmc.org/article/PMC/PMC5650726,PMC5650726,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: id_na, resp_ordinal*, resp_direction*, imputed_values*",peerj-05-3928-s007.xlsx,10748.0,371.0,23.0,1.2596,0.0,worth_retrying,"dup_id_item fail but n_participants=371, ratio=1.3× — consistent with a longitudinal/repeated-measures design. Re-examine file for a wave/timepoint/date column to use as third key; if present this is likely IRW-eligible."
pmc,peerj,10.7717/peerj.14740,Genetic variants of IFIH1 and DHX58 affect the chronicity of hepatitis C in the Chinese Han population.,https://europepmc.org/article/PMC/PMC9893905,PMC9893905,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",peerj-11-14740-s001.xlsx,22038.0,1334.0,14.0,1.18,0.0,worth_retrying,"dup_id_item fail but n_participants=1334, ratio=1.2× — consistent with a longitudinal/repeated-measures design. Re-examine file for a wave/timepoint/date column to use as third key; if present this is likely IRW-eligible."
