source,journal,doi,title,url,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files,refined_flag,refined_reason
plos,plosone,10.1371/journal.pone.0252709,Rapid and sound assessment of well-being within a multi-dimensional approach: The <i>Well-being Numerical Rating Scales</i> (WB-NRSs),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0252709,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['WB1\tWB2\tWB3\tWB4\tWB5'] | SI caption: WB Study 1.    Study 1: Well-being datafile. 
  https://doi.",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0252709_S1_File.csv,,,,,8.0,not_item_response,"Title is HTML-encoded paper prose — file is a scraped element, not a dataset"
plos,plosone,10.1371/journal.pone.0255750,Anxious temperament and cyberchondria as mediated by fear of COVID-19 infection: A cross-sectional study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0255750,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: https://doi.org/10.1371/journal.pone.0255750.s001",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0255750_S1_Dataset.sav,5988.0,2.0,12.0,249.5,0.0,not_item_response,"n_responses/n_participants/n_items ratio=250× — strongly suggests a long aggregate table, not individual responses"
plos,plosone,10.1371/journal.pone.0246339,Pandemic buying: Testing a psychological model of over-purchasing and panic buying using data from the United Kingdom and the Republic of Ireland during the early phase of the COVID-19 pandemic,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0246339,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: https://doi.org/10.1371/journal.pone.0246339.s003",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0246339_S1_Data.sav,79715.0,2.0,26.0,1532.9808,0.0,not_item_response,"n_participants=2 but n_responses=79715 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=1533×)"
plos,plosone,10.1371/journal.pone.0236474,"Comparison of Glidescope<sup>®</sup> Go<sup>™</sup>, King Vision<sup>™</sup>, Dahlhausen VL, I‑View<sup>™</sup> and Macintosh laryngoscope use during difficult airway management simulation by experienced and inexperienced emergency medical staff: A randomized crossover manikin study",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0236474,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: https://doi.org/10.1371/journal.pone.0236474.s001",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0236474_S1_Dataset.sav,2134.0,58.0,37.0,0.9944,1.0,not_item_response,"Title is HTML-encoded paper prose — file is a scraped element, not a dataset"
plos,plosone,10.1371/journal.pone.0159279,The Effect of Background Music in Shark Documentaries on Viewers' Perceptions of Sharks,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0159279,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, item_level_cols* | SI caption: Spreadsheet containing the complete dataset for Experiments ",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0159279_S1_Dataset.xlsx,9239.0,616.0,15.0,0.9999,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
plos,plosone,10.1371/journal.pone.0174527,The influence of sagittal profile alteration and final lordosis on the clinical outcome of cervical spondylotic myelopathy. A Delta-Omega-analysis,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0174527,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: The anonymised data.   https://doi.org/10.1371/journal.pone.",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0174527_S2_File.xls,1711.0,102.0,17.0,0.9867,0.0,aggregate_continuous,dup_id_item with ratio=1.0× and n_participants=102 — possible longitudinal data but the high repeat rate and resp_ordinal* warning suggest responses may be continuous. Quick data check needed.
plos,plosone,10.1371/journal.pone.0217792,Does stopping at C7 in long posterior cervical fusion accelerate the symptomatic breakdown of cervicothoracic junction?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0217792,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale* | SI caption: Raw data: Patients demographics, clinical and radiologic par",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0217792_S1_Table.xlsx,782.0,46.0,17.0,1.0,1.0,aggregate_continuous,Response has >50 unique values and very few apparent participants — likely a summary / aggregate file with continuous measures
plos,plosone,10.1371/journal.pone.0178948,At-risk and intervention thresholds of occupational stress using a visual analogue scale,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0178948,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Titles of columns are written without abbreviations.   https",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0178948_S1_Database.xlsx,9500.0,500.0,19.0,1.0,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
plos,plosone,10.1371/journal.pone.0242504,A test of a triadic conceptualization of future self-identification,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0242504,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Sample 1 data file in.csv format.   https://doi.org/10.1371/",All relevant data are within the  Supporting Information  files.,,journal.pone.0242504_S2_File.csv,6554.0,549.0,12.0,0.9948,5.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
plos,plosone,10.1371/journal.pone.0219116,Epidural morphine improves postoperative analgesia in patients after total knee arthroplasty: A randomized controlled trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0219116,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Relevant data underlying the main results.   https://doi.org",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0219116_S1_Dataset.xlsx,7555.0,110.0,69.0,0.9954,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
