source,journal,doi,title,url,pmcid,license,flag,reasons,data_file,n_responses,n_participants,n_items,density,n_other_files
pmc,peerj,10.7717/peerj.17565,Early-life diet does not affect preference for fish in herring gulls (<i>Larus argentatus</i>).,https://europepmc.org/article/PMC/PMC11246621,PMC11246621,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*",peerj-12-17565-s011.csv,87,29,3,1.0,5
pmc,screports,10.1038/s41598-025-87954-0,Effects of a 16-week dance intervention on loneliness and self-esteem in left behind children: a randomised controlled trial.,https://europepmc.org/article/PMC/PMC11762727,PMC11762727,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,
pmc,screports,10.1038/s41598-025-17271-z,Early career setback and future achievement in professional sports.,https://europepmc.org/article/PMC/PMC12480886,PMC12480886,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,
pmc,peerj,10.7717/peerj.20689,Exploring the mediating role of physical activity levels in the relationship between physical literacy and physical fitness in Chinese university students.,https://europepmc.org/article/PMC/PMC12880097,PMC12880097,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",peerj-14-20689-s002.xlsx,1035,59,9,1.9492,0
pmc,peerj,10.7717/peerj.7150,Age at menarche and depression: results from the NHANES 2005-2016.,https://europepmc.org/article/PMC/PMC6571127,PMC6571127,cc-by,no_usable_file,no tabular-format file among 8 supplementary file(s): peerj-07-7150-s002.docx; peerj-07-7150-s001.docx; peerj-07-7150-s003.docx; peerj-07-7150-g002.jpg; peerj-07-7150-g001.jpg; peerj-07-7150-s004.docx; peerj-07-7150-g001.gif; peerj-07-7150-g002.gif,,,,,,
pmc,peerj,10.7717/peerj.18241,Parental thermal conditions affect the brain activity response to alarm cue in larval zebrafish.,https://europepmc.org/article/PMC/PMC11471146,PMC11471146,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 4 column(s) look like text-coded Likert items (e.g. ['Time (hh:mm)', 'Parental exposure', 'Offspring control temp. (°C)']) rather than numeric codes. Needs a human to confirm the category set/order and recode to numeric. | Columns present: ['Date (jj/mm/aaaa)',",peerj-12-18241-s003.xlsx,,,,,0
pmc,screports,10.1038/s41598-022-18045-7,"The relationship between just world belief and wellbeing, cheating behaviors, and academic work behaviors during COVID 19 among university students.",https://europepmc.org/article/PMC/PMC9395426,PMC9395426,cc-by,no_usable_file,no tabular-format file among 5 supplementary file(s): 41598_2022_18045_Fig2_HTML.jpg; 41598_2022_18045_Fig1_HTML.jpg; 41598_2022_18045_MOESM1_ESM.pdf; 41598_2022_18045_Fig2_HTML.gif; 41598_2022_18045_Fig1_HTML.gif,,,,,,
pmc,screports,10.1038/s41598-024-77418-2,Young athletes' mental well-being is associated with smartphone social networking application usage and moderated by performance level and app type.,https://europepmc.org/article/PMC/PMC11543683,PMC11543683,cc-by,no_usable_file,no tabular-format file among 13 supplementary file(s): 41598_2024_77418_Fig6_HTML.gif; 41598_2024_77418_Fig5_HTML.jpg; 41598_2024_77418_Fig4_HTML.gif; 41598_2024_77418_Fig4_HTML.jpg; 41598_2024_77418_Fig2_HTML.gif; 41598_2024_77418_Fig3_HTML.jpg; 41598_2024_77418_Fig2_HTML.jpg; 41598_2024_77418_Fig1_HTML.gif; 41598_2024_77418_Fig1_HTML.jpg; 41598_2024_77418_Fig3_HTML.gif,,,,,,
pmc,screports,10.1038/s41598-023-42115-z,On the (number of) aversive traits it takes to approximate the common core of aversive personality.,https://europepmc.org/article/PMC/PMC10497531,PMC10497531,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",41598_2023_42115_MOESM2_ESM.csv,2567,151,17,1.0,0
pmc,screports,10.1038/s41598-026-43232-1,Increased type 3 deiodinase reduces hippocampal T3 signaling and is associated with cognitive impairment in a sporadic Alzheimer's disease animal model.,https://europepmc.org/article/PMC/PMC13125284,PMC13125284,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,
pmc,screports,10.1038/s41598-026-52749-4,Directional motion of a self-steering active intruder in a dense crowd of cognitive active agents.,https://europepmc.org/article/PMC/PMC13269928,PMC13269928,cc-by,no_usable_file,no tabular-format file among 19 supplementary file(s): 41598_2026_52749_MOESM2_ESM.mp4; 41598_2026_52749_Fig6_HTML.gif; 41598_2026_52749_Fig7_HTML.gif; 41598_2026_52749_Fig1_HTML.gif; 41598_2026_52749_Fig3_HTML.gif; 41598_2026_52749_Fig4_HTML.jpg; 41598_2026_52749_Fig5_HTML.gif; 41598_2026_52749_Fig3_HTML.jpg; 41598_2026_52749_Fig8_HTML.jpg; 41598_2026_52749_Fig2_HTML.jpg,,,,,,
pmc,screports,10.1038/s41598-025-22088-x,The influence of regularly changing enrichment on the cognitive judgement bias of laboratory rats.,https://europepmc.org/article/PMC/PMC12508032,PMC12508032,cc-by,no_usable_file,no tabular-format file among 7 supplementary file(s): 41598_2025_22088_Fig2_HTML.gif; 41598_2025_22088_MOESM1_ESM.pdf; 41598_2025_22088_Fig2_HTML.jpg; 41598_2025_22088_Fig3_HTML.gif; 41598_2025_22088_Fig3_HTML.jpg; 41598_2025_22088_Fig1_HTML.gif; 41598_2025_22088_Fig1_HTML.jpg,,,,,,
pmc,peerj,10.7717/peerj.13801,The use of synthetic agonists of quorum sensing N- acyl homoserine lactone pathway improves the bioleaching ability in <i>Acidithiobacillus</i> and <i>Pseudomonas</i> bacteria.,https://europepmc.org/article/PMC/PMC9373976,PMC9373976,cc-by,not_item_response,Does NOT look like item-response data — not a candidate for IRW. | only 4 distinct ids (too few to be respondents) | 92% of responses are unique (real items reuse a small scale; this looks like a results table),peerj-10-13801-s004.xlsx,24,4,6,1.0,5
pmc,peerj,10.7717/peerj.647,Use of Twitter to monitor attitudes toward depression and schizophrenia: an exploratory study.,https://europepmc.org/article/PMC/PMC4217192,PMC4217192,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Instructions for coding', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3']",peerj-02-647-s001.xlsx,,,,,0
pmc,screports,10.1038/s41598-024-67649-8,Autistic adults have insight into their relative face recognition ability.,https://europepmc.org/article/PMC/PMC11294533,PMC11294533,cc-by,no_usable_file,no tabular-format file among 7 supplementary file(s): 41598_2024_67649_MOESM1_ESM.docx; 41598_2024_67649_Fig3_HTML.gif; 41598_2024_67649_Fig1_HTML.jpg; 41598_2024_67649_Fig2_HTML.jpg; 41598_2024_67649_Fig3_HTML.jpg; 41598_2024_67649_Fig1_HTML.gif; 41598_2024_67649_Fig2_HTML.gif,,,,,,
pmc,screports,10.1038/s41598-022-10296-8,Personality and social environment predict cognitive performance in common marmosets (Callithrix jacchus).,https://europepmc.org/article/PMC/PMC9072541,PMC9072541,cc-by,not_item_response,Does NOT look like item-response data — not a candidate for IRW. | 67% of responses are unique (real items reuse a small scale; this looks like a results table) | 65% of resp values are non-integer — ordinal item responses are almost always integer-valued,41598_2022_10296_MOESM1_ESM.xlsx,370,27,15,0.9136,0
pmc,peerj,10.7717/peerj.6823,Hand hygiene knowledge and attitude of medical students in western Saudi Arabia.,https://europepmc.org/article/PMC/PMC6487179,PMC6487179,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*",peerj-07-6823-s001.xlsx,2260,4,5,113.0,0
pmc,screports,10.1038/s41598-026-47727-9,Artistic collaborative design optimization of urban public architecture based on faster region convolutional neural network and artificial intelligence.,https://europepmc.org/article/PMC/PMC13216576,PMC13216576,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,
pmc,peerj,10.7717/peerj.5541,Interaction of guidance types and the Need for Cognitive Closure in wiki-based learning.,https://europepmc.org/article/PMC/PMC6139018,PMC6139018,cc-by,no_usable_file,no tabular-format file among 17 supplementary file(s): peerj-06-5541-g001.gif; peerj-06-5541-g003.gif; peerj-06-5541-s001.zip; peerj-06-5541-i001.jpg; peerj-06-5541-g002.jpg; peerj-06-5541-g004.jpg; peerj-06-5541-i004.jpg; peerj-06-5541-g006.gif; peerj-06-5541-i002.jpg; peerj-06-5541-g004.gif,,,,,,
pmc,screports,10.1038/s41598-025-99147-w,Chain mediation of rumination and anxiety state between mindfulness and depressed mood in infertile women.,https://europepmc.org/article/PMC/PMC12019556,PMC12019556,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,
pmc,peerj,10.7717/peerj.18136,Heterotic grouping of wheat hybrids based on general and specific combining ability from line × tester analysis.,https://europepmc.org/article/PMC/PMC11438435,PMC11438435,cc-by,not_item_response,Does NOT look like item-response data — not a candidate for IRW. | 97% of responses are unique (real items reuse a small scale; this looks like a results table) | 75% of resp values are non-integer — ordinal item responses are almost always integer-valued,peerj-12-18136-s001.xlsx,144,36,4,1.0,0
pmc,peerj,10.7717/peerj.19801,Effect of sleep quality on vision-related quality of life in a sample of Qassim University students: an ocular surface health approach.,https://europepmc.org/article/PMC/PMC12330819,PMC12330819,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",peerj-13-19801-s001.xlsx,3215,92,36,0.9707,0
pmc,screports,10.1038/s41598-025-13540-z,"Individual training prescribed by heart rate variability, heart rate and well-being scores in experienced cyclists.",https://europepmc.org/article/PMC/PMC12485039,PMC12485039,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,
pmc,peerj,10.7717/peerj.17971,Changes in the force-time curve during a repeat power ability assessment using loaded countermovement jumps.,https://europepmc.org/article/PMC/PMC11457872,PMC11457872,cc-by,not_item_response,Does NOT look like item-response data — not a candidate for IRW. | 99% of responses are unique (real items reuse a small scale; this looks like a results table) | 100% of resp values are non-integer — ordinal item responses are almost always integer-valued,peerj-12-17971-s003.csv,187000,11,850,20.0,12
pmc,screports,10.1038/s41598-025-02486-x,Cold season air temperature as predictor of psychological well-being and mental health.,https://europepmc.org/article/PMC/PMC12095582,PMC12095582,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,
