"table","table.lower","Description","URL (for data)","Reference","DOI (for paper)","Original License","Custom License","Public Reshare?","Derived License","Custom License","Notes","Contributor","Date"
"antunez_2013_rmeq","antunez_2013_rmeq","Reduced Morningness-Eveningness Questionnaire, 5 items; the items use different response formats (1-4, 1-5, 0-6), as the published instrument does. 5,075 responses from 1,015 respondents on 5 items.","https://zenodo.org/records/18681288","Antunez Vilchez, J. M., & Adan, A. (2013). Circadian typology and emotional intelligence in healthy adults [Data set]. Zenodo. https://doi.org/10.5281/zenodo.18681288","10.5281/zenodo.18681288","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/27/2026"
"antunez_2013_tmms24","antunez_2013_tmms24","Trait Meta-Mood Scale (TMMS-24), 24 items on a 1-5 scale, Spanish adults. 24,360 responses from 1,015 respondents on 24 items.","https://zenodo.org/records/18681288","Antunez Vilchez, J. M., & Adan, A. (2013). Circadian typology and emotional intelligence in healthy adults [Data set]. Zenodo. https://doi.org/10.5281/zenodo.18681288","10.5281/zenodo.18681288","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/27/2026"
"apaza_2026_meim_r","apaza_2026_meim_r","Multigroup Ethnic Identity Measure-Revised, 6 items on a 1-5 scale, Peruvian students. 2,136 responses from 356 respondents on 6 items.","https://zenodo.org/records/22117910","Apaza Arapa, M. A., & Turpo Chaparro, J. E. (2026). Study data: Psychometric properties of the Multigroup Ethnic Identity Measure-Revised [Data set]. Zenodo. https://doi.org/10.5281/zenodo.22117910","10.5281/zenodo.22117910","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/27/2026"
"apaza_2026_sdo","apaza_2026_sdo","Social Dominance Orientation, 14 items on a 1-7 scale, Peruvian students. 4,984 responses from 356 respondents on 14 items.","https://zenodo.org/records/22117910","Apaza Arapa, M. A., & Turpo Chaparro, J. E. (2026). Study data: Psychometric properties of the Multigroup Ethnic Identity Measure-Revised [Data set]. Zenodo. https://doi.org/10.5281/zenodo.22117910","10.5281/zenodo.22117910","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/27/2026"
"apaza_2026_self_esteem","apaza_2026_self_esteem","Self-esteem scale, 10 items on a 1-4 scale, Peruvian students. 3,560 responses from 356 respondents on 10 items.","https://zenodo.org/records/22117910","Apaza Arapa, M. A., & Turpo Chaparro, J. E. (2026). Study data: Psychometric properties of the Multigroup Ethnic Identity Measure-Revised [Data set]. Zenodo. https://doi.org/10.5281/zenodo.22117910","10.5281/zenodo.22117910","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/27/2026"
"huang_2023_utaut_mobile_shopping","huang_2023_utaut_mobile_shopping","UTAUT2 mobile-shopping questionnaire, 37 items on a 1-7 scale; itemcov_construct carries the UTAUT2 construct. 14,384 responses from 389 respondents on 37 items.","https://doi.org/10.6084/m9.figshare.24811462","Huang, T. (2023). Research questionnaire data [Data set]. figshare. Supporting PLOS ONE 18(12), e0295581. https://doi.org/10.1371/journal.pone.0295581","10.1371/journal.pone.0295581","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/27/2026"
"kotsou_2016_bdi","kotsou_2016_bdi","Beck Depression Inventory, 13 items on a 0-3 scale. 20,202 responses from 1,554 respondents on 13 items.","https://doi.org/10.6084/m9.figshare.3122734","Kotsou, I. (2016). SCSdata: Validation of the French version of the Self-Compassion Scale [Data set]. figshare. https://doi.org/10.6084/m9.figshare.3122734","10.6084/m9.figshare.3122734","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/27/2026"
"kotsou_2016_happiness","kotsou_2016_happiness","Subjective happiness, 4 items on a 1-7 scale. 6,216 responses from 1,554 respondents on 4 items.","https://doi.org/10.6084/m9.figshare.3122734","Kotsou, I. (2016). SCSdata: Validation of the French version of the Self-Compassion Scale [Data set]. figshare. https://doi.org/10.6084/m9.figshare.3122734","10.6084/m9.figshare.3122734","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/27/2026"
"kotsou_2016_life_satisfaction","kotsou_2016_life_satisfaction","Life satisfaction, 5 items on a 1-7 scale. 7,770 responses from 1,554 respondents on 5 items.","https://doi.org/10.6084/m9.figshare.3122734","Kotsou, I. (2016). SCSdata: Validation of the French version of the Self-Compassion Scale [Data set]. figshare. https://doi.org/10.6084/m9.figshare.3122734","10.6084/m9.figshare.3122734","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/27/2026"
"kotsou_2016_panas","kotsou_2016_panas","PANAS, 20 items on a 1-5 scale (stored in the source as the strings A1-A5). 31,080 responses from 1,554 respondents on 20 items.","https://doi.org/10.6084/m9.figshare.3122734","Kotsou, I. (2016). SCSdata: Validation of the French version of the Self-Compassion Scale [Data set]. figshare. https://doi.org/10.6084/m9.figshare.3122734","10.6084/m9.figshare.3122734","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/27/2026"
