_key,source,title,url,doi,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files,license,refined_flag,refined_reason
10.6084/m9.figshare.32315040.v1,figshare,Acupuncture modulates the gut microbiota–brain axis to improve working memory in perimenopausal insomnia: an integrative multi-omics study,https://figshare.com/articles/dataset/Acupuncture_modulates_the_gut_microbiota_brain_axis_to_improve_working_memory_in_perimenopausal_insomnia_an_integrative_multi-omics_study/32315040,10.6084/m9.figshare.32315040.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['No.', 'Name']",,,,,Multi_Omics_Dataset.xlsx,0.0,,not_item_response,"Only 2 label-style columns (['No.', 'Name']) — likely a reference list or name table, not person×item data"
https://osf.io/qj8v5/,osf,"Does Digital Offloading Reduce Cognitive Load at the Expense of Attentional Control, or Does it Promote Cognitive Resilience in Young Adults? A Thematic Literature Review",https://osf.io/qj8v5/,,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['#', 'Name / Title', 'Study Type', 'Participants', 'Main Focus', 'Cognitive Variable(s)', 'Key Findings', 'Theme', 'Access']",,,,,tlr .xlsx,0.0,,not_item_response,"Column names match a literature-review or results table (Study Type, Key Findings, Theme, etc.) — not item-response data"
10.7910/dvn/ije2pc,dataverse,Bachpan Study of Maternal Depression and Child Development: Data from the First Three Years,https://doi.org/10.7910/DVN/IJE2PC,10.7910/dvn/ije2pc,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['\xa0', 'Variable Name', 'Variable Label', 'Response Category', 'Value Label Format', 'Notes', 'Generated variable', 'Baseline/Screening', '3 mo', '6 mo', '12 mo', '24 mo', '36 mo']",,,,,Bachpan Data Dictionary Sharing.xlsx,0.0,,not_item_response,"Column names match a data dictionary / codebook (Variable Name, Variable Label, etc.) — this file describes the dataset, it is not the data itself"
10.6084/m9.figshare.32016954.v1,figshare,"Survey data on financial knowledge, financial self-efficacy, financial attitude, and financial behavior among Indonesian Gen Z",https://figshare.com/articles/dataset/Survey_data_on_financial_knowledge_financial_self-efficacy_financial_attitude_and_financial_behavior_among_Indonesian_Gen_Z/32016954,10.6084/m9.figshare.32016954.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['CODEBOOK', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6']",,,,,"Codebook, Questionnaire, and Variable Dictionary.xlsx",1.0,,not_item_response,"Column names match a data dictionary / codebook (Variable Name, Variable Label, etc.) — this file describes the dataset, it is not the data itself"
10.7910/dvn/3f1rgq,dataverse,Replication Data for: How street-level bureaucrats’ traits affect community leaders' assessments of the government,https://doi.org/10.7910/DVN/3F1RGQ,10.7910/dvn/3f1rgq,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Variable', 'Definition']",,,,,Codebook.xlsx,12.0,,not_item_response,"Only 2 label-style columns (['Variable', 'Definition']) — likely a reference list or name table, not person×item data"
10.7910/dvn/7swkrg,dataverse,The Effects of Perinatal Stress-Related Mood Disorders on Cardiovascular Health,https://doi.org/10.7910/DVN/7SWKRG,10.7910/dvn/7swkrg,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['variable (data sheet)', 'definition']",,,,,data dictionary.xlsx,1.0,cc0,not_item_response,"Only 2 label-style columns (['variable (data sheet)', 'definition']) — likely a reference list or name table, not person×item data"
10.23642/usn.17111846.v3,figshare,Replication data for: Integrating Adaptive Programming of Asynchronous Simulator Training for Motivated Goal Achievement in Professional Education,https://usn.figshare.com/articles/dataset/Integrating_Adaptive_Programming_of_Asynchronous_Simulator_Training_for_Motivated_Goal_Achievement_in_Professional_Education/17111846,10.23642/usn.17111846.v3,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Arkivnøkkel', 'Pre-test score']",,,,,Integrating_motivated_goal_achievement_in_maritime_simulator_training.xlsx,0.0,cc-by,not_item_response,"Only 2 label-style columns (['Arkivnøkkel', 'Pre-test score']) — likely a reference list or name table, not person×item data"
10.7910/dvn/n9ejnr,dataverse,Replication Data for: A meta-analytic cognitive framework of nudge and sludge,https://doi.org/10.7910/DVN/N9EJNR,10.7910/dvn/n9ejnr,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Data_col_name_abbr', 'Data_col_name']",,,,,column_name_full.xlsx,1.0,cc0,not_item_response,"Only 2 label-style columns (['Data_col_name_abbr', 'Data_col_name']) — likely a reference list or name table, not person×item data"
,figshare,"<b>Effects of passive heat exposure and exercise on executive function, thermoregulation and cerebral oxygenation</b>",https://figshare.com/articles/dataset/_b_Effects_of_passive_heat_exposure_and_exercise_on_executive_function_thermoregulation_and_cerebral_oxygenation_b_/25036154,10.6084/m9.figshare.25036154.v1,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*",1740.0,97.0,15.0,1.1959,QinFan-jun Data.xlsx,0.0,cc-by,not_item_response,"Title is HTML-encoded paper prose — file is a scraped element, not a dataset"
,figshare,<b>Teachers’ Implicit and Explicit Gender Stereotypes: Perceptions of Mathematics Achievement in Lebanon</b>,https://figshare.com/articles/dataset/_b_Teachers_Implicit_and_Explicit_Gender_Stereotypes_Perceptions_of_Mathematics_Achievement_in_Lebanon_b_/29817770,10.6084/m9.figshare.29817770.v1,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",6726.0,204.0,33.0,0.9991,"Teacher Survey_July 2, 2023_21.36.csv",0.0,cc-by,not_item_response,"Title is HTML-encoded paper prose — file is a scraped element, not a dataset"
