doi,url,title,n_participants_approx,reason_deferred
10.7717/peerj.18809,https://europepmc.org/article/PMC/PMC11809301,Assessing the quality of life among African medical and health science students using the WHOQOL-BREF,349,Clean WHOQOL-BREF-style 5-category text Likert (26 items) -- not yet scripted; ship-quality candidate for a future session.
10.7717/peerj.20153,https://europepmc.org/article/PMC/PMC12515426,The 6-item specific object anthropomorphism scale (SOAS): a new questionnaire for children and adolescents,120,"Title says 6-item scale but file has SOAS1-13 plus SOAS1_4_fu follow-up subset -- item set doesn't match the paper's own description; needs a read of the Methods section before deciding which columns are the real 6 SOAS items."
10.7717/peerj.15053,https://europepmc.org/article/PMC/PMC10100826,Change in depression during the COVID-19 pandemic among healthcare providers in Addis Ababa,335,"Genuine 2-wave PHQ-9 longitudinal data -- 'Time' column (values 1/2) is a real wave key, hw_id is the person id. Promising, just not scripted yet (needs a wave-aware melt)."
10.7717/peerj.16184,https://europepmc.org/article/PMC/PMC10621590,Navigating post COVID-19 education: an investigative study on students' attitude and perception,300,"24-item battery asked twice (precovid/covid prefix) -- looks like a real 2-condition or 2-wave design, needs a deliberate wave/condition split rather than melting both as one scale."
10.7717/peerj.17265,https://europepmc.org/article/PMC/PMC11067892,Structural equation models of health behaviour, psychological well-being, symptom severity,323,"Item columns (sevG_*, SEV24_*, A1/A7/A10, SN2/3/5/6/8, P5, PCB6/7/9) look like Theory-of-Planned-Behaviour-style item pools across several named subscales with irregular numbering -- needs the paper's item list to label/group correctly."
10.7717/peerj.16295,https://europepmc.org/article/PMC/PMC10629385,Multiple mediation effect of coping styles and self-esteem in the relationship between sports participation,206,"Bundles 3 distinct scales in one file (self-esteem ~11 items, Korean-language-proficiency 4 items, stress-coping ~9 items) -- needs a multi-scale split, not a single melt."
10.7717/peerj.19326,https://europepmc.org/article/PMC/PMC12034243,Quality of life and parental stress related to executive functioning sensory processing,53,"Clean Spanish-language scales (SF12/EPY/EAVD/PSS), all internally consistent text categories -- but N=53 falls in the 50-99 band that needs a ben-domingue go/no-go per feedback_min_sample_size, and items need Spanish->numeric translation before shipping."
10.7717/peerj.19403,https://europepmc.org/article/PMC/PMC12036576,Time perception and lived experience in personality disorders,591,"Real item batteries present (ZTPI Zimbardo Time Perspective Inventory, LPFS, PICD subscales) but the automated item-detection heuristic missed them, same failure mode as the shu_2024_gad7/phq9 case that was shipped this batch -- needs a bespoke script selecting the right columns directly."
10.7717/peerj.5756,https://europepmc.org/article/PMC/PMC6211265,Using the validated Reflective Functioning Questionnaire to investigate mentalizing,229,"RFQ1-5+ look like real raw items but SCOFF/PTS/KIMS/TAS/RMET/RFQ_c/RFQ_u are likely scale totals mixed into the same columns list -- only the first 25 of 162 columns were inspected; needs a full column read before deciding what's raw vs. aggregate."
10.7717/peerj.2319,https://europepmc.org/article/PMC/PMC5018665,The influence of temperament and character profiles on specialty choice and well-being,50,Fetch timed out against Europe PMC's supplementaryFiles endpoint -- needs a retry (transient, not a data problem).
10.7717/peerj.9990,https://europepmc.org/article/PMC/PMC7519719,The health-related quality of life of Syrian refugee women in their reproductive age,523,"Very wide (190 cols) structured survey with many sub-questions per topic (marriage, children, finances, health) -- plausibly real item batteries but needs careful reading of the codebook to separate items from demographics; not a quick job."
10.7717/peerj.12078,https://europepmc.org/article/PMC/PMC8487240,Evaluating changes in student health wellbeing and social circumstances before and during COVID-19,99,"N=99 falls in the 50-99 band needing a ben-domingue go/no-go per feedback_min_sample_size. Item columns (veg/fruit/income/housing costs etc.) are heterogeneous single survey items rather than one coherent validated scale -- needs a judgment call on what counts as one 'construct' file."
10.1371/journal.pone.0277247,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0277247,Changes in loneliness prevalence and its associated factors among Bangladeshi older adults,2077,"~10 binary yes/no 'difficulty_*'/comorbidity/concern/overwhelmed items look like a real hardship-index item battery once demographics (division/urban_rural/sex/age_rec/etc.) are excluded -- needs deliberate item-column selection, not the automated heuristic's guess."
10.1038/s41598-024-58598-3,https://europepmc.org/article/PMC/PMC11001944,Psychological flexibility and cognitive-affective processes in young adults' daily lives,113,"Real EMA/daily-diary data: PBAT-1/2/3 items repeated across Session-ID 1-5 for 113 people (11865 rows). The automated heuristic picked the wrong id column (Scheduled Time) -- needs a bespoke script using VID/Name as id and Session-ID as wave."
