"table","table.lower","Description","URL (for data)","Reference","DOI (for paper)","Original License","Custom License","Public Reshare?","Derived License","Custom License","Notes","Contributor","Date"
"chen_2024_ae","chen_2024_ae","4 items on a 1-7 agreement scale, Chinese fitness coaches; the source labels the block only as AE and ships no codebook, so the codes are kept verbatim rather than named. 2,928 responses from 732 respondents on 4 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"chen_2024_cc","chen_2024_cc","5 items on a 1-7 agreement scale, Chinese fitness coaches; the source labels the block only as CC and ships no codebook, so the codes are kept verbatim rather than named. 3,660 responses from 732 respondents on 5 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"chen_2024_cg","chen_2024_cg","4 items on a 1-7 agreement scale, Chinese fitness coaches; the source labels the block only as CG and ships no codebook, so the codes are kept verbatim rather than named. 2,928 responses from 732 respondents on 4 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"chen_2024_cotah","chen_2024_cotah","4 items on a 1-7 agreement scale, Chinese fitness coaches; the source labels the block only as COTAH and ships no codebook, so the codes are kept verbatim rather than named. 2,928 responses from 732 respondents on 4 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"chen_2024_cr","chen_2024_cr","Creativity, 9 items on a 1-7 agreement scale, Chinese fitness coaches. 6,588 responses from 732 respondents on 9 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"chen_2024_ds","chen_2024_ds","5 items on a 1-7 agreement scale, Chinese fitness coaches; the source labels the block only as DS and ships no codebook, so the codes are kept verbatim rather than named. 3,660 responses from 732 respondents on 5 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"chen_2024_ec","chen_2024_ec","6 items on a 1-7 agreement scale, Chinese fitness coaches; the source labels the block only as EC and ships no codebook, so the codes are kept verbatim rather than named. 4,392 responses from 732 respondents on 6 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"chen_2024_je","chen_2024_je","5 items on a 1-7 agreement scale, Chinese fitness coaches; the source labels the block only as JE and ships no codebook, so the codes are kept verbatim rather than named. 3,660 responses from 732 respondents on 5 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"chen_2024_kc","chen_2024_kc","4 items on a 1-7 agreement scale, Chinese fitness coaches; the source labels the block only as KC and ships no codebook, so the codes are kept verbatim rather than named. 2,928 responses from 732 respondents on 4 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"chen_2024_kd","chen_2024_kd","4 items on a 1-7 agreement scale, Chinese fitness coaches; the source labels the block only as KD and ships no codebook, so the codes are kept verbatim rather than named. 2,928 responses from 732 respondents on 4 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"chen_2024_sc","chen_2024_sc","5 items on a 1-7 agreement scale, Chinese fitness coaches; the source labels the block only as SC and ships no codebook, so the codes are kept verbatim rather than named. 3,659 responses from 732 respondents on 5 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"chen_2024_smu","chen_2024_smu","5 items on a 1-7 agreement scale, Chinese fitness coaches; the source labels the block only as SMU and ships no codebook, so the codes are kept verbatim rather than named. 3,660 responses from 732 respondents on 5 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"chen_2024_spe","chen_2024_spe","5 items on a 1-7 agreement scale, Chinese fitness coaches; the source labels the block only as SPE and ships no codebook, so the codes are kept verbatim rather than named. 3,660 responses from 732 respondents on 5 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"chen_2024_tot","chen_2024_tot","4 items on a 1-7 agreement scale, Chinese fitness coaches; the source labels the block only as TOT and ships no codebook, so the codes are kept verbatim rather than named. 2,928 responses from 732 respondents on 4 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"chen_2024_ts","chen_2024_ts","Thrill seeking, 5 items on a 1-7 agreement scale, Chinese fitness coaches. 3,660 responses from 732 respondents on 5 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"chen_2024_uf","chen_2024_uf","4 items on a 1-7 agreement scale, Chinese fitness coaches; the source labels the block only as UF and ships no codebook, so the codes are kept verbatim rather than named. 2,928 responses from 732 respondents on 4 items.","https://zenodo.org/records/13855427","Chen, B. (2024). Exploring the Impact of Curiosity and Sport Commitment on Creativity among Fitness Coaches: The Mediating Role of Knowledge-Sharing and Flow Experience [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13855427","10.5281/zenodo.13855427","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"estevez_2021_actitu","estevez_2021_actitu","4 items on a 1-5 scale, Spanish primary school students aged 9-13; the source labels the block only as ACTITU and ships no codebook, so the codes are kept verbatim rather than named. 3,452 responses from 863 respondents on 4 items.","https://zenodo.org/records/5156068","Estevez, I., Valle, A., Rodriguez, S., Pineiro, I., Vieites, T., Gonzalez-Suarez, R., & Rodriguez-Llorente, C. (2021). Intrinsic motivation, perceived competence, negative feelings, and math academic performance [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5156068","10.5281/zenodo.5156068","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"estevez_2021_feepad","estevez_2021_feepad","5 items on a 1-5 scale, Spanish primary school students aged 9-13; the source labels the block only as FEEPAD and ships no codebook, so the codes are kept verbatim rather than named. 4,315 responses from 863 respondents on 5 items.","https://zenodo.org/records/5156068","Estevez, I., Valle, A., Rodriguez, S., Pineiro, I., Vieites, T., Gonzalez-Suarez, R., & Rodriguez-Llorente, C. (2021). Intrinsic motivation, perceived competence, negative feelings, and math academic performance [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5156068","10.5281/zenodo.5156068","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
"estevez_2021_feepr","estevez_2021_feepr","6 items on a 1-5 scale, Spanish primary school students aged 9-13; the source labels the block only as FEEPR and ships no codebook, so the codes are kept verbatim rather than named. 5,178 responses from 863 respondents on 6 items.","https://zenodo.org/records/5156068","Estevez, I., Valle, A., Rodriguez, S., Pineiro, I., Vieites, T., Gonzalez-Suarez, R., & Rodriguez-Llorente, C. (2021). Intrinsic motivation, perceived competence, negative feelings, and math academic performance [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5156068","10.5281/zenodo.5156068","CC BY 4.0","","Public","CC BY 4.0","","","automated","8/29/2026"
