table,table.lower,Description,URL (for data),Reference,DOI (for paper),Original License,Custom License,Public Reshare?,Derived License,Custom License,Notes,Contributor,Date
bukurov_2022_comq12,bukurov_2022_comq12,"12-item COMQ-12 chronic-otitis-media outcome questionnaire (0-5 raw), n=246, 2 waves (baseline/retest)",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0274513,"Bukurov B, et al (2022). Can short PROMs support valid factor-based sub-scores? Example of COMQ-12 in chronic otitis media. PLOS ONE.",10.1371/journal.pone.0274513,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
bukurov_2022_sf36,bukurov_2022_sf36,"36-item SF-36 health survey (mixed 1-6 per-item scales, standard SF-36 item format), same n=246 chronic otitis media sample as bukurov_2022_comq12",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0274513,"Bukurov B, et al (2022). Can short PROMs support valid factor-based sub-scores? Example of COMQ-12 in chronic otitis media. PLOS ONE.",10.1371/journal.pone.0274513,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
miedema_2023_ecs40,miedema_2023_ecs40,"40-item Economic Coercion Scale item pool (binary Yes/No, coded 0/1), Bangladesh field survey, n=930",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0287963,"Miedema S, et al (2023). Development and validation of the Economic Coercion Scale-20 (ECS-20): A short-form of the ECS-36. PLOS ONE.",10.1371/journal.pone.0287963,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
alfort_2023_finger_fx_prom,alfort_2023_finger_fx_prom,"46-item hand/arm patient-reported outcome measure (1-5 raw), Swedish Fracture Register finger-fracture patients, n=5504, 2 waves (baseline/follow-up)",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0288506,"Alfort ES, et al (2023). Finger fractures: Epidemiology and treatment based on 21341 fractures from the Swedish Fracture register. PLOS ONE.",10.1371/journal.pone.0288506,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
jaen_2024_odor_id,jaen_2024_odor_id,"9-item NIH Toolbox Odor Identification test (binary correct/incorrect per odor), remote assessment via Brain Health Registry, n=845",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0301264,"Jaen C, et al (2024). Remote olfactory assessment using the NIH Toolbox Odor Identification test and the brain health registry. PLOS ONE.",10.1371/journal.pone.0301264,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
ellis_2016_calc_instrqual,ellis_2016_calc_instrqual,"8-item instructor-quality perception scale (1-6 Likert), end-of-semester Calculus I student survey across US institutions, n=4925",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157447,"Ellis J, et al (2016). Women 1.5 Times More Likely to Leave STEM Pipeline after Calculus Compared to Men: Lack of Mathematical Confidence a Potential Culprit. PLOS ONE.",10.1371/journal.pone.0157447,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
ellis_2016_calc_instrprac,ellis_2016_calc_instrprac,"8-item instructor-classroom-practice frequency scale (1-6 Likert), same Calculus I survey as ellis_2016_calc_instrqual, n=4931",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157447,"Ellis J, et al (2016). Women 1.5 Times More Likely to Leave STEM Pipeline after Calculus Compared to Men: Lack of Mathematical Confidence a Potential Culprit. PLOS ONE.",10.1371/journal.pone.0157447,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
quinn_2023_roommate_cesd,quinn_2023_roommate_cesd,"20-item CES-D depressive-symptoms scale (0-3 raw), college roommate dyads, n=490, 3 waves",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0286709,"Quinn PD, et al (2023). Understanding the role of depressive symptoms in academic outcomes: A longitudinal study of college roommates. PLOS ONE.",10.1371/journal.pone.0286709,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
sun_2026_tiktok_travel,sun_2026_tiktok_travel,"29-item travel-intention-formation scale (1-7 Likert) across five constructs (information/service quality, destination image, positive emotions, travel intention), government-culture-tourism TikTok survey, n=406",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0349305,"Sun Y, et al (2026). Understanding travel intention formation in government culture and tourism TikTok accounts: An integration of the SOR model and emotion appraisal theory. PLOS ONE.",10.1371/journal.pone.0349305,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
shinohara_2021_testimony,shinohara_2021_testimony,"9-item mixed-scale battery (reward-allocation ranks 1-3, evaluation ratings -2 to +2) on children's attitudes toward puppets after positive/negative/neutral testimony, n=128",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0261075,"Shinohara I, et al (2021). The impact of positive and negative testimony on children's attitudes toward others. PLOS ONE.",10.1371/journal.pone.0261075,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
temesgen_2025_elephant_park_attitude,temesgen_2025_elephant_park_attitude,"7-item attitude-toward-park-conservation scale (1-5 Likert), Ethiopian household survey on human-elephant conflict, n=395",https://europepmc.org/article/PMC/PMC12103844,"Temesgen G, et al (2025). Human-elephant conflicts and attitude of the local communities toward African elephant (Loxodonta africana) conservation in Kafta Sheraro National Park, Tigray region, Ethiopia. PeerJ.",10.7717/peerj.19428,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
temesgen_2025_elephant_conserv_attitude,temesgen_2025_elephant_conserv_attitude,"7-item attitude-toward-African-elephant-conservation scale (1-5 Likert), same Ethiopian household survey as temesgen_2025_elephant_park_attitude, n=395",https://europepmc.org/article/PMC/PMC12103844,"Temesgen G, et al (2025). Human-elephant conflicts and attitude of the local communities toward African elephant (Loxodonta africana) conservation in Kafta Sheraro National Park, Tigray region, Ethiopia. PeerJ.",10.7717/peerj.19428,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
liu_2022_fragreading_frq,liu_2022_fragreading_frq,"22-item Fragmented Reading Questionnaire (1-5 Likert), Chinese university students, n=916",https://europepmc.org/article/PMC/PMC9415515,"Liu Y, et al (2022). The effects of university students' fragmented reading on cognitive development in the new media age: evidence from Chinese higher education. PeerJ.",10.7717/peerj.13861,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
