"doi","journal","title","flag","license","n_participants","n_items","n_responses","shape","data_file","external_link","url","status","note"
"10.1186/s12889-023-17109-1","bmcpubhealth","Representational shifts: increasing motivation for bottled water through simulation-enhancing advertisements.","aggregate_continuous","unknown","1089","19","19048","ok","Raw_qualtrics_data_exp4_an.csv","https://osf.io/s4kwv/?view_only=9ef5c3ebba424b73b153a018744fcc0b","https://europepmc.org/article/PMC/PMC10634071","blocked_licence","OSF node s4kwv is public but carries NO licence; article CC BY 4.0 does not reach a separately deposited file (source-licence rule, ECR-R 2026-09-04). Link published only as a ?view_only= review URL."
"10.7717/peerj.15826","peerj","Mild cognitive impairment in type 2 diabetes is associated with fibrinogen-to-albumin ratios.","aggregate_continuous","cc-by","328","30","9840","ok","peerj-11-15826-s001.xlsx","","https://europepmc.org/article/PMC/PMC10414025","rejected_content","Clinical biomarker table (ALT, HbA1c, eGFR ...) plus a single MoCA TOTAL. No item-level cognitive data; the only cognitive measure is a composite."
"10.1038/s41598-019-55277-6","screports","Ambiguity Processing Bias Induced by Depressed Mood Is Associated with Diminished Pleasantness.","aggregate_continuous","unknown","133","65","8381","ok","JBT expanded translation.sav","https://osf.io/zjnsb/","https://europepmc.org/article/PMC/PMC6904491","blocked_licence","OSF node zjnsb returns 404 without a token (private or withdrawn); no licence obtainable."
"10.7717/peerj.11263","peerj","Experiencing fear during the pandemic: validation of the fear of COVID-19 scale in Polish.","aggregate_continuous","cc-by","383","18","6894","ok","peerj-09-11263-s001.xlsx","","https://europepmc.org/article/PMC/PMC8083179","shipped","4 tables, 11,002 responses. Sample 1 fear1-7 deliberately NOT shipped -- it is the live pilch_2021_fear_covid19 sample (206/206 patterns shared)."
"10.1038/s41598-024-77912-7","screports","Higher eigenvector centrality in grooming network is linked to better inhibitory control task performance but not other cognitive tasks in free-ranging Japanese macaques.","recoverable_format","cc-by","3024","31","93744","ok","41598_2024_77912_MOESM2_ESM.xlsx","","https://europepmc.org/article/PMC/PMC11577106","shipped","kaigaishi_2024_primate_cognition: 6,356 trials, 138 macaques, 8 tasks."
"10.7717/peerj.6672","peerj","Preference classes in society for coastal marine protected areas.","recoverable_format","cc-by","4485","21","92265","ok","peerj-07-6672-s002.csv","","https://europepmc.org/article/PMC/PMC6485209","rejected_content","Discrete choice experiment, not item response data: 299 respondents x 5 choice tasks x 3 alternatives, resp is which attribute bundle was picked. The 4,485 'participants' in triage were alternative rows."
"10.1038/s41598-024-64722-0","screports","The impact of cognitive distraction on gustatory perception in volunteers with obesity.","recoverable_format","cc-by","2765","5","13825","check","behavioral_data The Impact of Cognitive Distraction on Gustatory Perception in Overweight Individuals Implications for Distracted Eating.csv","https://zenodo.org/records/10207997","https://europepmc.org/article/PMC/PMC11190272","rejected_content","Zenodo deposit is genuinely CC BY 4.0 and holds real trial data, but only 58 participants -- below the N>=100 floor. Triage's n=2,765 was the row count."
"10.7717/peerj.6330","peerj","Subjective assessment for super recognition: an evaluation of self-report methods in civilian and police participants.","recoverable_format","cc-by","264","28","7392","ok","peerj-07-6330-s001.xlsx","","https://europepmc.org/article/PMC/PMC6360075","shipped","bate_2019_srq: 8,300 responses, 415 ids, 20 items (EXP1+EXP2 merged)."
"10.1186/s12889-020-09180-9","bmcpubhealth","The occupational sitting and physical activity questionnaire (OSPAQ): a validation study with accelerometer-assessed measures.","recoverable_format","cc-by","401","9","3524","ok","12889_2020_9180_MOESM2_ESM.xlsx","","https://europepmc.org/article/PMC/PMC7339490","shipped","maes_2020_ospaq: 1,537 responses, 385 ids, 4 continuous items."
"10.1038/s41598-022-22995-3","screports","Investigating the associations between cognitive appraisals, emotion regulation and symptoms of posttraumatic stress disorder among Asian American and European American trauma survivors.","worth_retrying","unknown","111","39","8073","ok","data file_mturk.csv","https://osf.io/zkwna/","https://europepmc.org/article/PMC/PMC9616820","blocked_licence","OSF node zkwna is public but carries NO licence; article CC BY 4.0 does not reach the deposit."
"10.1038/s41598-024-52756-3","screports","Emotion regulation shows an age- and sex-specific moderating effect on the relationship between chronic stress and cognitive performance.","worth_retrying","cc-by","0","0","0","check","41598_2024_52756_MOESM1_ESM.xlsx","","https://europepmc.org/article/PMC/PMC10847168","rejected_content","Supplement is summary tables T1-T7 (correlations, mean DERS scores by sex/age). No raw responses deposited."
"10.1038/s41598-024-70692-0","screports","Grasp and remember: the impact of human and robotic actions on object preference and memory.","worth_retrying","cc-by","0","0","0","check","Encoding_spreadsheetRob_A.xlsx","https://osf.io/fgwvk/?view_only=c134fdee4c0e4ff4b95a808649c5065e","https://europepmc.org/article/PMC/PMC11349890","blocked_licence","OSF node fgwvk is PRIVATE (401 without a token); the article's CC BY does not reach it. Logged in license_blocked_candidates.csv."
"10.1038/s41598-025-34929-w","screports","Behavioural manifestations of human-directed social motivation in dogs.","worth_retrying","cc-by","0","0","0","check","41598_2025_34929_MOESM1_ESM.xlsx","","https://europepmc.org/article/PMC/PMC12868681","rejected_content","Supplement is demographics (104 dogs) plus summary/correlation tables. No trial-level or item-level responses deposited."
"10.1186/s12889-020-09096-4","bmcpubhealth","Multi-level validation of the German physical activity self-efficacy scale in a sample of female sixth-graders.","pii_suspected","cc-by","0","0","0","check","12889_2020_9096_MOESM1_ESM.xlsx","","https://europepmc.org/article/PMC/PMC7310132","skipped_pii","Raw SI xlsx carries a Date_of_birth column; blanket PII rule = whole-candidate skip."
