source,journal,doi,title,url,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files,refined_flag,refined_reason
plos,plosone,10.1371/journal.pone.0263766,"Body self-esteem is related to subjective well-being, severity of depressive symptoms, BMI, glycated hemoglobin levels, and diabetes-related distress in type 2 diabetes",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0263766,cc-by,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['pif_a4;pif_a5;wiek;grupa;czas_trwania;pif_a7;SOC_1;SOC_2;SOC_3;SOC_4;SOC_5;SOC_6;SOC_7;SOC_8;SOC_9;SOC_10;SOC_11;SOC_12;SOC_13;SOC_14;SOC_15;SOC_16;SOC_17;SOC_18;SOC_19;SOC_20;SOC_21;SOC_22;SOC_23;SOC_24;SOC_25;SOC_26;SOC_27;SOC_28;SOC_29;SOC_30;SOC_31,All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0263766_S1_Data.csv,,,,,0.0,recoverable_format,"File is semicolon-delimited but was read with comma delimiter. Header tokens include ['pif_a4', 'pif_a5', 'wiek', 'grupa', 'czas_trwania', 'pif_a7']... — re-read with sep=';' and re-run triage. Contains ~0 apparent item columns."
plos,plosone,10.1371/journal.pone.0311352,"Validation of the Argentine version of the epistemic trust, mistrust, and credulity questionnaire",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0311352,cc-by,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['ID;e1;e2;e3;e4;e5;e6;e7;e8;e9;e10;e11;e12;e13;e14;e15'] | SI caption: Dataset 1 from Study 1.   https://doi.org/10.1371/journal.po,Data Availability: All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0311352_S1_Table.csv,,,,,2.0,recoverable_format,"File is semicolon-delimited but was read with comma delimiter. Header tokens include ['ID', 'e1', 'e2', 'e3', 'e4', 'e5']... — re-read with sep=';' and re-run triage. Contains ~15 apparent item columns."
plos,plosone,10.1371/journal.pone.0164382,The Effect of Psychological Distance on Children’s Reasoning about Future Preferences,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0164382,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: Lee &amp; Atance datafile.   https://doi.org/10.1371/journal",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0164382_S1_File.sav,2478.0,99.0,19.0,1.3174,0.0,worth_retrying,"dup_id_item fail but n_participants=99, ratio=1.3× — consistent with a longitudinal/repeated-measures design. Re-examine file for a wave/timepoint/date column to use as third key; if present this is likely IRW-eligible."
plos,plosone,10.1371/journal.pone.0140357,Direct and Indirect Influence of Altruistic Behavior in a Social Network,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0140357,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: https://doi.org/10.1371/journal.pone.0140357.s001",All relevant data are included with the paper and its Supporting Information.,,journal.pone.0140357_S1_Dataset.xlsx,746.0,56.0,12.0,1.1101,0.0,worth_retrying,"dup_id_item fail but n_participants=56, ratio=1.1× — consistent with a longitudinal/repeated-measures design. Re-examine file for a wave/timepoint/date column to use as third key; if present this is likely IRW-eligible."
plos,plosone,10.1371/journal.pone.0288386,No relations between executive functions and dimensional models of psychopathology or is time the missing link?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0288386,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_ordinal*, resp_direction* | SI caption: https://doi.org/10.1371/journal.pone.0288386.s001",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0288386_S1_Data.sav,1719.0,359.0,4.0,1.1971,0.0,worth_retrying,"dup_id_item fail but n_participants=359, ratio=1.2× — consistent with a longitudinal/repeated-measures design. Re-examine file for a wave/timepoint/date column to use as third key; if present this is likely IRW-eligible."
plos,plosone,10.1371/journal.pone.0233831,Social support and mental health among health care workers during Coronavirus Disease 2019 outbreak: A moderated mediation model,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0233831,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0233831.s001",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0233831_S1_File.sav,91264.0,1472.0,62.0,1.0,0.0,worth_retrying,"Only issue is a low-confidence id column mapping — re-examine the first column to confirm it is the person identifier; if so, this dataset may be usable"
plos,plosone,10.1371/journal.pone.0207458,"Interpersonal justice climate, extra-role performance and work family balance: A multilevel mediation model of employee well-being",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0207458,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'ID' as fallback — verify this is the person identifier. | Could not confidently identify NUMERIC item columns, but 134 column(s) look like text-coded Likert items (e.g. ['Age', 'Gender', 'Education']) rather than numeric codes. Needs a human ",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0207458_S1_Dataset.sav,,,,,0.0,worth_retrying,"Item columns appear to hold text-coded Likert responses ('Strongly Agree', etc.) rather than numeric codes — confirm the category set/order against the source instrument and recode to numeric; not a content problem."
plos,plosone,10.1371/journal.pone.0305567,What’s going on with teleworking? a scoping review of its effects on well-being,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0305567,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 9 column(s) look like text-coded Likert items (e.g. ['Wellbeing constructs', 'Scale', 'Quality assessment']) rather than numeric codes. Needs a human to confirm the category set/order and recode to numeric. | Columns present: ['ID', 'Reference', 'Year of public",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0305567_S2_File.xlsx,,,,,0.0,worth_retrying,"Item columns appear to hold text-coded Likert responses ('Strongly Agree', etc.) rather than numeric codes — confirm the category set/order against the source instrument and recode to numeric; not a content problem."
plos,plosone,10.1371/journal.pone.0330637,How electronic health literacy influences physical activity behaviour among university students: A moderated mediation model,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0330637,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Survey report on university students’ health and lifestyle h",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0330637_S1_Data.xlsx,521220.0,9569.0,35.0,1.5563,0.0,worth_retrying,"dup_id_item fail but n_participants=9569, ratio=1.6× — consistent with a longitudinal/repeated-measures design. Re-examine file for a wave/timepoint/date column to use as third key; if present this is likely IRW-eligible."
plos,plosone,10.1371/journal.pone.0228961,Nudging individuals’ creativity using social labeling,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0228961,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Data for Study 1.   https://doi.org/10.1371/journal.pone.022",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0228961_S1_File.sav,2193.0,159.0,11.0,1.2539,2.0,worth_retrying,"dup_id_item fail but n_participants=159, ratio=1.3× — consistent with a longitudinal/repeated-measures design. Re-examine file for a wave/timepoint/date column to use as third key; if present this is likely IRW-eligible."
