key,date
10.5061/dryad.r6049,2026-08-13
10.5061/dryad.64313,2026-08-13
10.5061/dryad.33553,2026-08-13
10.5281/zenodo.12085679,2026-08-13
10.5281/zenodo.15281288,2026-08-13
10.5061/dryad.41ns1rndc,2026-08-13
10.5061/dryad.fj6q573r3,2026-08-13
10.5281/zenodo.15086618,2026-08-13
10.5281/zenodo.8355524,2026-08-13
10.5194/egusphere-2024-16,2026-08-13
https://osf.io/3escv/,2026-08-13
https://osf.io/pvb2j/,2026-08-13
https://osf.io/jy7pi/,2026-08-13
https://osf.io/dhu7f/,2026-08-13
10.5061/dryad.t6r3mq1,2026-08-13
10.5061/dryad.g4f4qrg15,2026-08-13
10.5061/dryad.rn8pk0p6x,2026-08-13
10.5061/dryad.xksn02vgf,2026-08-13
10.5061/dryad.m1b1k35,2026-08-13
10.1371/journal.pone.0353785.t003,2026-08-13
10.6084/m9.figshare.33154514.v1,2026-08-13
10.23668/psycharchives.8268,2026-08-13
10.5061/dryad.h9w0vt4xm,2026-08-13
10.23668/psycharchives.16418,2026-08-13
10.23668/psycharchives.16863,2026-08-13
10.57760/sciencedb.psych.01150,2026-08-13
10.57761/5p25-v027,2026-08-13
10.3886/icpsr39815,2026-08-13
10.5683/sp3/euubk3,2026-08-13
10.5683/sp2/8btwke,2026-08-13
10.5683/sp3/yykrdc,2026-08-13
10.5683/sp3/3rjvmy,2026-08-13
10.5683/sp3/bhazw8,2026-08-13
10.5683/sp3/hpkeec,2026-08-13
10.5683/sp3/arqohp,2026-08-13
10.5683/sp3/sdfzuo,2026-08-13
10.7939/dvn/nmtmy6,2026-08-13
10.34894/g99fdh,2026-08-13
10.34894/dfttzq,2026-08-13
10.34894/br6aoz,2026-08-13
10.34894/wltwcq,2026-08-13
10.34894/y2ra7b,2026-08-13
10.34894/k2zked,2026-08-13
10.34894/rd6mez,2026-08-13
10.34894/wvni6j,2026-08-13
10.34894/1ao0ll,2026-08-13
10.34894/qtyjdu,2026-08-13
10.34894/9kl75i,2026-08-13
10.34894/2hylt1,2026-08-13
10.34894/lzkwbr,2026-08-13
10.34894/3mgx06,2026-08-13
10.34894/idrtmf,2026-08-13
10.34894/k0wsn6,2026-08-13
10.34894/lhgif1,2026-08-13
10.34894/wyv3yp,2026-08-13
10.34894/ydxp6z,2026-08-13
10.34894/cmjxak,2026-08-13
10.34894/wqsr7z,2026-08-13
10.34894/wnef34,2026-08-13
10.34894/feaphl,2026-08-13
10.34894/3ucxy4,2026-08-13
10.34894/yfwogi,2026-08-13
10.17632/86cxzhbrpz.1,2026-08-13
10.17632/86cxzhbrpz,2026-08-13
10.5683/sp3/nz6oon,2026-08-13
10.5683/sp3/nnq6fj,2026-08-13
10.34894/cdfbya,2026-08-13
10.34894/uyfh5l,2026-08-13
10.34894/k7ikfa,2026-08-13
10.34894/uurtui,2026-08-13
10.34894/3spcpe,2026-08-13
10.34894/hfu7r4,2026-08-13
10.34894/yrol7f,2026-08-13
10.34894/xl3gbf,2026-08-13
10.5281/zenodo.16268465,2026-08-13
10.5281/zenodo.18494120,2026-08-13
10.5281/zenodo.20814975,2026-08-13
10.57760/sciencedb.cjae.00311,2026-08-13
10.57760/sciencedb.45425,2026-08-13
10.57760/sciencedb.30338,2026-08-13
10.5281/zenodo.5799673,2026-08-13
10.5281/zenodo.5777485,2026-08-13
10.5281/zenodo.5794416,2026-08-13
10.5281/zenodo.5810519,2026-08-13
10.5281/zenodo.5827572,2026-08-13
10.5281/zenodo.5827788,2026-08-13
10.5061/dryad.895b2,2026-08-13
10.5281/zenodo.12628883,2026-08-13
10.5281/zenodo.21278660,2026-08-13
10.5281/zenodo.18530701,2026-08-13
10.5061/dryad.bh980,2026-08-13
10.5061/dryad.1r004vb,2026-08-13
10.5061/dryad.np517,2026-08-13
https://osf.io/5et9n/,2026-08-13
10.5061/dryad.b5mkkwhjw,2026-08-13
10.5061/dryad.n2z34tn3d,2026-08-13
10.5061/dryad.0p2ngf2cw,2026-08-13
10.5061/dryad.xd2547ddq,2026-08-13
10.5061/dryad.ht76hdrn0,2026-08-13
10.5061/dryad.51c59zwn0,2026-08-13
10.5061/dryad.6fv96,2026-08-13
10.5061/dryad.9cnp5hqx0,2026-08-13
10.5061/dryad.27832,2026-08-13
10.6084/m9.figshare.32200602.v2,2026-08-13
10.1371/journal.pdig.0001133.t001,2026-08-13
10.6084/m9.figshare.30826265.v1,2026-08-13
10.6084/m9.figshare.28855997.v1,2026-08-13
10.1371/journal.pone.0334724.t004,2026-08-13
10.6084/m9.figshare.30426739.v1,2026-08-13
10.3389/fninf.2023.1244347.s011,2026-08-13
10.3389/fninf.2023.1244347.s012,2026-08-13
10.3389/fninf.2023.1244347.s009,2026-08-13
10.3389/fninf.2023.1244347.s010,2026-08-13
10.3389/fninf.2023.1244347.s006,2026-08-13
10.3389/fninf.2023.1244347.s007,2026-08-13
10.3389/fninf.2023.1244347.s008,2026-08-13
10.3389/fninf.2023.1244347.s004,2026-08-13
10.3389/fninf.2023.1244347.s005,2026-08-13
10.3389/fninf.2023.1244347.s003,2026-08-13
10.34973/rxkv-zv08,2026-08-13
10.17632/zty8cr43bw.1,2026-08-13
10.17632/zty8cr43bw,2026-08-13
10.17632/vvrp8x7jr6.1,2026-08-13
10.17632/vvrp8x7jr6,2026-08-13
10.5683/sp3/bknea2,2026-08-13
10.5683/sp2/522kv2,2026-08-13
10.5683/sp2/fjxbrx,2026-08-13
10.5683/sp3/v47glq,2026-08-13
10.5683/sp3/xg3aw6,2026-08-13
10.34894/hb8h7o,2026-08-13
10.34894/z8dunn,2026-08-13
10.34894/jwypvl,2026-08-13
10.34894/gvuzlc,2026-08-13
10.34894/ukm2ev,2026-08-13
10.34894/cxenfp,2026-08-13
10.34894/mg1gyt,2026-08-13
10.34894/8ugj0a,2026-08-13
10.34894/bvdlzx,2026-08-13
10.5281/zenodo.19673556,2026-08-13
10.5281/zenodo.6593174,2026-08-13
https://osf.io/hdasm/,2026-08-13
10.5061/dryad.8sf7m0ckf,2026-08-13
10.5061/dryad.zw3r228gb,2026-08-13
10.5061/dryad.rfj6q57gh,2026-08-13
10.5061/dryad.21873,2026-08-13
10.5061/dryad.2jm63xsss,2026-08-13
10.5061/dryad.k0p2ngfdv,2026-08-13
10.5061/dryad.7p60n,2026-08-13
10.1371/journal.pone.0341994.t002,2026-08-13
10.23668/psycharchives.6992,2026-08-13
10.23668/psycharchives.3133,2026-08-13
10.5683/sp3/z2ijte,2026-08-13
10.5683/sp3/tx7fpr,2026-08-13
10.5683/sp3/af5nu2,2026-08-13
10.5683/sp3/y5ho3k,2026-08-13
10.5683/sp4/chlu6f,2026-08-13
10.5683/sp2/96iisk,2026-08-13
10.5683/sp3/6qqgph,2026-08-13
10.5683/sp3/0ffgwu,2026-08-13
10.34894/n1966g,2026-08-13
10.34894/fxll6y,2026-08-13
10.34894/i800vr,2026-08-13
10.34894/yxvrbs,2026-08-13
10.5281/zenodo.18623304,2026-08-13
10.5281/zenodo.10606130,2026-08-13
10.57760/sciencedb.o00130.00178,2026-08-13
10.5061/dryad.27635v2,2026-08-13
10.5061/dryad.xpnvx0kd7,2026-08-13
10.5281/zenodo.11046014,2026-08-13
10.5281/zenodo.10976290,2026-08-13
10.5281/zenodo.10499868,2026-08-13
10.5281/zenodo.14189885,2026-08-13
10.5281/zenodo.7907756,2026-08-13
10.5061/dryad.v3539d2,2026-08-13
10.5281/zenodo.18829784,2026-08-13
10.5281/zenodo.6360623,2026-08-13
10.5281/zenodo.21451382,2026-08-13
10.5061/dryad.68ff1,2026-08-13
10.5281/zenodo.18672547,2026-08-13
10.5061/dryad.70rxwdbwn,2026-08-13
10.5061/dryad.t76hdr8dm,2026-08-13
10.1371/journal.pone.0351843.t009,2026-08-13
10.1371/journal.pone.0351843.t008,2026-08-13
10.1371/journal.pone.0351843.t007,2026-08-13
10.1371/journal.pone.0351843.t001,2026-08-13
10.6084/m9.figshare.29929850.v1,2026-08-13
10.1371/journal.pone.0318638.t006,2026-08-13
10.1371/journal.pone.0289293.t003,2026-08-13
10.3389/fpsyg.2023.1141809.s001,2026-08-13
10.3389/fnbeh.2022.968159.s001,2026-08-13
10.3389/fnbeh.2022.968159.s002,2026-08-13
10.3389/fnbeh.2022.968359.s001,2026-08-13
10.6084/m9.figshare.20005071.v1,2026-08-13
10.3389/fnins.2021.667399.s001,2026-08-13
10.3389/fpsyg.2021.762225.s001,2026-08-13
10.3389/fpsyg.2021.762225.s002,2026-08-13
10.23641/asha.15138747.v1,2026-08-13
10.3389/fnins.2021.650219.s001,2026-08-13
10.3389/fnins.2021.650219.s002,2026-08-13
10.3389/fpubh.2020.597389.s001,2026-08-13
10.3389/fpubh.2020.597389.s002,2026-08-13
10.23641/asha.12210311.v1,2026-08-13
10.3389/fnagi.2020.00062.s001,2026-08-13
10.3389/fnbeh.2020.00027.s001,2026-08-13
10.6084/m9.figshare.10296158.v1,2026-08-13
10.3389/fpsyg.2019.02051.s001,2026-08-13
10.23668/psycharchives.21592,2026-08-13
10.6084/m9.figshare.29929850,2026-08-13
10.23719/1523129,2026-08-13
10.17632/k456yg65xg.1,2026-08-13
10.17632/k456yg65xg,2026-08-13
10.5255/ukda-sn-858302,2026-08-13
10.5061/dryad.ffbg79ct0,2026-08-13
10.5683/sp2/htlvag,2026-08-13
10.5683/sp2/0al2t1,2026-08-13
10.5683/sp3/0eul1r,2026-08-13
10.5683/sp3/ln4tc8,2026-08-13
10.5683/sp3/czzjbi,2026-08-13
10.5683/sp3/nvqfmr,2026-08-13
10.5683/sp2/ewfmjl,2026-08-13
10.34894/3o5hnb,2026-08-13
10.34894/hklpfd,2026-08-13
10.34894/uvqhhd,2026-08-13
10.34894/34cs4u,2026-08-13
10.34894/nsw6gi,2026-08-13
10.34894/wwve9j,2026-08-13
10.34894/ld03hf,2026-08-13
10.34894/cytanw,2026-08-13
10.34894/smu8fb,2026-08-13
10.34894/puuqzk,2026-08-13
10.34894/nssdcu,2026-08-13
10.34894/05tghg,2026-08-13
10.34894/plm0re,2026-08-13
10.34894/vdk1l5,2026-08-13
10.5281/zenodo.19710679,2026-08-13
10.57760/sciencedb.12118,2026-08-13
10.5281/zenodo.6107737,2026-08-13
10.5061/dryad.nb301,2026-08-13
10.5281/zenodo.14759925,2026-08-13
10.5061/dryad.181v0,2026-08-13
10.5281/zenodo.18630911,2026-08-13
10.6084/m9.figshare.33025316.v2,2026-08-13
10.3389/fphys.2024.1463784.s001,2026-08-13
10.3389/fnhum.2024.1387299.s006,2026-08-13
10.3389/fnhum.2024.1387299.s003,2026-08-13
10.3389/fnhum.2024.1387299.s004,2026-08-13
10.3389/fnhum.2024.1387299.s005,2026-08-13
10.3389/fnhum.2024.1436564.s001,2026-08-13
10.3389/fpsyg.2023.861441.s001,2026-08-13
10.3389/fneur.2022.964207.s001,2026-08-13
10.3389/fpubh.2022.968642.s001,2026-08-13
10.14288/1.0453240,2026-08-13
10.82901/nemar.on003690.v1.0.0,2026-08-13
10.82901/nemar.on003690,2026-08-13
10.5061/dryad.qz612jmrm,2026-08-13
10.34894/7ki4m9,2026-08-13
10.34894/0dq5tu,2026-08-13
10.34894/irxdxh,2026-08-13
10.5281/zenodo.15089684,2026-08-13
10.5281/zenodo.17046455,2026-08-13
10.5281/zenodo.16948327,2026-08-13
10.5281/zenodo.19751690,2026-08-13
10.5281/zenodo.20970326,2026-08-13
10.5061/dryad.649nk,2026-08-13
10.5281/zenodo.7723381,2026-08-13
10.7272/q6bv7dvm,2026-08-13
10.5281/zenodo.15466504,2026-08-13
10.5061/dryad.3f863,2026-08-13
10.6084/m9.figshare.28184417.v3,2026-08-13
10.25378/janelia.27273552.v1,2026-08-13
10.6084/m9.figshare.11320100.v1,2026-08-13
10.3389/fpsyg.2021.631672.s001,2026-08-13
10.3389/fpsyg.2019.01548.s001,2026-08-13
10.17026/dans-zjt-aehh,2026-08-13
10.5683/sp3/huovo3,2026-08-13
10.5683/sp3/1xl4ht,2026-08-13
10.5683/sp3/4fcdh6,2026-08-13
10.5683/sp3/hvchm4,2026-08-13
10.5683/sp3/zpn3c0,2026-08-13
10.5683/sp3/4vkbky,2026-08-13
10.5683/sp2/uqvxcw,2026-08-13
10.5683/sp3/e9vdcz,2026-08-13
10.5683/sp3/pswy62,2026-08-13
10.5683/sp2/6mjnod,2026-08-13
10.5683/sp3/jj2yzz,2026-08-13
10.5683/sp3/h0aelt,2026-08-13
10.5683/sp3/8mc0x2,2026-08-13
10.34894/ezabdx,2026-08-13
10.34894/d4fcrx,2026-08-13
10.34894/bvtmvo,2026-08-13
10.34894/wpnght,2026-08-13
10.34894/keiqrd,2026-08-13
10.34894/iqd8mt,2026-08-13
10.34894/94mie3,2026-08-13
10.34894/c7wczw,2026-08-13
10.34894/q9hupi,2026-08-13
10.34894/zjlizv,2026-08-13
10.34894/hjdm5v,2026-08-13
10.34894/z7zvod,2026-08-13
10.34894/8mpnea,2026-08-13
10.5281/zenodo.10724959,2026-08-13
10.5683/sp3/3mz42b,2026-08-13
10.34894/2cyfio,2026-08-13
10.5281/zenodo.15547217,2026-08-13
10.5683/sp2/jsszw9,2026-08-13
10.5281/zenodo.21464709,2026-08-13
10.5281/zenodo.19072838,2026-08-13
10.5281/zenodo.15673712,2026-08-13
10.5061/dryad.5302r,2026-08-13
10.5281/zenodo.4071944,2026-08-13
10.3389/fnagi.2020.00120.s001,2026-08-13
10.3389/fpsyg.2018.00995.s001,2026-08-13
10.1371/journal.pone.0077867.t001,2026-08-13
10.3886/e239043v1,2026-08-13
10.3886/e239043,2026-08-13
10.17632/tt9m2y94nb,2026-08-13
10.57754/fdat.rfjy1-bm660,2026-08-13
10.17632/tt9m2y94nb.1,2026-08-13
10.25500/edata.bham.00000452,2026-08-13
10.5683/sp2/beidfz,2026-08-13
10.5683/sp3/oyvbpc,2026-08-13
10.5683/sp3/qtojlz,2026-08-13
10.5683/sp3/tqqz74,2026-08-13
10.5683/sp3/zbfrpc,2026-08-13
10.5683/sp3/4ul1u0,2026-08-13
10.5683/sp3/xn4zyz,2026-08-13
10.5683/sp4/aydzrf,2026-08-13
10.34894/gw5mld,2026-08-13
10.34894/0fyuxa,2026-08-13
10.34894/3ihor8,2026-08-13
10.34894/silxen,2026-08-13
10.34894/ydxmlq,2026-08-13
10.34894/54ubcq,2026-08-13
10.34894/yewwoe,2026-08-13
10.34894/wkezyp,2026-08-13
10.34894/ccpjtc,2026-08-13
10.34894/lzjnrk,2026-08-13
10.34894/hattur,2026-08-13
10.34894/oxm5wh,2026-08-13
10.34894/lvxskz,2026-08-13
10.34894/j3fuqm,2026-08-13
10.34894/ma3zpl,2026-08-13
10.34894/bndtks,2026-08-13
10.34894/rdpz7k,2026-08-13
10.34894/4ndghw,2026-08-13
10.34894/qnvtoa,2026-08-13
10.34894/zhodry,2026-08-13
10.34894/vbdab4,2026-08-13
10.34894/gmkhaa,2026-08-13
10.34894/gqkruf,2026-08-13
10.34894/ytlscc,2026-08-13
10.5281/zenodo.21642394,2026-08-13
10.5281/zenodo.8157163,2026-08-13
10.5281/zenodo.15790139,2026-08-13
10.5683/sp3/rglrd8,2026-08-13
10.5683/sp3/1esjih,2026-08-13
10.34894/dpaopc,2026-08-13
10.34894/41wjrf,2026-08-13
10.34894/sy1urj,2026-08-13
10.34894/5trzsh,2026-08-13
10.34894/gwlzai,2026-08-13
10.34894/srt7gf,2026-08-13
10.34894/58vdk7,2026-08-13
10.34894/xv0s4q,2026-08-13
10.34894/wnphxj,2026-08-13
10.34894/althj7,2026-08-13
10.34894/f9wuge,2026-08-13
10.5281/zenodo.18074136,2026-08-13
10.5281/zenodo.20756231,2026-08-13
10.5281/zenodo.19947667,2026-08-13
10.34894/9kpuxa,2026-08-13
10.5281/zenodo.20264205,2026-08-13
https://osf.io/3wcgp/,2026-08-14
https://osf.io/hgujs/,2026-08-14
https://osf.io/6x5hw/,2026-08-14
10.5281/zenodo.21636985,2026-08-14
10.5281/zenodo.20516198,2026-08-14
10.5281/zenodo.20345390,2026-08-14
10.5281/zenodo.15032544,2026-08-14
10.17632/x8zvbjv6p2.1,2026-08-14
10.6084/m9.figshare.32887723.v1,2026-08-14
10.6084/m9.figshare.32887720.v1,2026-08-14
10.6084/m9.figshare.32887717.v1,2026-08-14
10.6084/m9.figshare.32649377.v1,2026-08-14
10.1371/journal.pone.0351302.t002,2026-08-14
10.17632/hybm97cfsj.1,2026-08-14
10.17632/hybm97cfsj,2026-08-14
