doi,flag,license,title,src,verdict,pii,shape,blocks,biggest_block,triage_flag,n_ids,n_items
10.17632/dt5hj5j792,good,CC BY 4.0,The chain mediation effects of automatic thoughts and impulse control on growth mindset an,mendeley_leads_2026-08-25.csv,instrument,,516x46,CQx17; TCQx9; CQ#_Ax7; GQx6,17,good,516,45
10.17632/dkv4dyxdwx,good,CC BY 4.0,Burnout Levels of Healthcare Professionals,mendeley_leads_2026-08-25.csv,instrument,,198x37,Burnoutx10,10,good,198,11
10.17632/62rjwfhm6j,good,CC BY 4.0,Ecosystem Services and Well-being,mendeley_leads_2026-08-25.csv,thin,,1016x29,Tourist well-beingx4; healthy attitudex4; Ecological Valuesx4; Provisioning servicesx3,4,good,1016,28
10.17632/2b2y5rw75s,good,CC BY 4.0,"Self-esteem, suicidal tendencies and emotional intelligence in adolescents",mendeley_leads_2026-08-25.csv,thin,,4307x15,,0,good,4307,2
10.17632/btrrmwtfmh,good,CC BY 4.0,Depression in elderly population,mendeley_leads_2026-08-25.csv,thin,,304x39,,0,good,304,6
10.7910/dvn/1ufrud,good,CC0 1.0,Replication Data for: Partisanship and the Trolley Problem,backlog_recovered_leads_2026-08-25.csv,thin,,1000x5,,0,good,1000,4
10.6084/m9.figshare.16577462.v1,worth_retrying,CC BY 4.0,Data set for the Three-Factor Eating Questionnaire validation,backlog_recovered_leads_2026-08-25.csv,instrument,,213x54,ix51,51,human_assistance,173,51
10.3389/fpsyg.2022.980180.s003,worth_retrying,CC BY 4.0,Table_3_Resilience against radicalization and extremism in schools: Development of a psych,backlog_recovered_leads_2026-08-25.csv,instrument,,334x118,political_resiliencex49; anomix7; violent_beh_intentiox7; relative_deprivationx6,49,human_assistance,308,112
10.3389/fendo.2024.1390564.s001,worth_retrying,CC BY 4.0,"Table1_A study of the relationship between social support, depression, alexithymia and gly",backlog_recovered_leads_2026-08-25.csv,instrument,,318x115,社x29; @x19; 抑x18,29,human_assistance,164,114
10.17632/nr9388gbzf,worth_retrying,CC BY 4.0,"The Role of Different Levels of Cognitive, Emotional, and Spiritual Development in Adults ",mendeley_leads_2026-08-25.csv,instrument,,700x241,AQx28; GQx27; IQx19; FQx18,28,human_assistance,700,241
10.17632/dmv73kyjdp,worth_retrying,CC BY 4.0,mental health literacy,mendeley_leads_2026-08-25.csv,instrument,,240x58,yx22; tersx8,22,human_assistance,240,52
10.17632/mgwtzjww7g,worth_retrying,CC BY 4.0,"Employing Item Response Theory to Identify Workplace Bullying Risk Groups, Gender-Based Re",mendeley_leads_2026-08-25.csv,instrument,,867x25,naqx22,22,human_assistance,867,25
10.17632/95cmh2ftwk,worth_retrying,CC BY 4.0,National burnout survey: BICDIS,mendeley_leads_2026-08-25.csv,instrument,,472x84,DASSx21; MBSx16; BFIx11; BFI#Rx5,21,human_assistance,472,83
10.17632/jkwhf3ys6z,worth_retrying,CC BY 4.0,Burnout in Entrepreneurs Predicted by Stress and Harmonious Passion,mendeley_leads_2026-08-25.csv,instrument,,184x149,w#_SQ#_num_indexx21; PSx17; WBx12; MOLBIx10,21,human_assistance,149,143
10.17632/3gx5f24fpv,worth_retrying,CC BY 4.0,"Anxiety, self-efficacy, and self-regulation in high school students: The mediating role of",mendeley_leads_2026-08-25.csv,instrument,,325x81,ex20; dx20; bx17; cx16,20,human_assistance,325,81
10.17632/6rbv3fbz8d,worth_retrying,CC BY 4.0,The Bidirectional Role of Grit in Mediating Time Management and Procrastination to Allevia,mendeley_leads_2026-08-25.csv,instrument,,278x77,PROx20; TMx18; PHQx9; GRITx8,20,human_assistance,259,76
10.7910/dvn/qs5d8c,worth_retrying,CC0 1.0,A linkage of college students' mobile phone addiction and social anxiety: The mediating ro,backlog_recovered_leads_2026-08-25.csv,instrument,,195x56,#.MPA-Qx20; #.SC-Qx19; #.SA-Qx10,20,human_assistance,168,55
10.17632/y8wwtmxxzg,worth_retrying,CC BY 4.0,Data for: Gender-Based Differential Item Functioning in the Cannabis-Associated Problems Q,mendeley_leads_2026-08-25.csv,instrument,,4053x34,CAPQx19,19,human_assistance,4053,34
10.17632/dfzf2kxmr3,worth_retrying,CC BY 4.0,Academic Citizenship Behavior in Islamic Higher Education: The Interplay of Ethical Leader,mendeley_leads_2026-08-25.csv,instrument,,189x33,SACBx10; ELx10; PsMx5,10,human_assistance,189,33
10.17632/fkyw9v8yj2,worth_retrying,CC BY 4.0,Factors affecting self-esteem among Jordanians,mendeley_leads_2026-08-25.csv,instrument,,287x17,Q#sx10; Qx4,10,human_assistance,287,16
10.17632/nfzwfhw4k4,worth_retrying,CC BY 4.0,Influential Factors on Self-Esteem Among Jordanians,mendeley_leads_2026-08-25.csv,instrument,,287x17,Q#sx10; Qx4,10,human_assistance,287,16
10.25421/yorksj.32113705.v1,worth_retrying,CC BY 4.0,The Role of Self-Esteem in the Relationship Between Problematic Social Media Use and Body ,backlog_recovered_leads_2026-08-25.csv,instrument,,904x38,Rosenburg_esteemx10; Social_media_usex9; BSx6,10,human_assistance,816,33
10.17632/ddy7jc4mvb,worth_retrying,CC BY 4.0,"Grit, Emotions, and English learning Achievement",mendeley_leads_2026-08-25.csv,instrument,,310x52,CBx8; FLEPx5; TBx5; COIx4,8,human_assistance,310,52
10.17632/kh5zvysyph,worth_retrying,CC BY 4.0,Looking Beyond Seeing: Components of Visual-Spatial Ability As an Overarching Process,mendeley_leads_2026-08-25.csv,instrument,,128x239,MR#_ACCx8; OUT_MR#_ACCx8; Out_MC_ACCx3,8,human_assistance,128,239
10.3389/fpsyg.2024.1389253.s001,worth_retrying,CC BY 4.0,Table_1_Nexus between organizational citizenship behavior and psychological wellbeing: emo,backlog_recovered_leads_2026-08-25.csv,instrument,,302x28,PWBx8; EIx7; OCBx6,8,human_assistance,152,27
10.17632/zhcyyxwpr6,worth_retrying,CC BY 4.0,Work-Related Depression and Life Satis-faction: Moderating Effect of Job Guar-antee and Ps,mendeley_leads_2026-08-25.csv,instrument,,281x48,IYMSRLKx6; PDYNKx6; UMUTx6; OZYTRLKx6,6,human_assistance,281,48
10.7910/dvn/wwn1ts,worth_retrying,CC0 1.0,"Repeating the listening text: effects on student performance, metacognitive processing, an",backlog_recovered_leads_2026-08-25.csv,instrument,,1223x14,#.x6; x3; Unnamed:x3,6,human_assistance,1223,10
10.6084/m9.figshare.31851586.v2,worth_retrying,CC BY 4.0,KAP Questionnaire Toward COVID-19 Among Algerian University Students,backlog_recovered_leads_2026-08-25.csv,instrument,,300x72,Cx6; Px6; Ax5,6,human_assistance,298,23
10.6084/m9.figshare.29235896.v1,worth_retrying,CC BY 4.0,Digital Intelligence and Decision Optimization in Healthcare Supply Chain Management,backlog_recovered_leads_2026-08-25.csv,instrument,,360x25,Ix5; ICx5; DOx5; ACx3,5,human_assistance,359,24
10.17632/568zdsvs2s,worth_retrying,CC BY 4.0,Data for: It works both ways. Enhancing self-esteem using the self-reference task,mendeley_leads_2026-08-25.csv,thin,,127x9,,0,human_assistance,127,8
10.17632/b4pdcc4mh4,worth_retrying,CC BY 4.0,Dataset for Emotional reaction to the first dose of COVID-19 vaccine: Post vaccination dec,mendeley_leads_2026-08-25.csv,thin,,250x18,,0,human_assistance,250,18
10.17632/hwp4wsb549,worth_retrying,CC BY 4.0,Personality Traits and Academic Motivation as Predictors of Attitudes Toward Distance Educ,mendeley_leads_2026-08-25.csv,thin,,412x70,,0,human_assistance,388,65
10.17632/kkzjk253cy,worth_retrying,CC BY 4.0,PHQ-9 Student Depression Dataset,mendeley_leads_2026-08-25.csv,thin,,682x16,,0,human_assistance,682,2
10.17632/stcts7czxy,worth_retrying,CC BY 4.0,AI Literacy Assessment Instrument Dataset,mendeley_leads_2026-08-25.csv,thin,,348x33,,0,human_assistance,,
10.17632/vp9wtb92hx,worth_retrying,CC BY 4.0,"The Impact of Listening Strategy-Based Instruction on Self-Efficacy, Motivation, Self-Regu",mendeley_leads_2026-08-25.csv,thin,,22x8,,0,human_assistance,,
10.6084/m9.figshare.32761266.v1,worth_retrying,CC BY 4.0,India Tech Career Intelligence [1M],backlog_recovered_leads_2026-08-25.csv,thin,,100000x33,,0,human_assistance,85146,5
10.7910/dvn/rwpomi,worth_retrying,CC0 1.0,Replication Data for: The Moderating Effect of Socioeconomic Status on the Nonlinear Relat,backlog_recovered_leads_2026-08-25.csv,thin,,44170x12,,0,human_assistance,44170,12
10.7910/dvn/alygqs,worth_retrying,CC0 1.0,Replication Data for: Does Islamist Terrorism Still Affect Political Attitudes?,backlog_recovered_leads_2026-08-25.csv,thin,,33769x18,,0,human_assistance,33769,5
10.7910/dvn/me8oji,worth_retrying,CC0 1.0,"Customer Artificial Intelligence Application, Supplier Environmental Regulation, and Suppl",backlog_recovered_leads_2026-08-25.csv,thin,,2103x46,,0,human_assistance,1646,42
