source,journal,doi,title,url,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files
plos,plosone,10.1371/journal.pone.0296383,A newly detected bias in self-evaluation,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0296383,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All data and programs are publicly available at:  https://github.com/guillaumeDeffuant/sensitivityBias .,,,,,,,
plos,plosone,10.1371/journal.pone.0135952,Responses to Success: Seeking Pleasant Experiences before a Task Is Complete?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0135952,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper and its Supporting Information files.,,,,,,,
plos,plosone,10.1371/journal.pone.0319785,Impact of work-family conflict on work engagement among female university teachers: Evidence from China,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0319785,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://doi.org/10.6084/m9.figshare.28169513,All relevant data are available from them figshare repository at  https://doi.org/10.6084/m9.figshare.28169513 .,https://doi.org/10.6084/m9.figshare.28169513,,,,,,
plos,plosone,10.1371/journal.pone.0337146,"Economic, nutritional, and efficiency assessment of recycled casing soil and compost nutritional supplements for sustainable white button mushroom cultivation",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0337146,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the manuscript.,,,,,,,
plos,plosone,10.1371/journal.pone.0229037,Bioaccessibility of antimony and other trace elements from lead shot pellets in a simulated avian gizzard environment,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0229037,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper and its Supporting Information files.,,,,,,,
plos,plosone,10.1371/journal.pone.0255046,Experimental study on anchorage performance of rockbolts by adding steel aggregates into resin anchoring agents,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0255046,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the manuscript and its  Supporting Information  files.,,,,,,,
plos,plosone,10.1371/journal.pone.0297517,"Development and validation of scales for speaking self-efficacy: Constructs, sources, and relations",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0297517,cc-by,good,"Passed (no errors); 3 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, multi_scale*, item_scale_outlier | SI caption: Raw data.   https://doi.org/10.1371/journal.pone.0297517.s00",All relevant data are within the manuscript and its  Supporting information  files.,,journal.pone.0297517_S1_Data.xlsx,3859,227,17,1.0,0
plos,plosone,10.1371/journal.pone.0083326,Partial Mediation Role of Self-Efficacy between Positive Social Interaction and Mental Health in Family Caregivers for Dementia Patients in Shanghai,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0083326,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,plosone,10.1371/journal.pone.0226716,"Self-efficacy, procrastination, and burnout in post-secondary faculty: An international longitudinal analysis",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0226716,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,The data underlying the results presented in the study are available from  www.ame1.net .,,,,,,,
plos,plosone,10.1371/journal.pone.0320845,The effect of peer relationships on college students’ behavioral intentions to be physically active: The chain-mediated role of social support and exercise self-efficacy,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0320845,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Data availability statement.   https://doi.org/10.1371/journ",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0320845_S1_Data.xlsx,30840,514,60,1.0,0
plos,plosone,10.1371/journal.pone.0156167,Base Rates of Depressive Symptoms in Patients with Coronary Heart Disease: An Individual Symptom Analysis,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0156167,cc-by,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['phq9_1;phq9_2;phq9_3;phq9_4;phq9_5;phq9_6;phq9_7;phq9_8;phq9_9;ccsc;nyha;EQ5D_sum;age;gender;education_level;employed;infarct;bypass;setting;hypertension;diabetes;dyslipidemia;smoking;obesity;familiy_history'] | SI caption: Base rates of depressive sym,All relevant data are within the paper and its Supporting Information files.,,journal.pone.0156167_S1_Data.csv,,,,,0
