table,table.lower,Description,URL (for data),Reference,DOI (for paper),Original License,Custom License,Public Reshare?,Derived License,Custom License,Notes,Contributor,Date
malinowska_2021_saq_physicians,malinowska_2021_saq_physicians,"36-item Polish adaptation of the Safety Attitudes Questionnaire (SAQ, 1-6 Likert) plus 5 supervisor-focused parallel items, from a survey of physicians in 21 Polish hospitals",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0260926.s001,"Malinowska-Lipień I, Micek A, Gabryś T, Kózka M, Gajda K, Gniadek A, et al. (2021) Nurses and physicians attitudes towards factors related to hospitalized patient safety. PLoS ONE.",10.1371/journal.pone.0260926,CC BY 4.0,,Public,CC BY 4.0,,"N=738 (of 816 rows; id_lekarza used as id, some rows had no id). bezp_d_* demographic columns excluded (no codebook). ""KIER"" supervisor-parallel items kept as additional items on same 1-6 scale.",automated,2026-08-04
malinowska_2021_saq_nurses,malinowska_2021_saq_nurses,"36-item Polish adaptation of the Safety Attitudes Questionnaire (SAQ, 1-6 Likert) plus 5 supervisor-focused parallel items, from a survey of nurses in 21 Polish hospitals",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0260926.s002,"Malinowska-Lipień I, Micek A, Gabryś T, Kózka M, Gajda K, Gniadek A, et al. (2021) Nurses and physicians attitudes towards factors related to hospitalized patient safety. PLoS ONE.",10.1371/journal.pone.0260926,CC BY 4.0,,Public,CC BY 4.0,,"N=1190 (of 2672 rows; row index used as id since id_pielegniarki is reused across different hospitals and not globally unique; rows with all scale items blank naturally dropped). A single stray resp=0 on bezp_9 dropped as data-entry error (all other values 1-6).",automated,2026-08-04
lunacortes_2019_satisfaction,lunacortes_2019_satisfaction,"3-item satisfaction scale (1-7 Likert) from a survey of Spanish Gen-Y tourists on virtual social networks",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0217758.s001,"Luna-Cortés G, López-Bonilla LM, López-Bonilla JM (2019) The influence of social value and self-congruity on interpersonal connections in virtual social networks by Gen-Y tourists. PLoS ONE.",10.1371/journal.pone.0217758,CC BY 4.0,,Public,CC BY 4.0,,"N=444. One of 6 scales in the same S1 File, shipped as separate tables (see lunacortes_2019_self_congruity/_social_value/_isncc/_interperson_conn/_isnbi).",automated,2026-08-04
lunacortes_2019_self_congruity,lunacortes_2019_self_congruity,"4-item self-congruity scale (1-7 Likert) from a survey of Spanish Gen-Y tourists on virtual social networks",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0217758.s001,"Luna-Cortés G, López-Bonilla LM, López-Bonilla JM (2019) The influence of social value and self-congruity on interpersonal connections in virtual social networks by Gen-Y tourists. PLoS ONE.",10.1371/journal.pone.0217758,CC BY 4.0,,Public,CC BY 4.0,,"N=444, same file/sample as lunacortes_2019_satisfaction.",automated,2026-08-04
lunacortes_2019_social_value,lunacortes_2019_social_value,"3-item perceived social value scale (1-7 Likert) from a survey of Spanish Gen-Y tourists on virtual social networks",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0217758.s001,"Luna-Cortés G, López-Bonilla LM, López-Bonilla JM (2019) The influence of social value and self-congruity on interpersonal connections in virtual social networks by Gen-Y tourists. PLoS ONE.",10.1371/journal.pone.0217758,CC BY 4.0,,Public,CC BY 4.0,,"N=444, same file/sample as lunacortes_2019_satisfaction.",automated,2026-08-04
lunacortes_2019_isncc,lunacortes_2019_isncc,"4-item ISNCC scale (1-7 Likert, full name not spelled out in article text) from a survey of Spanish Gen-Y tourists on virtual social networks",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0217758.s001,"Luna-Cortés G, López-Bonilla LM, López-Bonilla JM (2019) The influence of social value and self-congruity on interpersonal connections in virtual social networks by Gen-Y tourists. PLoS ONE.",10.1371/journal.pone.0217758,CC BY 4.0,,Public,CC BY 4.0,,"N=444, same file/sample as lunacortes_2019_satisfaction. Source column prefix ISNCC used as-is; article does not define the acronym.",automated,2026-08-04
lunacortes_2019_interperson_conn,lunacortes_2019_interperson_conn,"4-item interpersonal connections (IC) scale (1-7 Likert) from a survey of Spanish Gen-Y tourists on virtual social networks",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0217758.s001,"Luna-Cortés G, López-Bonilla LM, López-Bonilla JM (2019) The influence of social value and self-congruity on interpersonal connections in virtual social networks by Gen-Y tourists. PLoS ONE.",10.1371/journal.pone.0217758,CC BY 4.0,,Public,CC BY 4.0,,"N=444, same file/sample as lunacortes_2019_satisfaction.",automated,2026-08-04
lunacortes_2019_isnbi,lunacortes_2019_isnbi,"3-item ISNBI scale (1-7 Likert, full name not spelled out in article text) from a survey of Spanish Gen-Y tourists on virtual social networks",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0217758.s001,"Luna-Cortés G, López-Bonilla LM, López-Bonilla JM (2019) The influence of social value and self-congruity on interpersonal connections in virtual social networks by Gen-Y tourists. PLoS ONE.",10.1371/journal.pone.0217758,CC BY 4.0,,Public,CC BY 4.0,,"N=444, same file/sample as lunacortes_2019_satisfaction. Single ISNBI3=32 value (all other responses 1-7) dropped as a data-entry error.",automated,2026-08-04
martinezsoto_2024_spiritual_leadership,martinezsoto_2024_spiritual_leadership,"26-item Spiritual Leadership-style scale (1-5 Likert) from a survey of Colombian Adventist school teachers",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0299671.s004,"Martínez-Soto L, Ontiveros Ramírez F, Toro Jaramillo ID, Moreno-Leyva NR (2024) Revisiting Louis Fry's spiritual leadership model in confessional school teachers using structural equation modeling (SEM). PLoS ONE.",10.1371/journal.pone.0299671,CC BY 4.0,,Public,CC BY 4.0,,"N=299. Article text explicitly describes only a 21-item Fry SL scale (5 subscales), but the raw file has 26 p-items in the identical response format with no separating marker between p21 and p22-26; items 22-26 could not be confirmed as SL items or a distinct instrument -- shipped together, flagged for review. Used the file's own p*_re numeric recoding (verified as a consistent forward 1-5 mapping of the text responses, no direction reversal). PII (email) and timestamp columns dropped.",automated,2026-08-04
zhao_2025_nat_env_perception,zhao_2025_nat_env_perception,"6-item Natural Environment Perception (NEP) scale (1-5 Likert) from a survey of urban forest park visitors in Changsha, China",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0325755.s001,"Zhao K, Zhang S, Zhao F (2025) How the natural environment affects psychological recovery: A case study in Changsha, China. PLoS ONE.",10.1371/journal.pone.0325755,CC BY 4.0,,Public,CC BY 4.0,,"N=199 (paper's Methods mentions 485 questionnaires collected overall; only 199 rows present in the shared S1 Dataset). One of 5 scales in the same file, shipped as separate tables.",automated,2026-08-04
zhao_2025_leisure_involvement,zhao_2025_leisure_involvement,"12-item Leisure Involvement (LI) scale (1-5 Likert) from a survey of urban forest park visitors in Changsha, China",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0325755.s001,"Zhao K, Zhang S, Zhao F (2025) How the natural environment affects psychological recovery: A case study in Changsha, China. PLoS ONE.",10.1371/journal.pone.0325755,CC BY 4.0,,Public,CC BY 4.0,,"N=199, same file/sample as zhao_2025_nat_env_perception.",automated,2026-08-04
zhao_2025_place_attachment,zhao_2025_place_attachment,"8-item Place Attachment (PA) scale (1-5 Likert) from a survey of urban forest park visitors in Changsha, China",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0325755.s001,"Zhao K, Zhang S, Zhao F (2025) How the natural environment affects psychological recovery: A case study in Changsha, China. PLoS ONE.",10.1371/journal.pone.0325755,CC BY 4.0,,Public,CC BY 4.0,,"N=199, same file/sample as zhao_2025_nat_env_perception.",automated,2026-08-04
zhao_2025_restor_env_perception,zhao_2025_restor_env_perception,"12-item Restorative Environment Perception (REP) scale (1-5 Likert) from a survey of urban forest park visitors in Changsha, China",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0325755.s001,"Zhao K, Zhang S, Zhao F (2025) How the natural environment affects psychological recovery: A case study in Changsha, China. PLoS ONE.",10.1371/journal.pone.0325755,CC BY 4.0,,Public,CC BY 4.0,,"N=199, same file/sample as zhao_2025_nat_env_perception.",automated,2026-08-04
