"term","hits","relevant","with_suppl","new","journals","run_2026_09_20","run_2026_09_22"
"spatial Stroop task","500","196","112","52","Sci Rep","yes",""
"digit span task","500","238","117","45","Behav Sci (Basel); Heliyon; J Intell; Sci Rep","yes",""
"montreal cognitive assessment","500","187","109","45","BMC Public Health; Behav Sci (Basel); PeerJ; Sci Rep","yes",""
"stroop task accuracy","500","224","110","45","Sci Rep","yes",""
"emotional Stroop task","424","170","82","32","Sci Rep","yes",""
"flanker task","461","158","75","32","BMC Public Health; Heliyon; Sci Rep","yes",""
"Stroop task","500","220","106","31","Sci Rep","yes",""
"dementia rating scale","500","135","79","31","BMC Med Res Methodol; Sci Rep","yes",""
"ecological momentary assessment","500","147","82","31","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","yes",""
"flanker task accuracy","348","129","63","26","Sci Rep","yes",""
"Maslach Burnout Inventory","405","212","71","24","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","yes",""
"verbal fluency test","500","221","98","24","BMC Public Health; Behav Sci (Basel); Sci Rep","yes",""
"WHO-5 Well-Being Index","500","169","62","23","Appl Psychol Meas; BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel)","yes",""
"Behavioral Inhibition Behavioral Activation Scale","500","125","57","21","Behav Sci (Basel); Sci Rep","yes",""
"Interpersonal Reactivity Index","493","119","58","21","Behav Sci (Basel); PeerJ; Sci Rep","yes",""
"Multidimensional Scale of Perceived Social Support","500","177","58","21","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); J Intell","yes",""
"working memory task","500","236","86","21","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","yes",""
"Automatic Thoughts Questionnaire","500","178","74","20","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","yes",""
"Big Five personality","500","280","113","20","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","yes",""
"functional assessment","500","126","41","20","Appl Psychol Meas; BMC Public Health; Behav Sci (Basel); Heliyon","yes",""
"nature of science questionnaire","500","134","52","20","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); J Intell","yes",""
"Positive Mental Health Scale","500","182","63","19","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","yes",""
"Social Support Questionnaire","500","161","47","19","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); J Intell","yes",""
"cognitive test","500","246","60","19","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); J Intell","yes",""
"large-scale assessment","500","182","54","19","Appl Psychol Meas; BMC Public Health; Behav Sci (Basel); J Intell","yes",""
"numerical Stroop task","143","61","32","19","Sci Rep","yes",""
"vigilance task","500","132","48","19","BMC Public Health; Behav Sci (Basel); Sci Rep","yes",""
"Center for Epidemiologic Studies Depression Scale","500","138","75","18","BMC Public Health; Heliyon; Sci Rep","yes",""
"go/no-go task","500","187","52","18","Behav Sci (Basel); J Intell; J Open Psychol Data; Sci Rep","yes",""
"response inhibition task","500","186","75","18","Behav Sci (Basel); J Intell; Sci Rep","yes",""
"visual analogue scale","500","80","47","18","BMC Med Res Methodol; BMC Public Health; Sci Rep","yes",""
"Eating Disorder Inventory","500","149","74","17","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","yes",""
"Social Interaction Anxiety Scale","500","198","55","17","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); J Intell","yes",""
"UCLA Loneliness Scale","375","94","42","17","BMC Public Health; Behav Sci (Basel); Sci Rep","yes",""
"adhd rating scale","500","95","50","17","Behav Sci (Basel); Heliyon; Sci Rep","yes",""
"go no-go task","500","181","50","17","Behav Sci (Basel); J Intell; J Open Psychol Data; Sci Rep","yes",""
"quality of life questionnaire whoqol","421","179","60","17","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","yes",""
"statistics anxiety scale","500","229","69","17","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","yes",""
"Epworth Sleepiness Scale","427","56","33","16","Heliyon; Sci Rep","yes",""
"General Health Questionnaire","500","131","49","16","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); J Intell","yes",""
"Illness Perception Questionnaire","500","116","56","16","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","yes",""
"Mental Rotation Task","500","160","62","16","BMC Public Health; Behav Sci (Basel); Sci Rep","yes",""
"Multidimensional Body-Self Relations Questionnaire","405","119","55","16","BMC Public Health; Sci Rep","yes",""
"prospective memory task","500","107","60","16","BMC Public Health; Behav Sci (Basel); J Open Psychol Data; Sci Rep","yes",""
"Adult ADHD Self-Report Scale","500","99","58","15","Behav Sci (Basel); Heliyon; Sci Rep","yes",""
"Big Five Inventory","500","214","99","15","Behav Sci (Basel); Heliyon; Sci Rep","yes",""
"Brief Symptom Inventory","500","139","76","15","Behav Sci (Basel); J Intell; Sci Rep","yes",""
"Delay Discounting Task","247","50","29","15","Sci Rep","yes",""
"VAS vs Likert","245","54","35","15","BMC Public Health; Sci Rep","yes",""
"grief scale","500","113","44","15","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","yes",""
"numeracy scale","422","140","62","15","BMC Public Health; Heliyon; Sci Rep","","yes"
"slider scale","500","47","27","15","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"work-family conflict scale","500","119","44","15","BMC Public Health; Behav Sci (Basel)","","yes"
"Anxiety Sensitivity Index","500","153","73","14","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep","","yes"
"cognitive ability battery","500","197","81","14","Behav Sci (Basel); J Intell; Sci Rep","","yes"
"family functioning scale","500","177","48","14","Appl Psychol Meas; BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"physical activity questionnaire","500","112","51","14","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
"relationship assessment scale","500","202","50","14","Appl Psychol Meas; BMC Public Health; Behav Sci (Basel); J Intell","","yes"
"working memory task accuracy","500","192","71","14","BMC Public Health; Behav Sci (Basel); Sci Rep","","yes"
