source,title,url,doi,flag,reasons,n_responses,n_participants,n_items,density,data_file,irw_file,n_other_files
dataverse,"Depression, anxiety and stress data",https://doi.org/10.7910/DVN/TAISB2,10.7910/dvn/taisb2,good,"Confident mapping, all checks clean.",7860,262,30,1.0,data.xlsx,irw_output/good/dataverse__10.7910_dvn_taisb2.csv,0.0
dataverse,Does exercise addiction lead to non-suicidal self-injury? The mediating role of anxiety and the protective role of resilience,https://doi.org/10.7910/DVN/OF2DQK,10.7910/dvn/of2dqk,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,13234,1018,13,1.0,Data.xlsx,irw_output/good/dataverse__10.7910_dvn_of2dqk.csv,0.0
figshare,The Role of Adverse Childhood Experiences in Adult Anxiety and Depression: The Roles of Resilience and Mindful Awareness,https://figshare.com/articles/dataset/The_Role_of_Adverse_Childhood_Experiences_in_Adult_Anxiety_and_Depression_The_Roles_of_Resilience_and_Mindful_Awareness/32104447,10.6084/m9.figshare.32104447.v1,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,15128,244,62,1.0,Dataset.xlsx,irw_output/good/figshare__10.6084_m9.figshare.32104447.v1.csv,0.0
figshare,Artificial Intelligence Music Platform for Piano Majors Improves Learning and Reduces Anxiety:2Randomized Study with Heart Rate Variability Cues,https://figshare.com/articles/dataset/Artificial_Intelligence_Music_Platform_for_Piano_Majors_Improves_Learning_and_Reduces_Anxiety_2Randomized_Study_with_Heart_Rate_Variability_Cues/32052513,10.6084/m9.figshare.32052513.v1,good,"Confident mapping, all checks clean.",120,40,3,1.0,data.xlsx,irw_output/good/figshare__10.6084_m9.figshare.32052513.v1.csv,0.0
figshare,<p>Factor loadings from the EFA for state and trait anxiety.</p>,https://plos.figshare.com/articles/dataset/_p_Factor_loadings_from_the_EFA_for_state_and_trait_anxiety_p_/31873597,10.1371/journal.pone.0345773.t002,good,"Confident mapping, all checks clean.",40,20,2,1.0,Table 2.xls,irw_output/good/figshare__10.1371_journal.pone.0345773.t002.csv,0.0
figshare,"Table 1_Relationships among perceived stress, anxiety, and well-being in Chinese hospital staff: the mediating role of self-efficacy and the moderating role of empathy.xlsx",https://frontiersin.figshare.com/articles/dataset/Table_1_Relationships_among_perceived_stress_anxiety_and_well-being_in_Chinese_hospital_staff_the_mediating_role_of_self-efficacy_and_the_moderating_role_of_empathy_xlsx/31311688,10.3389/fpsyg.2026.1740682.s001,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,38553,543,71,1.0,"Table 1_Relationships among perceived stress, anxiety, and well-being in Chinese hospital staff: the mediating role of self-efficacy and the moderatin.xlsx",irw_output/good/figshare__10.3389_fpsyg.2026.1740682.s001.csv,0.0
figshare,Data Sheet 1_Prevalence and correlates of depression and depression-anxiety in patients receiving gastroscopy.xlsx,https://frontiersin.figshare.com/articles/dataset/Data_Sheet_1_Prevalence_and_correlates_of_depression_and_depression-anxiety_in_patients_receiving_gastroscopy_xlsx/29999905,10.3389/fpsyt.2025.1585083.s001,good,"Confident mapping, all checks clean.",40,8,5,1.0,Data Sheet 1_Prevalence and correlates of depression and depression-anxiety in patients receiving gastroscopy.xlsx,irw_output/good/figshare__10.3389_fpsyt.2025.1585083.s001.csv,0.0
figshare,Table 1_Rumination and psychological resilience in Chinese civil aviation flight students: the chain mediating role of proactive coping and generalized anxiety disorder.xlsx,https://frontiersin.figshare.com/articles/dataset/Table_1_Rumination_and_psychological_resilience_in_Chinese_civil_aviation_flight_students_the_chain_mediating_role_of_proactive_coping_and_generalized_anxiety_disorder_xlsx/29756804,10.3389/fpsyg.2025.1606045.s001,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,101270,1235,82,1.0,Table 1_Rumination and psychological resilience in Chinese civil aviation flight students: the chain mediating role of proactive coping and generalize.xlsx,irw_output/good/figshare__10.3389_fpsyg.2025.1606045.s001.csv,0.0
dataverse,Chinese College Adolescents Depression and Anxiety under COVID-19,https://doi.org/10.7910/DVN/T5TAQA,10.7910/dvn/t5taqa,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,64186,958,67,1.0,COVID_mental_health_survey_data.xlsx,irw_output/good/dataverse__10.7910_dvn_t5taqa.csv,0.0
dataverse,Effects of pyramid meditation with yogic practices on anger and anxiety management among college studying bachelorettes,https://doi.org/10.7910/DVN/SR0UOD,10.7910/dvn/sr0uod,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,1248,104,12,1.0,Entire Data.csv,irw_output/good/dataverse__10.7910_dvn_sr0uod.csv,0.0
figshare,"Table 2_The improvement path of depression and anxiety among adult women in Shanxi Province, China: a fuzzy-set qualitative comparative analysis.xlsx",https://frontiersin.figshare.com/articles/dataset/Table_2_The_improvement_path_of_depression_and_anxiety_among_adult_women_in_Shanxi_Province_China_a_fuzzy-set_qualitative_comparative_analysis_xlsx/29068193,10.3389/fpubh.2025.1531431.s002,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_ordinal*,30630,3063,10,1.0,"Table 2_The improvement path of depression and anxiety among adult women in Shanxi Province, China: a fuzzy-set qualitative comparative analysis.xlsx",irw_output/good/figshare__10.3389_fpubh.2025.1531431.s002.csv,0.0
