source,doi,title,url,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files,refined_flag,refined_reason
plos,10.1371/journal.pone.0239035,The relationship between trust in primary healthcare providers among patients with diabetes and levels of depression and anxiety,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0239035,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: De-identified data.   https://doi.org/10.1371/journal.pone.0",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0239035_S1_File.xlsx,13468.0,3.0,37.0,121.3333,0.0,not_item_response,"n_participants=3 but n_responses=13468 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=121×)"
plos,10.1371/journal.pone.0241699,Reliability and validity of the RS14 in orphaned and separated adolescents and youths in western Kenya,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0241699,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: RS14 dataset.    This is the dataset used in the investigati",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0241699_S1_Data.xlsx,17184.0,2.0,17.0,505.4118,0.0,not_item_response,"n_participants=2 but n_responses=17184 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=505×)"
plos,10.1371/journal.pone.0156167,Base Rates of Depressive Symptoms in Patients with Coronary Heart Disease: An Individual Symptom Analysis,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0156167,cc-by,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['phq9_1;phq9_2;phq9_3;phq9_4;phq9_5;phq9_6;phq9_7;phq9_8;phq9_9;ccsc;nyha;EQ5D_sum;age;gender;education_level;employed;infarct;bypass;setting;hypertension;diabetes;dyslipidemia;smoking;obesity;familiy_history'] | SI caption: Base rates of depressive sym,All relevant data are within the paper and its Supporting Information files.,,journal.pone.0156167_S1_Data.csv,,,,,0.0,not_item_response,"File is semicolon-delimited but read as CSV; columns appear to be non-item metadata (['phq9_1', 'phq9_2', 'phq9_3', 'phq9_4', 'phq9_5'])"
plos,10.1371/journal.pone.0267081,Prevalence and correlates of depression and anxiety among Chinese international students in US colleges during the COVID-19 pandemic: A cross-sectional study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0267081,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0267081.s002",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0267081_S1_Dataset.xlsx,114741.0,2.0,61.0,940.5,0.0,not_item_response,"n_participants=2 but n_responses=114741 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=940×)"
plos,10.1371/journal.pone.0270912,"Depression, suicidal ideation and suicide risk in German veterinary medical students compared to the German general population",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0270912,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_ordinal*, resp_direction*, imputed_values* | SI caption: https://doi.org/10.1371/journal.pone.0270912.s002",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0270912_S1_Data.sav,6373.0,2.0,7.0,455.2143,0.0,not_item_response,"n_responses/n_participants/n_items ratio=455× — strongly suggests a long aggregate table, not individual responses"
plos,10.1371/journal.pone.0275424,Depression among people with dyspepsia and <i>H</i>. <i>pylori</i> infection: A community based cross-sectional study in Ethiopia,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0275424,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: https://doi.org/10.1371/journal.pone.0275424.s001",All relevant data are within the paper and its  Supporting information  files.,,journal.pone.0275424_S1_File.sav,22958.0,58.0,27.0,14.6603,0.0,not_item_response,"Title is HTML-encoded paper prose — file is a scraped element, not a dataset"
plos,10.1371/journal.pone.0181371,Effects of health risk assessment and counselling on physical activity in older people: A pragmatic randomised trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0181371,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Codebook: Physical activity health risk assessment and counselling in older people in Romania', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5'] | SI caption: Minimal dataset underlying the study findings: Codebook.   h",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0181371_S1_Data.xlsx,,,,,1.0,not_item_response,"Column names match a data dictionary / codebook (Variable Name, Variable Label, etc.) — this file describes the dataset, it is not the data itself"
plos,10.1371/journal.pone.0226747,Infant rhesus macaque (<i>Macaca mulatta</i>) personality and subjective well-being,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0226747,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values* | SI caption: Infant macaque personality data.    Blinded raw data from th",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0226747_S2_File.xlsx,9240.0,55.0,60.0,2.8,6.0,not_item_response,"Title is HTML-encoded paper prose — file is a scraped element, not a dataset"
plos,10.1371/journal.pone.0333303,Suicide risk characteristics of vocational college students: A latent profile analysis,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0333303,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: https://doi.org/10.1371/journal.pone.0333303.s002",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0333303_S1_Data.xlsx,29168.0,2.0,18.0,810.2222,0.0,not_item_response,"n_participants=2 but n_responses=29168 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=810×)"
plos,10.1371/journal.pone.0234604,Ability self-concept and self-efficacy in higher education: An empirical differentiation based on their factorial structure,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0234604,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_direction* | SI caption: SPSS dataset.   https://doi.org/10.1371/journal.pone.0234604",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0234604_S1_Data.sav,2160.0,2.0,2.0,540.0,0.0,not_item_response,"n_responses/n_participants/n_items ratio=540× — strongly suggests a long aggregate table, not individual responses"
