"term","hits","relevant","with_suppl","new","journals","run_2026_09_25"
"autism spectrum","500","352","172","152","BMC Public Health; Behav Sci (Basel); Heliyon; PeerJ","yes"
"early childhood","500","229","106","83","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); Heliyon","yes"
"health promotion","500","193","102","77","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); Heliyon","yes"
"sleep quality","500","268","116","70","BMC Public Health; Behav Sci (Basel); Heliyon; PeerJ","yes"
"physical fitness","599","231","101","68","BMC Public Health; Behav Sci (Basel); Heliyon; PeerJ","yes"
"food insecurity","500","155","80","68","BMC Public Health; Heliyon; PeerJ; Sci Rep","yes"
"substance use","500","192","88","63","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); Heliyon","yes"
"social support","500","350","113","61","BMC Public Health; Behav Sci (Basel); Heliyon; PeerJ","yes"
"intimate partner violence","500","205","70","50","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); Heliyon","yes"
"emotion regulation","500","300","111","48","Behav Sci (Basel); Heliyon; J Intell; Sci Rep","yes"
"self-efficacy","500","419","113","47","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","yes"
"working memory","500","361","147","45","Sci Rep","yes"
"vaccine hesitancy","500","101","66","45","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); Heliyon","yes"
"alcohol use","500","125","63","44","BMC Public Health; Behav Sci (Basel); Sci Rep","yes"
"pain","500","141","69","43","BMC Public Health; Behav Sci (Basel); PeerJ; Sci Rep","yes"
"risk perception","500","183","77","43","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","yes"
"sedentary behavior","599","155","70","42","BMC Public Health; Heliyon; PeerJ; Sci Rep","yes"
"health-related quality of life","500","282","144","41","BMC Public Health; Sci Rep","yes"
"bipolar disorder","500","172","89","40","Behav Sci (Basel); Heliyon; PeerJ; Sci Rep","yes"
"chronic pain","500","125","69","38","BMC Med Res Methodol; BMC Public Health; PeerJ; Sci Rep","yes"
"stress","500","208","67","35","BMC Public Health; Behav Sci (Basel); J Open Psychol Data; PeerJ","yes"
"ADHD","500","170","79","33","BMC Public Health; Behav Sci (Basel); PeerJ; Sci Rep","yes"
"cross-cultural","500","239","83","33","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); Heliyon","yes"
"suicidal ideation","500","195","82","32","BMC Public Health; Behav Sci (Basel); Heliyon; PeerJ","yes"
"screen time","500","156","62","31","BMC Public Health; Sci Rep","yes"
"inhibition","500","110","46","27","Behav Sci (Basel); PeerJ; Sci Rep","yes"
"life satisfaction","500","284","95","27","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","yes"
"dyslexia","500","155","71","27","Behav Sci (Basel); Sci Rep","yes"
"coping strategies","500","224","64","27","BMC Public Health; Behav Sci (Basel); Heliyon; PeerJ","yes"
"physical education","500","208","52","25","BMC Public Health; Behav Sci (Basel); Heliyon; PeerJ","yes"
"help-seeking","500","138","50","25","BMC Public Health; Behav Sci (Basel); Sci Rep","yes"
"parenting","599","209","72","24","BMC Public Health; Behav Sci (Basel); Sci Rep","yes"
"cannabis use","500","76","49","24","BMC Public Health; Heliyon; PeerJ; Sci Rep","yes"
"post-traumatic stress","500","146","61","24","BMC Public Health; Behav Sci (Basel); Heliyon; PeerJ","yes"
"empathy","500","187","52","23","Behav Sci (Basel); J Intell; Sci Rep","yes"
"loneliness","500","207","83","23","BMC Public Health; Behav Sci (Basel)","yes"
"posttraumatic stress","500","134","63","22","BMC Public Health; Behav Sci (Basel); PeerJ; Sci Rep","yes"
"medication adherence","500","106","55","22","BMC Med Res Methodol; BMC Public Health; Heliyon; PeerJ","yes"
"resilience","500","235","68","21","BMC Public Health; Behav Sci (Basel); Sci Rep","yes"
"fatigue","500","167","60","20","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); PeerJ","yes"
"flourishing","500","153","66","20","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","yes"
"drug use","500","60","31","20","BMC Public Health; Heliyon; PeerJ; Sci Rep","yes"
"obsessive-compulsive","500","162","66","20","BMC Public Health; Behav Sci (Basel); Heliyon; PeerJ","yes"
"insomnia","500","133","73","19","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); PeerJ","yes"
"mindfulness","500","245","79","18","BMC Public Health; Behav Sci (Basel); Sci Rep","yes"
"cultural adaptation","500","207","67","18","BMC Med Res Methodol; BMC Public Health; Behav Sci (Basel); Heliyon","yes"
"public goods game","500","49","26","18","Sci Rep","yes"
"stigma","500","107","56","18","BMC Public Health; Behav Sci (Basel); Sci Rep","yes"
"perceived stress","500","213","66","17","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep","yes"
"trust","500","147","35","17","BMC Public Health; Behav Sci (Basel); Sci Rep","yes"
"alcohol use disorder","500","97","51","17","BMC Public Health; Behav Sci (Basel); Sci Rep",""
"ultimatum game","185","34","22","17","Behav Sci (Basel); Sci Rep",""
"attachment","500","129","35","16","Behav Sci (Basel); Sci Rep",""
"self-control","500","210","57","16","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep",""
"interoception","324","64","34","16","BMC Public Health; Behav Sci (Basel); Sci Rep",""
"quality of life","500","360","175","16","Sci Rep",""
"binge drinking","500","67","29","15","BMC Public Health; Heliyon; PeerJ; Sci Rep",""
"experience sampling","500","152","54","15","BMC Public Health; Behav Sci (Basel); Heliyon; Sci Rep",""
"prosocial behavior","500","138","36","15","Heliyon; Sci Rep",""
"aggression","500","125","44","15","BMC Public Health; Behav Sci (Basel); Sci Rep",""
"creativity","500","196","50","15","BMC Public Health; J Intell; Sci Rep",""
"health literacy","500","314","146","14","BMC Public Health; Sci Rep",""
"self-harm","500","113","39","14","BMC Public Health; PeerJ; Sci Rep",""
"coping","500","198","47","13","BMC Public Health; Behav Sci (Basel); J Intell; Sci Rep",""
"disinformation","398","47","23","13","BMC Public Health; Heliyon; Sci Rep",""
"learning strategies","500","198","55","13","Behav Sci (Basel); Heliyon; PeerJ; Sci Rep",""
"technology acceptance","500","148","44","13","BMC Public Health; Heliyon; Sci Rep",""
"alcohol dependence","500","63","34","12","PeerJ; Sci Rep",""
