tier,score,source,title,doi,url,license,n_files,tabular,signals
A,12,zenodo,Loneliness and Social Dissatisfaction Questionnaire / Cuestionario de Soledad e Insatisfacción Social // LONELINESS_Data_CC-CS_T6-Post,10.5281/zenodo.7393515,https://zenodo.org/records/7393515,cc-by-4.0,1,LONELINESS_Data_CC-CS_T6-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Loneliness and Social Dissatisfaction Questionnaire / Cuestionario de Soledad e Insatisfacción Social // LONELINESS_Data_CC-CS_T4-Post,10.5281/zenodo.7393484,https://zenodo.org/records/7393484,cc-by-4.0,1,LONELINESS_Data_CC-CS_T4-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Loneliness and Social Dissatisfaction Questionnaire / Cuestionario de Soledad e Insatisfacción Social // LONELINESS_Data_IC_T6-Post,10.5281/zenodo.7393603,https://zenodo.org/records/7393603,cc-by-4.0,1,LONELINESS_Data_IC_T6-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Loneliness and Social Dissatisfaction Questionnaire / Cuestionario de Soledad e Insatisfacción Social // LONELINESS_Data_IC_T4-Post,10.5281/zenodo.7393585,https://zenodo.org/records/7393585,cc-by-4.0,1,LONELINESS_Data_IC_T4-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Loneliness and Social Dissatisfaction Questionnaire / Cuestionario de Soledad e Insatisfacción Social // LONELINESS_Data_CS_T5-Post,10.5281/zenodo.7393503,https://zenodo.org/records/7393503,cc-by-4.0,1,LONELINESS_Data_CS_T5-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Emotional Quotient Inventory - Young Version / Inventario de Inteligencia Emocional – Versión para Niños // EMOTIONAL INTELLIGENCE-EQi-YV_Data_CC_T4-Post,10.5281/zenodo.7406437,https://zenodo.org/records/7406437,cc-by-4.0,1,EMOTIONAL INTELLIGENCE-EQi-YV_Data_CC_T4-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Emotional Quotient Inventory - Young Version / Inventario de Inteligencia Emocional - Versión para Niños // EMOTIONAL INTELLIGENCE-EQi-YV_Data_IC_T5-Post,10.5281/zenodo.7406549,https://zenodo.org/records/7406549,cc-by-4.0,1,EMOTIONAL INTELLIGENCE-EQi-YV_Data_IC_T5-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Emotional Quotient Inventory - Young Version / Inventario de Inteligencia Emocional – Versión para Niños // EMOTIONAL INTELLIGENCE-EQi-YV_Data_IC_T3-Post,10.5281/zenodo.7406487,https://zenodo.org/records/7406487,cc-by-4.0,1,EMOTIONAL INTELLIGENCE-EQi-YV_Data_IC_T3-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Emotional Quotient Inventory - Young Version / Inventario de Inteligencia Emocional – Versión para Niños // EMOTIONAL INTELLIGENCE-EQi-YV_Data_CC-CS_T6-Post,10.5281/zenodo.7406467,https://zenodo.org/records/7406467,cc-by-4.0,1,EMOTIONAL INTELLIGENCE-EQi-YV_Data_CC-CS_T6-Post.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,zenodo,Positive and Negative Affect Schedule (PANAS): psychometric properties for the online version in a clinical sample with emotional disorders,10.5281/zenodo.1477084,https://zenodo.org/records/1477084,cc-by-4.0,1,Database_PANAS.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
