table,table.lower,Description,URL (for data),Reference,DOI (for paper),Original License,Custom License,Public Reshare?,Derived License,Custom License,Notes,Contributor,Date
galgam_2025_whoqol_bref,galgam_2025_whoqol_bref,"26-item WHOQOL-BREF quality-of-life scale (5-category Likert), African medical and health science students",https://europepmc.org/article/PMC/PMC11809301,"Galgam FA, Abdal et al. (2025). Assessing the quality of life among African medical and health science students using the WHOQOL-BREF. PeerJ.",10.7717/peerj.18809,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
burgess_2025_soas,burgess_2025_soas,"6-item Specific Object Anthropomorphism Scale (SOAS), children aged 5-12, baseline + ~14-day retest wave",https://europepmc.org/article/PMC/PMC12515426,Burgess et al. (2025). The 6-item specific object anthropomorphism scale (SOAS): a new questionnaire for children and adolescents. PeerJ.,10.7717/peerj.20153,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
gizaw_2023_phq9,gizaw_2023_phq9,"9-item PHQ-9 depression scale, healthcare providers in Addis Ababa, two COVID-19-period survey waves",https://europepmc.org/article/PMC/PMC10100826,Gizaw et al. (2023). Change in depression during the COVID-19 pandemic among healthcare providers in Addis Ababa. PeerJ.,10.7717/peerj.15053,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
agarwal_2023_dreem,agarwal_2023_dreem,"50-item DREEM educational-environment scale, health profession students, 3 waves (precovid/covid/postcovid)",https://europepmc.org/article/PMC/PMC10621590,Agarwal et al. (2023). Navigating post COVID-19 education: an investigative study on students' attitude and perception of their new normal learning environment. PeerJ.,10.7717/peerj.16184,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
abdullah_2024_bsq_sevgen,abdullah_2024_bsq_sevgen,"BSQ-M general bloating severity subscale (6 items), abdominal bloating study",https://europepmc.org/article/PMC/PMC11067892,"Abdullah et al. (2024). Structural equation models of health behaviour, psychological well-being, symptom severity and quality of life in abdominal bloating. PeerJ.",10.7717/peerj.17265,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
abdullah_2024_bsq_sev24,abdullah_2024_bsq_sev24,"BSQ-M past-24h bloating severity subscale (5 items), abdominal bloating study",https://europepmc.org/article/PMC/PMC11067892,"Abdullah et al. (2024). Structural equation models of health behaviour, psychological well-being, symptom severity and quality of life in abdominal bloating. PeerJ.",10.7717/peerj.17265,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
abdullah_2024_hbbloat_attitude,abdullah_2024_hbbloat_attitude,"HB-Bloat health belief scale, attitude subscale (3 retained items), abdominal bloating study",https://europepmc.org/article/PMC/PMC11067892,"Abdullah et al. (2024). Structural equation models of health behaviour, psychological well-being, symptom severity and quality of life in abdominal bloating. PeerJ.",10.7717/peerj.17265,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
abdullah_2024_hbbloat_subjnorm,abdullah_2024_hbbloat_subjnorm,"HB-Bloat health belief scale, subjective norm subscale (5 retained items), abdominal bloating study",https://europepmc.org/article/PMC/PMC11067892,"Abdullah et al. (2024). Structural equation models of health behaviour, psychological well-being, symptom severity and quality of life in abdominal bloating. PeerJ.",10.7717/peerj.17265,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
abdullah_2024_hbbloat_pbc,abdullah_2024_hbbloat_pbc,"HB-Bloat health belief scale, perceived behavioural control subscale (3 retained items), abdominal bloating study",https://europepmc.org/article/PMC/PMC11067892,"Abdullah et al. (2024). Structural equation models of health behaviour, psychological well-being, symptom severity and quality of life in abdominal bloating. PeerJ.",10.7717/peerj.17265,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
abdullah_2024_hpbbloat_diet,abdullah_2024_hpbbloat_diet,"HPB-Bloat health promoting behaviour scale, diet subscale (3 items), abdominal bloating study",https://europepmc.org/article/PMC/PMC11067892,"Abdullah et al. (2024). Structural equation models of health behaviour, psychological well-being, symptom severity and quality of life in abdominal bloating. PeerJ.",10.7717/peerj.17265,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
