source,journal,doi,title,url,pmcid,license,flag,reasons,data_file,n_responses,n_participants,n_items,density,n_other_files
pmc,peerj,10.7717/peerj.16270,"Physical activity, problematic smartphone use, and burnout among Chinese college students.",https://europepmc.org/article/PMC/PMC10576493,PMC10576493,cc-by,download_failed,500 Server Error: Internal Server Error for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10576493/supplementaryFiles,,,,,,
pmc,peerj,10.7717/peerj.13349,"Assessment of job satisfaction, self-efficacy, and the level of professional burnout of primary and secondary school teachers in Poland during the COVID-19 pandemic.",https://europepmc.org/article/PMC/PMC9190669,PMC9190669,cc-by,download_failed,500 Server Error: Internal Server Error for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9190669/supplementaryFiles,,,,,,
pmc,peerj,10.7717/peerj.5004,Is perfectionism associated with academic burnout through repetitive negative thinking?,https://europepmc.org/article/PMC/PMC6011823,PMC6011823,cc-by,download_failed,500 Server Error: Internal Server Error for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6011823/supplementaryFiles,,,,,,
pmc,peerj,10.7717/peerj.4181,Examining the stress-burnout relationship: the mediating role of negative thoughts.,https://europepmc.org/article/PMC/PMC5740956,PMC5740956,cc-by,download_failed,500 Server Error: Internal Server Error for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5740956/supplementaryFiles,,,,,,
pmc,peerj,10.7717/peerj.19086,The effect of mountaineering on the grit of college students: an empirical study.,https://europepmc.org/article/PMC/PMC11910154,PMC11910154,cc-by,download_failed,500 Server Error: Internal Server Error for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11910154/supplementaryFiles,,,,,,
pmc,peerj,10.7717/peerj.17422,Physical activity and self-efficacy in college students: the mediating role of grit and the moderating role of gender.,https://europepmc.org/article/PMC/PMC11129692,PMC11129692,cc-by,download_failed,500 Server Error: Internal Server Error for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11129692/supplementaryFiles,,,,,,
pmc,peerj,10.7717/peerj.10277,Effects of diet and gizzard muscularity on grit use in domestic chickens.,https://europepmc.org/article/PMC/PMC7666813,PMC7666813,cc-by,download_failed,500 Server Error: Internal Server Error for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7666813/supplementaryFiles,,,,,,
pmc,screports,10.1038/s41598-025-29313-7,Digital fatigue and academic resilience among university students with grit and flexibility as mediators.,https://europepmc.org/article/PMC/PMC12749512,PMC12749512,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,
pmc,peerj,10.7717/peerj.16135,Followership styles scrutinized: temporal consistency and relationships with job attitudes and self-efficacy.,https://europepmc.org/article/PMC/PMC10615031,PMC10615031,cc-by,download_failed,500 Server Error: Internal Server Error for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10615031/supplementaryFiles,,,,,,
pmc,peerj,10.7717/peerj.17059,How does physical activity improve adolescent resilience? Serial indirect effects <i>via</i> self-efficacy and basic psychological needs.,https://europepmc.org/article/PMC/PMC10909365,PMC10909365,cc-by,download_failed,500 Server Error: Internal Server Error for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10909365/supplementaryFiles,,,,,,
