_key,source,title,url,doi,license,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files
,figshare,<b>Cognitive Activation Strategies and Self-Efficacy</b>,https://repository.uj.ac.za/articles/dataset/_b_Cognitive_Activation_Strategies_and_Self-Efficacy_b_/33093377,10.25415/ujhb.33093377.v1,cc-by,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_direction*,1536,64,24,1.0,Raw data.xlsx,0.0
,figshare,Validity and reliability of the Vietnamese version of the Index Dental Anxiety and Fear: A translation and validation study,https://figshare.com/articles/dataset/Validity_and_reliability_of_the_Vietnamese_version_of_the_Index_Dental_Anxiety_and_Fear_A_translation_and_validation_study/33140489,10.6084/m9.figshare.33140489.v1,cc-by,good,"Passed (no errors); 3 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*",13095,291,45,1.0,Data%20First%20administration.xlsx,1.0
,figshare,From Hesitation to Confidence: Longitudinal Changes in Medical Students’ Presentation Skills and Anxiety,https://figshare.com/articles/dataset/From_Hesitation_to_Confidence_Longitudinal_Changes_in_Medical_Students_Presentation_Skills_and_Anxiety/33110519,10.6084/m9.figshare.33110519.v2,cc-by,good,"Passed (no errors); 2 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values*",574,287,2,1.0,Supplementary Material.xlsx,0.0
10.1371/journal.pone.0351843.t009,figshare,<p>Results of the linear regression analyses examining concurrent validity of the SKILLCOURT basic reaction time and executive function tests (age-adjusted).</p>,https://plos.figshare.com/articles/dataset/_p_Results_of_the_linear_regression_analyses_examining_concurrent_validity_of_the_SKILLCOURT_basic_reaction_time_and_executive_function_tests_age-adjusted_p_/33021158,10.1371/journal.pone.0351843.t009,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>SKILLCOURT<break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break><break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break>Motor-cognitive stepping test",,,,,Table 9.xls,0.0
10.1371/journal.pone.0351843.t008,figshare,<p>Results of the linear regression analyses examining concurrent and construct validity of the SKILLCOURT agility tests (adjusted for age).</p>,https://plos.figshare.com/articles/dataset/_p_Results_of_the_linear_regression_analyses_examining_concurrent_and_construct_validity_of_the_SKILLCOURT_agility_tests_adjusted_for_age_p_/33021155,10.1371/journal.pone.0351843.t008,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>SKILLCOURT<break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break><break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break>Agility Tests</b>', '<b>Enter",,,,,Table 8.xls,0.0
10.1371/journal.pone.0351843.t007,figshare,"<p>Descriptive statistics of the SKILLCOURT, motor, and cognitive tests.</p>",https://plos.figshare.com/articles/dataset/_p_Descriptive_statistics_of_the_SKILLCOURT_motor_and_cognitive_tests_p_/33021152,10.1371/journal.pone.0351843.t007,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Measure</b>', '<b>Unit</b>', '<b>Mean\u2009±\u2009SD (min–max)</b>']",,,,,Table 7.xls,0.0
10.1371/journal.pone.0351843.t001,figshare,<p>Overview of motor and cognitive outcomes correlated with SKILLCOURT tests.</p>,https://plos.figshare.com/articles/dataset/_p_Overview_of_motor_and_cognitive_outcomes_correlated_with_SKILLCOURT_tests_p_/33021131,10.1371/journal.pone.0351843.t001,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Tests</b>', '<b>Outcomes</b>', '<b>Tested Ability</b>']",,,,,Table 1.xls,0.0
10.1371/journal.pone.0318638.t006,figshare,"Mean (SDs) log-transformed RTs and accuracy rates for each Point*Grammar, followed by mean (SDs) log-transformed RTs and accuracy rates in Fib and Skip grammars and for points 010 and 011.",https://plos.figshare.com/articles/dataset/Mean_SDs_log-transformed_RTs_and_accuracy_rates_for_each_Point_Grammar_followed_by_mean_SDs_log-transformed_RTs_and_accuracy_rates_in_Fib_and_Skip_grammars_and_for_points_010_and_011_/28363914,10.1371/journal.pone.0318638.t006,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 8 column(s) look like text-coded Likert items (e.g. ['<b>Fib<break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break>010</b>', '<b>Fib<break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w",,,,,Table 6.xls,0.0
10.3389/fnbeh.2022.968159.s002,figshare,Table_1_Dissociating motor impairment from five-choice serial reaction time task performance in a mouse model of Angelman syndrome.XLSX,https://frontiersin.figshare.com/articles/dataset/Table_1_Dissociating_motor_impairment_from_five-choice_serial_reaction_time_task_performance_in_a_mouse_model_of_Angelman_syndrome_XLSX/21194920,10.3389/fnbeh.2022.968159.s002,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Mouse', 'Genotype', 'Total distance (m)']",,,,,Table_1_Dissociating motor impairment from five-choice serial reaction time task performance in a mouse model of Angelman syndrome.XLSX,0.0
10.3389/fpsyg.2021.762225.s002,figshare,Table_1_Analytic and Holistic Thinkers: Differences in the Dynamics of Heart Rate Complexity When Solving a Cognitive Task in Field-Dependent and Field-Independent Conditions.XLSX,https://frontiersin.figshare.com/articles/dataset/Table_1_Analytic_and_Holistic_Thinkers_Differences_in_the_Dynamics_of_Heart_Rate_Complexity_When_Solving_a_Cognitive_Task_in_Field-Dependent_and_Field-Independent_Conditions_XLSX/17083529,10.3389/fpsyg.2021.762225.s002,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'id_participant' as fallback — verify this is the person identifier. | Could not confidently identify NUMERIC item columns, but 2 column(s) look like text-coded Likert items (e.g. ['group', 'task']) rather than numeric codes. Needs a human to ",,,,,Table_1_Analytic and Holistic Thinkers: Differences in the Dynamics of Heart Rate Complexity When Solving a Cognitive Task in Field-Dependent and Fiel.XLSX,0.0
