source,title,url,doi,license,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files
dataverse,"Replication Data for: ""Winning Votes and Changing Minds:  Do Populist Arguments Affect Candidate Evaluations and Issue Preferences?""",https://doi.org/10.7910/DVN/M7AFDM,10.7910/dvn/m7afdm,cc0,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_direction*,56,28,2,1.0,codebook_yougov.xlsx,0.0
figshare,"Analysing the second-order factor structure of the South African Personality Inventory (SAPI) using : sum scoring, weighted factor scoring and plausible values scoring",https://researchdata.up.ac.za/articles/dataset/Analysing_the_second-order_factor_structure_of_the_South_African_Personality_Inventory_SAPI_using_sum_scoring_weighted_factor_scoring_and_plausible_values_scoring/28312694,10.25403/upresearchdata.28312694.v1,cc-by,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_direction*,78,26,3,1.0,u16014503_Glenley_Roodt_Facet_models.xlsx,0.0
osf,Properties of resting state functional connectivity associated with integrated combined subscales of Dark Triad,https://osf.io/h6gqf/,,563c1cf88c5e4a3877f9e96c,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_direction* | license_unknown* — license '563c1cf88c5e4a3877f9e96c' not recognised as open; verify before submission,645,129,5,1.0,demographic_and_beahavioural.xlsx,0.0
dataverse,Replication Data for: Valid questionnaire for small and medium-sized enterprises,https://doi.org/10.7910/DVN/0ADT0D,10.7910/dvn/0adt0d,cc0,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_direction*,6552,234,28,1.0,Valid questionnaires tab.xls,0.0
dataverse,Replication Data for: Valid questionnaire,https://doi.org/10.7910/DVN/WV1YJ1,10.7910/dvn/wv1yj1,cc0,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_direction*,6552,234,28,1.0,Valid questionnaires123.xls,0.0
dataverse,Psychological distress among women with abnormal Pap smear results in Serbia: validity and reliability of the Cervical Dysplasia Distress Questionnaire,https://doi.org/10.7910/DVN/NV9GJD,10.7910/dvn/nv9gjd,cc0,good,"Passed (no errors); 2 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values*",3542,154,23,1.0,Data set.xls,0.0
dataverse,Personality-oriented job analysis to identify non-cognitive factors predictive of performance in a doctor of physical therapy program in the United States,https://doi.org/10.7910/DVN/POGIMX,10.7910/dvn/pogimx,cc0,good,"Passed (no errors); 2 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values*",792,9,88,1.0,Jeehp_15_34_Raw data.xlsx,0.0
dataverse,"Replication Data for: Tell Me Who Is Your Leader, and I Will Tell You Who You Are: Foreign Leaders' Perceived Personality and Public Attitudes toward Their Countries and Citizenry",https://doi.org/10.7910/DVN/SNLKUE,10.7910/dvn/snlkue,this-dataset-is-made-available-under-a-creative-commons-cc0-license-with-the-following-additional/modified-terms-and-conditions:,good,"Passed (no errors); 3 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values*, multi_scale* | license_unknown* — license 'this-dataset-is-made-available-under-a-creative-commons-cc0-license-with-the-following-additional/modified-terms-and-conditions:' not recognised as open; verify before submission",3664,126,30,0.9693,Study1. Exp 1. Germany in Israel. Citizen_positive_negative.xlsx.xls,10.0
figshare,<p>Distribution of Resilience Levels (CD-RISC-10 Quartiles) by Burnout Risk Status (n = 593).</p>,https://plos.figshare.com/articles/dataset/_p_Distribution_of_Resilience_Levels_CD-RISC-10_Quartiles_by_Burnout_Risk_Status_n_593_p_/32290930,10.1371/journal.pone.0349336.t004,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>CD-RISC-10 Resilience Level</b>', '<b>Total n (%)</b>', '<b>High-Risk Burnout n (%)</b>', '<b>Non-High-Risk Burnout n (%)</b>', '<b>p-value</b>']",,,,,Table 4.xls,0.0
figshare,<p>Comparison of MINI-IPIP personality trait scores between high-risk and non-high-risk burnout groups (n = 593).</p>,https://plos.figshare.com/articles/dataset/_p_Comparison_of_MINI-IPIP_personality_trait_scores_between_high-risk_and_non-high-risk_burnout_groups_n_593_p_/32290927,10.1371/journal.pone.0349336.t003,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Personality Trait</b>', '<b>Mean\u2009±\u2009SD (Total)</b>', '<b>High-Risk Burnout</b>', '<b>Non-High-Risk Burnout</b>', '<b>p-value</b>']",,,,,Table 3.xls,0.0
