source,title,url,doi,license,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files
dataverse,OASIS: Overheating and Shading Indicators Dataset for Built Environment Resilience,https://doi.org/10.7910/DVN/PDCXQH,10.7910/dvn/pdcxqh,cc0,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Shading & Urban Heat Resilience — Case Study / KPI Dataset']",,,,,"Dataset_Sommese,Attia.xlsx",0.0
dataverse,"SCALE-R Database: Climate resilience investment projects in Miami-Dade County, Florida",https://doi.org/10.7910/DVN/KO1I8W,10.7910/dvn/ko1i8w,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['variable', 'category', 'definition', 'inclusion_criteria', 'example_project', 'example_project_id', 'n']",,,,,SCALE-R_codebook.tab,3.0
dataverse,The impact of AI and industrial technology convergence on firm innovation resilience -Evidence from China,https://doi.org/10.7910/DVN/ENEPCH,10.7910/dvn/enepch,cc0,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",266634,44439,6,1.0,Data.tab,0.0
datacite,"The Dataset Applied to the Paper ""Self-Esteem and Self-Reported Personality Traits: When Attitudes Toward Traits Make a Difference""",https://www.researchgate.net/doi/10.13140/RG.2.2.23295.16800,10.13140/rg.2.2.23295.16800,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,,
datacite,Anxiety state-related task disengagement varies with trait anxiety,https://data.ru.nl/collections/di/dccn/DSC_3017048.08_412,10.34973/mvjg-jp04,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,,
datacite,Understanding social anxiety where it matters most,https://data.ru.nl/collections/di/dccn/DAC_3025008.01_271,10.34973/xd9q-vy33,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,,
dataverse,"Study demands, study resources, and academic burnout among clinical clerks",https://doi.org/10.34894/NQHB6W,10.34894/nqhb6w,cc0,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,,
datacite,"Workforce guidelines, burnout, work engagement and the intention to leave.",https://lifesciences.datastations.nl/citation?persistentId=doi:10.17026/LS/BND3FR,10.17026/ls/bnd3fr,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,,
datacite,Co-designing technological solutions to loneliness with at-risk populations dataset – neurodivergent young adults,https://data.bris.ac.uk/data/dataset/35tpf6yis3j3d2gyoh7fsupt8m/,10.5523/bris.35tpf6yis3j3d2gyoh7fsupt8m,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,,
datacite,Neighborhood Social Cohesion Associates with Loneliness Differently Among Older People According to Subjective Social Status,https://researchdata.cuhk.edu.hk/citation?persistentId=doi:10.48668/EKNQL2,10.48668/eknql2,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,,
datacite,Data Management and Sharing Plan for: A Multipronged Approach to Academic Procrastination Interventions: A Randomized Control Study via Terracotta,https://dataverse.unc.edu/citation?persistentId=doi:10.15139/S3/JQOLWW,10.15139/s3/jqolww,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,,
datacite,"Supporting Data for the Manuscript: How window operation relates to air quality, thermal conditions, and well-being in aged care facilities?",https://adelaide.figshare.com/articles/dataset/Supporting_Data_for_the_Manuscript_How_window_operation_relates_to_air_quality_thermal_conditions_and_well-being_in_aged_care_facilities_/33447319/1,10.25909/33447319,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,
