table	table.lower	Description	URL (for data)	Reference	DOI (for paper)	Original License	Custom License	Public Reshare?	Derived License	Custom License	Notes	Contributor	Date
alan_2018_student_gender_attitudes	alan_2018_student_gender_attitudes	Gender-role attitudes reported by Turkish grade 3/4 students, 1-4. 3855 respondents x 7 items = 26985 responses.	https://doi.org/10.7910/DVN/FGBZCK	Alan, S., Ertac, S., & Mumcu, I. (2018). Replication Data for: "Gender Stereotypes in the Classroom and Effects on Achievement" [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/FGBZCK	10.7910/DVN/FGBZCK	CC0 1.0		Public	CC0 1.0		Student-level table; id is the deposit's student ID. Teacher batteries from the same deposit are separate tables on a teacher id space.	automated	08-26-2026
alan_2018_teacher_gender_attitudes	alan_2018_teacher_gender_attitudes	Gender-role attitudes reported by their class teachers, 1-4. 145 respondents x 9 items = 1305 responses.	https://doi.org/10.7910/DVN/FGBZCK	Alan, S., Ertac, S., & Mumcu, I. (2018). Replication Data for: "Gender Stereotypes in the Classroom and Effects on Achievement" [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/FGBZCK	10.7910/DVN/FGBZCK	CC0 1.0		Public	CC0 1.0		Teacher-level table; the deposit repeats each teacher's answers once per student, so rows are collapsed on the teacher id (verified constant within teacher).	automated	08-26-2026
alan_2018_teacher_growth_mindset	alan_2018_teacher_growth_mindset	Teachers' growth-mindset beliefs, 1-4. 145 respondents x 5 items = 725 responses.	https://doi.org/10.7910/DVN/FGBZCK	Alan, S., Ertac, S., & Mumcu, I. (2018). Replication Data for: "Gender Stereotypes in the Classroom and Effects on Achievement" [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/FGBZCK	10.7910/DVN/FGBZCK	CC0 1.0		Public	CC0 1.0		Teacher-level table; collapsed from the student-row file on teacher id.	automated	08-26-2026
alan_2018_teacher_modern_teaching	alan_2018_teacher_modern_teaching	Teachers' endorsement of student-centred teaching practices, 1-4. 144 respondents x 6 items = 864 responses.	https://doi.org/10.7910/DVN/FGBZCK	Alan, S., Ertac, S., & Mumcu, I. (2018). Replication Data for: "Gender Stereotypes in the Classroom and Effects on Achievement" [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/FGBZCK	10.7910/DVN/FGBZCK	CC0 1.0		Public	CC0 1.0		Teacher-level table; collapsed from the student-row file on teacher id.	automated	08-26-2026
alan_2018_teacher_warmth	alan_2018_teacher_warmth	Teachers' beliefs about warmth vs authority in the classroom, 1-4. 145 respondents x 4 items = 580 responses.	https://doi.org/10.7910/DVN/FGBZCK	Alan, S., Ertac, S., & Mumcu, I. (2018). Replication Data for: "Gender Stereotypes in the Classroom and Effects on Achievement" [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/FGBZCK	10.7910/DVN/FGBZCK	CC0 1.0		Public	CC0 1.0		Teacher-level table; collapsed from the student-row file on teacher id.	automated	08-26-2026
alan_2018_teacher_extrinsic_motivation	alan_2018_teacher_extrinsic_motivation	Teachers' use of rewards and punishment, 1-4. 145 respondents x 4 items = 578 responses.	https://doi.org/10.7910/DVN/FGBZCK	Alan, S., Ertac, S., & Mumcu, I. (2018). Replication Data for: "Gender Stereotypes in the Classroom and Effects on Achievement" [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/FGBZCK	10.7910/DVN/FGBZCK	CC0 1.0		Public	CC0 1.0		Teacher-level table; collapsed from the student-row file on teacher id.	automated	08-26-2026
bialowolski_2024_financial_literacy	bialowolski_2024_financial_literacy	18-item financial-literacy test scored right/wrong; Polish adults. 4389 respondents x 18 items = 79002 responses.	https://doi.org/10.7910/DVN/MTQGSF	Bialowolski, P. (2024). Financial literacy in a gendered language context [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/MTQGSF	10.7910/DVN/MTQGSF	CC0 1.0		Public	CC0 1.0		Achievement data: resp is 0/1 correctness, chosen options not deposited. Demographics were deposited only as dummy expansions and were reconstructed back into single ordinal covariates, reference category recovered from the all-zero rows.	automated	08-26-2026
cosenza_2015_cfc	cosenza_2015_cfc	Consideration of Future Consequences scale (CFC-14), 1-7; Italian adolescents. 1030 respondents x 14 items = 14420 responses.	https://doi.org/10.7910/DVN/DWWZSI	Nigro, G. (2019). Wagering the future: Cognitive distortions, impulsivity, delay discounting, and time perspective in adolescent gambling [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/DWWZSI	10.7910/DVN/DWWZSI	CC0 1.0		Public	CC0 1.0		Two columns are spelled CF4/CF5 rather than CFC4/CFC5 -- a typo, not a second instrument; renamed and the 1..14 numbering asserted.	automated	08-26-2026
cavojova_2017_cfc	cavojova_2017_cfc	Consideration of Future Consequences scale (CFC-14), 1-6; Slovak teachers. 170 respondents x 14 items = 2380 responses.	https://doi.org/10.7910/DVN/5VEZ7T	Jurkovic, M. (2019). Comparison of Experienced vs. Novice Teachers in Cognitive Reflection and Rationality [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/5VEZ7T	10.7910/DVN/5VEZ7T	CC0 1.0		Public	CC0 1.0		Administered on a 1-6 scale here, unlike cosenza_2015_cfc's 1-7, so a separate table. Seven reverse-scored copies (verified 7-x) and five scored totals were dropped. itemcov_subscale marks the Future/Immediate split.	automated	08-26-2026
manolika_2021_movie_preferences	manolika_2021_movie_preferences	Liking ratings for 21 film genres, 1-5. 386 respondents x 21 items = 8081 responses.	https://doi.org/10.7910/DVN/23NDKX	Manolika, M. (2021). The Big Five and Beyond: Which Personality Traits Do Predict Movie and Reading Preferences? [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/23NDKX	10.7910/DVN/23NDKX	CC0 1.0		Public	CC0 1.0		Read from the .sav original, not Dataverse's .tab conversion, in which SPSS user-missing cells arrive as a spurious 0 category.	automated	08-26-2026
