table,table.lower,Description,URL (for data),Reference,DOI (for paper),Original License,Custom License,Public Reshare?,Derived License,Custom License,Notes,Contributor,Date
jaracz_2017_temperament,jaracz_2017_temperament,"109-item TEMPS-A-style affective temperament scale (binary 0/1) from a survey of Polish nurses and civil servants",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0176698.s001,"Jaracz M, Rosiak I, Bertrand-Bucińska A, et al. (2017) Affective temperament, job stress and professional burnout in nurses and civil servants. PLoS ONE.",10.1371/journal.pone.0176698,CC BY 4.0,,Public,CC BY 4.0,,"N=200 (of 258 raw rows; 58 rows with every scale column blank -- no group label either -- dropped as non-respondents). Excluded MBI_WE/MBI_DEP/MBI_ocena_wm/MBI_general composite scores and single lead-in item TEMPS1.",automated,2026-08-04
jaracz_2017_job_stress,jaracz_2017_job_stress,"8-item job stress scale (0-5) from the same survey of Polish nurses and civil servants",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0176698.s001,"Jaracz M, Rosiak I, Bertrand-Bucińska A, et al. (2017) Affective temperament, job stress and professional burnout in nurses and civil servants. PLoS ONE.",10.1371/journal.pone.0176698,CC BY 4.0,,Public,CC BY 4.0,,"N=200, same file/sample as jaracz_2017_temperament. Source column names (stres_1/stres3/stres4/stres_5 etc.) had inconsistent underscores; renamed stress_item1..8.",automated,2026-08-04
fan_2025_mbi_exhaustion,fan_2025_mbi_exhaustion,"9-item Emotional Exhaustion subscale of the Maslach Burnout Inventory (0-6), raw items, from resident physicians in China",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0324707.s002,"Fan Y, Zhang Y, Pu G, et al. (2025) The relationship between person-vocation fit and burnout among resident physicians: A single-center cross-sectional survey. PLoS ONE.",10.1371/journal.pone.0324707,CC BY 4.0,,Public,CC BY 4.0,,"N=636. Full 22-item MBI split into its 3 standard subscales (this table + fan_2025_mbi_accomplishment + fan_2025_mbi_depersonalization), same file/sample.",automated,2026-08-04
fan_2025_mbi_accomplishment,fan_2025_mbi_accomplishment,"8-item Personal Accomplishment subscale of the Maslach Burnout Inventory (0-6), raw items, from resident physicians in China",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0324707.s002,"Fan Y, Zhang Y, Pu G, et al. (2025) The relationship between person-vocation fit and burnout among resident physicians: A single-center cross-sectional survey. PLoS ONE.",10.1371/journal.pone.0324707,CC BY 4.0,,Public,CC BY 4.0,,"N=636, same file/sample as fan_2025_mbi_exhaustion.",automated,2026-08-04
fan_2025_mbi_depersonalization,fan_2025_mbi_depersonalization,"5-item Depersonalization subscale of the Maslach Burnout Inventory (0-6), raw items, from resident physicians in China",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0324707.s002,"Fan Y, Zhang Y, Pu G, et al. (2025) The relationship between person-vocation fit and burnout among resident physicians: A single-center cross-sectional survey. PLoS ONE.",10.1371/journal.pone.0324707,CC BY 4.0,,Public,CC BY 4.0,,"N=636, same file/sample as fan_2025_mbi_exhaustion.",automated,2026-08-04
weatherspoon_2015_family_physicians_freq,weatherspoon_2015_family_physicians_freq,"17-item scale of Maryland family physicians' self-reported frequency of use of recommended health-literate communication techniques (1-5)",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0119855.s002,"Weatherspoon DJ, Horowitz AM, Kleinman DV (2015) The Use of Recommended Communication Techniques by Maryland Family Physicians and Pediatricians. PLoS ONE.",10.1371/journal.pone.0119855,CC BY 4.0,,Public,CC BY 4.0,,"N=69 family physicians (of 126 raw rows; 47 fully-blank trailing rows dropped). Companion survey to koo_2016_comm_technique_use/_opinion (same research group, different professional population). Value 9 ('not applicable' sentinel) filtered out.",automated,2026-08-04
weatherspoon_2015_family_physicians_effectiveness,weatherspoon_2015_family_physicians_effectiveness,"17-item scale of Maryland family physicians' opinions on the effectiveness of recommended health-literate communication techniques (1-5)",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0119855.s002,"Weatherspoon DJ, Horowitz AM, Kleinman DV (2015) The Use of Recommended Communication Techniques by Maryland Family Physicians and Pediatricians. PLoS ONE.",10.1371/journal.pone.0119855,CC BY 4.0,,Public,CC BY 4.0,,"N=55 (fewer respondents answered the effectiveness block than the frequency block). Value 9 sentinel filtered out.",automated,2026-08-04
weatherspoon_2015_pediatricians_freq,weatherspoon_2015_pediatricians_freq,"17-item scale of Maryland pediatricians' self-reported frequency of use of recommended health-literate communication techniques (1-5)",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0119855.s003,"Weatherspoon DJ, Horowitz AM, Kleinman DV (2015) The Use of Recommended Communication Techniques by Maryland Family Physicians and Pediatricians. PLoS ONE.",10.1371/journal.pone.0119855,CC BY 4.0,,Public,CC BY 4.0,,"N=194 pediatricians (of 233 raw rows; blank trailing rows dropped). Value 9 sentinel filtered out.",automated,2026-08-04
weatherspoon_2015_pediatricians_effectiveness,weatherspoon_2015_pediatricians_effectiveness,"17-item scale of Maryland pediatricians' opinions on the effectiveness of recommended health-literate communication techniques (1-5)",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0119855.s003,"Weatherspoon DJ, Horowitz AM, Kleinman DV (2015) The Use of Recommended Communication Techniques by Maryland Family Physicians and Pediatricians. PLoS ONE.",10.1371/journal.pone.0119855,CC BY 4.0,,Public,CC BY 4.0,,"N=158. Observed responses skew heavily to 1-2 in this subgroup (real data, not an error) -- value 9 sentinel filtered out.",automated,2026-08-04
kuczyk_2024_facemask_fba,kuczyk_2024_facemask_fba,"42-item scale (5-pt agreement) on expectations/experiences with wearing face masks in German inpatient/day hospitals",https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0304140.s006,"Kuczyk C, Muench K, Noehre M, et al. (2024) Development and testing of a questionnaire on the expectations and experiences with wearing face masks in inpatient and day hospitals. PLoS ONE.",10.1371/journal.pone.0304140,CC BY 4.0,,Public,CC BY 4.0,,"N=142. FBA_* item block; some source column names carry a '_pre' suffix but no corresponding '_post' columns exist in the file, so this is not a repeated-measures design.",automated,2026-08-04
