table,DOI__for_paper_,Reference_x,URL__for_data_,Derived_License,Description,BibTex
16_personalityfactors,NA,Catell's 16 Personality Factors Test [dataset and codebook]. http://openpsychometrics.org/_rawdata/16PF.zip,http://openpsychometrics.org/_rawdata/,CC BY 4.0,Personality assessment,"@misc{16PF,
  title = {Catell's 16 Personality Factors Test [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/16PF.zip}},
  note = {Accessed via http://openpsychometrics.org/_rawdata/},
  year = {n.d.}
}"
introversion_extroversion,NA,Development of the Multidimensional Introversion-Extraversion ScalesX [dataset and codebook]. http://openpsychometrics.org/_rawdata/MIES_Dev_Data.zip,http://openpsychometrics.org/_rawdata/,CC BY 4.0,Participants respond to statements on extraversion and introversion behaviors on a likert scale,"@misc{MIES_dataset,
  title = {Development of the Multidimensional Introversion-Extraversion {ScalesX} [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/MIES_Dev_Data.zip}},
  url = {http://openpsychometrics.org/_rawdata/},
  year = {n.d.}
}"
nerdy_personality,NA,(2015). Development of the Nerdy Personality Attributes Scale [dataset and codebook]. http://openpsychometrics.org/tests/NPAS/development/,http://openpsychometrics.org/_rawdata/,CC BY 4.0,Attempt to quantify 'nerdiness',"@misc{NPAS2015,
  title = {Development of the {Nerdy} {Personality} {Attributes} {Scale} [dataset and codebook]},
  year = {2015},
  url = {http://openpsychometrics.org/tests/NPAS/development/},
  urldate = {2023-12-11}
}"
depression_anxiety_stress,NA,(2021). Depression Anxiety Stress Scales [dataset and codebook]. http://openpsychometrics.org/_rawdata/DASS_data_21.02.19.zip,http://openpsychometrics.org/_rawdata/,CC BY 4.0,Data from an online survey that measures scales of depression anxiety and stress,"@misc{dass2021,
  title = {Depression Anxiety Stress Scales [dataset and codebook]},
  year = {2021},
  url = {http://openpsychometrics.org/_rawdata/DASS_data_21.02.19.zip},
  note = {Retrieved from http://openpsychometrics.org/_rawdata/}
}"
riasec,NA,(2018). Holland Code (RIASEC) Test [dataset and codebook]. http://openpsychometrics.org/_rawdata/RIASEC_data12Dec2018.zip,http://openpsychometrics.org/_rawdata/,CC BY 4.0,"Data from the Holland Code (RIASEC) Test, wherein participants rated how much they would like to perform certain tasks","@misc{riasec2018,
  title = {Holland Code {(RIASEC)} Test [dataset and codebook]},
  year = {2018},
  url = {http://openpsychometrics.org/_rawdata/RIASEC_data12Dec2018.zip},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/}}
}"
rightwing_authoritariansim,NA,"Altemeyer, B (2015). Right-wing Authoritarianism Scale [dataset and codebook]. https://openpsychometrics.org/_rawdata/RWAS.zip",http://openpsychometrics.org/_rawdata/,CC BY 4.0,Data from a survey that probes facist ideologies to try to understand those regimes and their followers,"@misc{altemeyer2015rwa,
  author = {Altemeyer, B},
  year = {2015},
  title = {Right-wing {Authoritarianism} {Scale} [dataset and codebook]},
  url = {https://openpsychometrics.org/_rawdata/RWAS.zip},
  note = {Retrieved from http://openpsychometrics.org/_rawdata/}
}"
consideration_future_consequences,NA,Consideration of Future Consequences Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/CFCS.zip,http://openpsychometrics.org/_rawdata/,CC BY 4.0,Likert scale responses statements on how actions may effect future consequences,"@misc{CFCS_dataset,
  title = {Consideration of Future Consequences Scale [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/CFCS.zip}},
  url = {http://openpsychometrics.org/_rawdata/},
  year = {n.d.}
}"
experimental_iq,NA,Experimental IQ Test [dataset and codebook]. http://openpsychometrics.org/_rawdata/IQ1.zip,http://openpsychometrics.org/_rawdata/,CC BY 4.0,Data from an experimental IQ test,"@misc{IQ1dataset,
  title = {Experimental {IQ} Test [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/IQ1.zip}},
  url = {http://openpsychometrics.org/_rawdata/},
  note = {Accessed through Open Psychometrics}
}"
psychoneurotic_inventory,NA,Woodworth Psychoneurotic Inventory [dataset and codebook]. http://openpsychometrics.org/_rawdata/WPI.zip,http://openpsychometrics.org/_rawdata/,CC BY 4.0,"Data from online participants on the Woodworth Psychoneurotic Inventory, which is considered by some to be the first personality test","@misc{WPI,
  title = {Woodworth Psychoneurotic Inventory [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/WPI.zip}},
  note = {Accessed via \\url{http://openpsychometrics.org/_rawdata/}}
}"
vocabulary_iq,NA,(2018). Vocabulary IQ Test [dataset and codebook]. http://openpsychometrics.org/_rawdata/VIQT_data.zip,http://openpsychometrics.org/_rawdata/,CC BY 4.0,Data on vocabulary knowledge and personality items,"@misc{VIQT2018,
  title = {Vocabulary {IQ} {Test} [dataset and codebook]},
  year = {2018},
  url = {http://openpsychometrics.org/_rawdata/VIQT_data.zip},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/}}
}"
sexual_compulsivity,NA,Sexual Compulsivity Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/SCS.zip,http://openpsychometrics.org/_rawdata/,CC BY 4.0,Answers to the Sexual Compulsivity Scale,"@misc{SCS_dataset,
  title = {Sexual Compulsivity Scale [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/SCS.zip}},
  note = {Accessed via \\url{http://openpsychometrics.org/_rawdata/}},
  year = {n.d.}
}"
hypersensitive_narcissism,NA,"Jorgenson, E. (2016). Open Hemispheric Brain Dominance Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/OHBDS-data.zip",http://openpsychometrics.org/_rawdata/,CC BY 4.0,Data on agreeability with certain narcisstic personality characteristics,"@misc{jorgenson2016ohbds,
  author = {Jorgenson, E.},
  title = {Open Hemispheric Brain Dominance Scale [dataset and codebook]},
  year = {2016},
  url = {http://openpsychometrics.org/_rawdata/OHBDS-data.zip},
  note = {Retrieved from http://openpsychometrics.org/_rawdata/}
}"
rosenberg_selfesteem,NA,"(2014). Roseberg Self-Esteem Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/RSE.zip///Brennan, K.; Clark, C.; Shaver, P. (1998). Self-report measures of adult romantic attachment. In J. Simpson and W. Rholes, Attachment Theory and Close Relationships. New York: Guilford Press.",http://openpsychometrics.org/_rawdata/,CC BY 4.0,"Data from an interactive version of Experinces in Close Relationships Scale, where participants respond to statements about how they behave with those they have close relationships with","@misc{roseberg2014,
  title={Roseberg Self-Esteem Scale [dataset and codebook]},
  author={Brennan, K. and Clark, C. and Shaver, P.},
  year={2014},
  url={http://openpsychometrics.org/_rawdata/RSE.zip},
  note={In J. Simpson and W. Rholes, Attachment Theory and Close Relationships. New York: Guilford Press}
}"
brain_hemisphere,NA,"Jorgenson, E. (2016). Open Hemispheric Brain Dominance Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/OHBDS-data.zip",http://openpsychometrics.org/_rawdata/,CC BY 4.0,"Data from an interactive version of the Open Hemispheric Brain Dominance Scale survey, a measure of left and right brain cognitive style","@misc{jorgenson2016ohbds,
  author = {Jorgenson, E.},
  title = {Open Hemispheric Brain Dominance Scale [dataset and codebook]},
  year = {2016},
  url = {http://openpsychometrics.org/_rawdata/OHBDS-data.zip},
  note = {Retrieved from http://openpsychometrics.org/_rawdata/}
}"
