table,columns,contributor,generated
bicb-j_ishiguro_2025,Notes,automated,2026-09-07
cure_data,-DOI (for paper); DOI (for data),automated,2026-09-07
icar_sapa,-DOI (for paper); DOI (for data),automated,2026-09-07
loneliness_mudfold,-DOI (for paper); DOI (for data),automated,2026-09-07
mental_health_malawi,-DOI (for paper); DOI (for data),automated,2026-09-07
number_pattern_game,-DOI (for paper); DOI (for data),automated,2026-09-07
parental_text_intervention,-DOI (for paper); DOI (for data),automated,2026-09-07
sapa_personality,-DOI (for paper); DOI (for data),automated,2026-09-07
spanishmegastudy,-DOI (for paper); DOI (for data),automated,2026-09-07
western_reserve_project,-DOI (for paper); DOI (for data),automated,2026-09-07
promis1wave1_anger,-DOI (for paper); DOI (for data),automated,2026-09-07
promis1wave1_cesd,-DOI (for paper); DOI (for data),automated,2026-09-07
promis1wave1_fatigue,-DOI (for paper); DOI (for data),automated,2026-09-07
promis1wave1_pain,-DOI (for paper); DOI (for data),automated,2026-09-07
promis1wave1_social,-DOI (for paper); DOI (for data),automated,2026-09-07
promis1wave1_anxiety,-DOI (for paper); DOI (for data),automated,2026-09-07
promis1wave1_depression,-DOI (for paper); DOI (for data),automated,2026-09-07
promis1wave1_haq,-DOI (for paper); DOI (for data),automated,2026-09-07
promis1wave1_physicalfunction,-DOI (for paper); DOI (for data),automated,2026-09-07
bhs_floreskanter2021,-DOI (for paper); DOI (for data),automated,2026-09-07
BAFACALO_Golino_2013_BVPS,-DOI (for paper); DOI (for data),automated,2026-09-07
BAFACALO_Golino_2013_CIS,-DOI (for paper); DOI (for data),automated,2026-09-07
BAFACALO_Golino_2013_FIS,-DOI (for paper); DOI (for data),automated,2026-09-07
BAFACALO_Golino_2013_SMS,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_1,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_2,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_4,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_6,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_7,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_8,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_9,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_10,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_11,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_12,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_13,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_14,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_15,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_20,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_21,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_22,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_25,-DOI (for paper); DOI (for data),automated,2026-09-07
gilbert_meta_26,-DOI (for paper); DOI (for data),automated,2026-09-07
