table,collection,basis
fcupanas_cffsdas_reyna_2018,affect_panas,rule:cname:panas|positive and negative af
florida_twins_behavior_panas,affect_panas,rule:cname:panas|positive and negative af
florida_twins_panas,affect_panas,rule:cname:panas|positive and negative af
FomoNegativeAffect_cremer_2026_panas,affect_panas,rule:cname:panas|positive and negative af
jovanovic_2026_conscientiousness_panas_na,affect_panas,rule:cname:panas|positive and negative af
PEMAIW_Qiu_2020_PANAS,affect_panas,rule:cname:panas|positive and negative af
pierro_2018_negaffect_s3,affect_panas,rule:cname:panas|positive and negative af
pierro_2018_posaffect_s3,affect_panas,rule:cname:panas|positive and negative af
PPPASBPNSSedaisw_Pedro_2022_PANAS,affect_panas,rule:cname:panas|positive and negative af
qi_2025_panas,affect_panas,rule:cname:panas|positive and negative af
stoyel_2021_neg_affect,affect_panas,rule:cname:panas|positive and negative af
stoyel_2021_pos_affect,affect_panas,rule:cname:panas|positive and negative af
threat_isler_2024_exp1_cog_panas,affect_panas,rule:cname:panas|positive and negative af
threat_isler_2024_exp1_incentive_panas,affect_panas,rule:cname:panas|positive and negative af
threat_isler_2024_exp2_cog_panas,affect_panas,rule:cname:panas|positive and negative af
threat_isler_2024_exp2_picture_panas,affect_panas,rule:cname:panas|positive and negative af
threat_isler_2024_exp3_cog_panas,affect_panas,rule:cname:panas|positive and negative af
threat_isler_2024_exp4_cog_panas,affect_panas,rule:cname:panas|positive and negative af
wolf_2017_study1_posaff,affect_panas,rule:cname:panas|positive and negative af
wolf_2017_study2_posaff_post,affect_panas,rule:cname:panas|positive and negative af
wolf_2017_study2_posaff_pre,affect_panas,rule:cname:panas|positive and negative af
amatus_cipora_2024_amas,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
amatus_cipora_2024_gad,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
amatus_cipora_2024_stai,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
anxiety_gastro_symptoms,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
anxiety_lordif,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
assessment_time_fournier_2025_gad,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
audit_BrummerHoffman_2021,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
bang_2023_anxiety,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
bitew_2020_anxiety,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
buzgova_2023_gai,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
c19prc_uk_mcbride_2021_dai,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
c19prc_uk_mcbride_2021_gad7,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
c19prc_uk_mcbride_2021_icd_anxiety,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
c19prc_uk_mcbride_2021_minispin,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
caetano-santos-lsas-2021,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
ccapsvtskhpacr_mercedes_2023_hada,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
