table,column,kind,was,now
bradleyterry2_cems,Original_License,fill,NA,GPL-3.0
collegefb_2021and2022,Original_License,fill,NA,CC0 1.0
costa_gine_2023_wpt_matches,Original_License,fill,NA,CC BY 4.0
elochoice_physical,Original_License,fill,NA,GPL-3.0
epl_matches_2021-2022,Original_License,fill,NA,CC0 1.0
eufootball_2010-2020,Original_License,fill,NA,GPL-3.0
footbayes_england,Original_License,fill,NA,GPL-2.0
footbayes_italy,Original_License,fill,NA,GPL-2.0
friedman2019_risk_appropriate,Original_License,fill,NA,Permission via Email
friedman2019_risk_disaster,Original_License,fill,NA,Permission via Email
friedman2019_risk_fairness,Original_License,fill,NA,Permission via Email
friedman2019_risk_harm,Original_License,fill,NA,Permission via Email
friedman2019_risk_incidence,Original_License,fill,NA,Permission via Email
friedman2019_risk_longterm,Original_License,fill,NA,Permission via Email
friedman2019_risk_priority,Original_License,fill,NA,Permission via Email
friedman2019_risk_worry,Original_License,fill,NA,Permission via Email
guinaudeau2024_largechambers,Original_License,fill,NA,CC0 1.0
lichess,Original_License,fill,NA,CC0 1.0
mlb_through2023,Original_License,fill,NA,MIT
nba_2012-2018,Original_License,fill,NA,CC BY-SA 4.0
nfl_2010-2019,Original_License,fill,NA,CC0 1.0
nhl_post1917,Original_License,fill,NA,CC0 1.0
t20_hyper,Original_License,fill,NA,GPL-3.0
zucco2019_portfoliosalience,Original_License,fill,NA,CC0 1.0
