table,column,kind,was,now
blum_2018_imak_nominal,Derived_License,fill,NA,CC BY 4.0
borges_brazil_residency_2024_cbt,Derived_License,fill,NA,CC0 1.0
borges_brazil_residency_2024_pbt,Derived_License,fill,NA,CC0 1.0
cos101_2026_openended,Derived_License,fill,NA,CC BY 4.0
himmelstein-berlin_numeracy-2025,Derived_License,fill,NA,CC BY 4.0
much_tte_2025_concentrationtask,Derived_License,fill,NA,CC BY 4.0
much_tte_2025_matrixreasoning,Derived_License,fill,NA,CC BY 4.0
persuade_learningagency,Derived_License,fill,NA,CC BY 4.0
wilmer-mrmet-normative-data-set-2022,Derived_License,fill,NA,CC BY 4.0
wilmer-rmet-normative-data-set-2022,Derived_License,fill,NA,CC BY 4.0
