table,original,derived,basis
coh_goodman_2023_causal_beliefs,CC BY 4.0,CC BY 4.0,derived
coh_goodman_2023_general_survey,CC BY 4.0,CC BY 4.0,derived
coh_goodman_2023_health_literacy,CC BY 4.0,CC BY 4.0,derived
coh_goodman_2023_racial_comp,CC BY 4.0,CC BY 4.0,derived
gerard_2018_metatraits,CC0 1.0,CC0 1.0,derived
heekerens2025_bfi_extraversion,CC BY 4.0,CC BY 4.0,derived
heekerens2025_bfi_neuroticism,CC BY 4.0,CC BY 4.0,derived
heekerens2025_bfi_openness,CC BY 4.0,CC BY 4.0,derived
heekerens2025_dss,CC BY 4.0,CC BY 4.0,derived
heekerens2025_pds,CC BY 4.0,CC BY 4.0,derived
heekerens2025_phq,CC BY 4.0,CC BY 4.0,derived
heekerens2025_sdq,CC BY 4.0,CC BY 4.0,derived
kwiatkowska_2022_bemas,CC BY 4.0,CC BY 4.0,derived
liu_2021_vrexp_breq,CC BY 4.0,CC BY 4.0,derived
liu_2021_vrexp_brums,CC BY 4.0,CC BY 4.0,derived
liu_2021_vrexp_depression,CC BY 4.0,CC BY 4.0,derived
liu_2021_vrexp_experience,CC BY 4.0,CC BY 4.0,derived
silk_2019_hyperactive,CC BY 4.0,CC BY 4.0,derived
silk_2019_inattentive,CC BY 4.0,CC BY 4.0,derived
