table,irw_version,date,change,issue,replaces,replaced_by
lys_2020_rape_1_rma,306,2026-08-27,"742 blank rows with `id` and `item` of ""NA"" removed.",#1622,,
ALSECYPIAMH_WU_2022_SDQ,311,2026-08-27,The `SDQ_Pro` subscale score had been included as an item; removed.,#1691,,
alves_2017_hamd17,312,2026-08-28,Nine responses outside their items' scale range removed.,#1642,,
eammi_grahe_2018_belong,321,2026-08-31,Attention-check and flag columns had been included as items; removed.,#1677,,
eammi_grahe_2018_efficacy,321,2026-08-31,Attention-check and flag columns had been included as items; removed.,#1677,,
eammi_grahe_2018_mindful,321,2026-08-31,Attention-check and flag columns had been included as items; removed.,#1677,,
eammi_grahe_2018_socmedia,321,2026-08-31,Attention-check and flag columns had been included as items; removed.,#1677,,
eammi_grahe_2018_stress,321,2026-08-31,Attention-check and flag columns had been included as items; removed.,#1677,,
eammi_grahe_2018_support,321,2026-08-31,Attention-check and flag columns had been included as items; removed.,#1677,,
germann_2026_environment,321,2026-08-31,"`id` collided across the three country samples; made unique. `wave` renamed `cov_attack_timing`, since it is not longitudinal.",#1683,,
germann_2026_immigration,321,2026-08-31,"`id` collided across the three country samples; made unique. `wave` renamed `cov_attack_timing`, since it is not longitudinal.",#1683,,
germann_2026_national_identity,321,2026-08-31,"`id` collided across the three country samples; made unique. `wave` renamed `cov_attack_timing`, since it is not longitudinal.",#1683,,
germann_2026_redistribution,321,2026-08-31,"`id` collided across the three country samples; made unique. `wave` renamed `cov_attack_timing`, since it is not longitudinal.",#1683,,
germann_2026_state_intervention,321,2026-08-31,"`id` collided across the three country samples; made unique. `wave` renamed `cov_attack_timing`, since it is not longitudinal.",#1683,,
pezzuti_2025_coolpeople_main_big5_SouthKorea,321,2026-08-31,"Openness item `korean_big5_art`, dropped in processing, restored (9 to 10 items).",#1618,,
american_multiracial_face,322,2026-08-31,A rater file the script had not read (Black-prototypicality ratings for smiling photographs) added; items renumbered.,#1660,,
APFCompact_Ptacek_2024_DASS-21,322,2026-08-31,Retired: a duplicate ingest of the same deposit.,#1653,,ptacek2023_dass21
brand_raffaelli_2024_liking_20,322,2026-08-31,The Logo-Prolific choice mapping had been rotated; responses remapped to the correct options.,#1657,,
anjum_2022_gad7,323,2026-08-31,An item dropped in processing restored.,#1655,,
bitew_2020_self_efficacy,323,2026-08-31,An item dropped in processing restored.,#1655,,
preussmattsson_2022_ownership,323,2026-08-31,The experimental condition had been folded into the item code; moved to `cov_condition` (24 to 6 items).,#1626,,
AOMT_BR_SF_EDPANAB_Geiger_2021_AOT,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
AOMT_BR_SF_EDPANAB_Geiger_2021_BRS,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
AOMT_BR_SF_EDPANAB_Geiger_2021_RF,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
concretewords,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
CV_OASIS_ODSIS_PPE_Novak_2020_BFI,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
CV_OASIS_ODSIS_PPE_Novak_2020_DSES,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
CV_OASIS_ODSIS_PPE_Novak_2020_RSES,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
deception_game,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
evpromisi_stone_2021_cdiag,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
evpromisi_stone_2021_global,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
EWAS_Sanford_2024,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
fcupanas_cffsdas_reyna_2018,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
FEDSP_Trzcinska_2023_MonKnow,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
FEDSP_Trzcinska_2023_PRD,333,2026-09-03,"Duplicate `id`+`item` rows removed, and rows where different respondents shared an `id` repaired against the source.",#1842,,
FEDSP_Trzcinska_2023_SMSD,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
Fh_Okcsr_Roos_2022_study1_Feeling_Heard,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
florida_twins_behavior_cads,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
florida_twins_behavior_cadsyv,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
florida_twins_behavior_ecs,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
florida_twins_behavior_friends,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
florida_twins_behavior_panas,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
florida_twins_behavior_rcads,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
florida_twins_behavior_tas,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
gcbs_brotherton_2013,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
gcbs_brotherton_2013_tipi,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
gcbs_brotherton_2013_vcl,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
machivallianism_test_main,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
machivallianism_test_tipi,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
machivallianism_test_vcl,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
mgkt,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
narcissistic_personality_inventory,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
OS_TBMWTFS_Schubert_2023_DMW,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
OS_TBMWTFS_Schubert_2023_IPIP,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
OS_TBMWTFS_Schubert_2023_MAAS,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
OS_TBMWTFS_Schubert_2023_SMW,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
oxfordcovid_xue_2024_bfi,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
oxfordcovid_xue_2024_iusc,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
oxfordcovid_xue_2024_mfq,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
oxfordcovid_xue_2024_mh,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
oxfordcovid_xue_2024_pas,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
oxfordcovid_xue_2024_phq,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
oxfordcovid_xue_2024_pss,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
oxfordcovid_xue_2024_pswq_a,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
oxfordcovid_xue_2024_rse,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
oxfordcovid_xue_2024_ua,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
pass20_klosowska_2025_csq_online,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
