table,instrument,mean_word,mean_character,mean_character_responses,FK_grade
16_personalityfactors,Cattell's 16 Personality Factors Test (IPIP-keyed scales),5.59509202453988,27.7423312883436,14,3.72278764395652
360emergencymed_azami_2024,Clinical Performance (360-degree Evaluation Instrument),16.7818181818182,112.654545454545,16.25,12.2943934567531
abdullah_2024_bsq_sev24,Bloating Severity Questionnaire (BSQ) -- Malay version (BSQ-M): Severity in Past 24 Hours subscale (Sev24),19.8214285714286,100.071428571429,2,7.74612290862291
abdullah_2024_bsq_sevgen,Bloating Severity Questionnaire (BSQ) -- Malay version (BSQ-M): General Severity subscale (SevGen),12.2068965517241,66.5172413793103,2,5.47068965517241
abdullah_2024_hpbbloat_stress,"Health Promoting Behaviour for Bloating (HPB-Bloat) scale, Stress Management subscale",10.6666666666667,59.3333333333333,7,5.16375
abouhashish_2025_chatgpt_attitudes,"ChatGPT Knowledge, Perceptions, Attitudes, and Concerns Questionnaire (researcher-developed)",9.175,54.55,10.2,8.56019669618529
abukhalaf_2025_disaster_prep,"Storm preparedness intention scale (researcher-developed, hurricane preparedness questionnaire)",4.33333333333333,23.3333333333333,2,62.8723076923077
ada_boredom_bieleke2022,Dealing with boredom scale,8.2,39,14.4285714285714,3.00556097560976
addy_2021_sdq_ghana,"Strengths and Difficulties Questionnaire (SDQ), self-report version -- 10-item subset",8.6,43.3,11.6666666666667,107.147777777778
Adherence_Zissette_2018_SDB,"Social desirability items (Marlowe-Crowne derived) embedded in the DOMA Screener Form, IRBnet #744987 Final Structured Survey",11.1923076923077,59.3461538461538,14.5,5.23876288659794
aestheticfluency_cotter2023,Aesthetic fluency scale,1,7.52777777777778,42.6666666666667,56.03
afps_vangsness_2019,Academic Functional Procrastination,16.6666666666667,98.1111111111111,17.6,10.4773333333333
agogue_2020_self_perceived_creativity,Pre-label self-perceived creativity scale (6 items),10.5,55.1666666666667,5.85714285714286,7.745
aguirre_camacho_2021_champion,"Champion Breast Cancer Fear Scale (Spanish version, CBCFS-es)",9.125,44.75,7.4,6.23450342465754
aguirre_camacho_2021_shai,"Short Health Anxiety Inventory (SHAI-18; Salkovskis et al., 2002) -- two-factor Spanish version (Morales et al., 2015) administered in this study",1,2,64.2222222222222,-3.4
ahmed_2019_food_consumption,"Food Consumption Score (FCS) module, Section D Food Security",2.28571428571429,17.2857142857143,2,4.25540293040293
ahmed_2019_wellbeing,ONS4-style subjective wellbeing questions (Dolan & Metcalfe),8.75,51.25,13.75,6.02821428571429
aip_vangsness_2019,Adult Inventory of Procrastination,10.8181818181818,54.9090909090909,17.6,3.80051948051948
ajaykumar_2023_nasa_tlx,"NASA Task Load Index (NASA-TLX) -- the study administered a modified version, adapted to 5-point Likert scales",27.1666666666667,178.833333333333,4.6,11.5436871165644
alasmari_2025_ai_trust_compare,"AI vs. Human Trust Comparison Scenarios (Alasmari et al. 2025 survey, Part 4)",28.2,163.8,16.3333333333333,14.3493802816901
alasmari_2025_ai_trust_confidence,AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks),17.25,123.75,13,15.0035714285714
albeitawi_2025_preceptor_needs,Training Need Assessment for Clinical Preceptors,3.57142857142857,26.4285714285714,13.5,9.87485714285715
alcoholhealthwarninglabel_brennan_2022_awareness_harms_followup,Alcohol Health Warning Study -- Awareness of Alcohol-Related Harms,6.5,40.5,93.5,24.6592307692308
alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup,"Emotional Arousal Ratings (Positive and Negative Affect), Follow-up",1,8.16666666666667,4.57142857142857,32.2566666666667
alcoholresearch_sumscore,Alcohol use disorder scale,7.9,46.15,2.5,7.39458536585366
alcoholstroop_jones2024,"Alcohol Stroop Task (novel online dataset; Jones, Petrovskaya & Stafford, 2024)",1,5.28571428571429,8,3.82928571428571
alexander_2017_dsi,"Differentiation of Self Inventory (DSI) -- Emotional Reactivity and Emotional Cutoff subscales (Skowron & Friedlander, 1998)",12,63.4782608695652,7.33333333333333,6.40521739130435
algner2022_cse,"Core Self-Evaluations Scale (German version: G-CSES; Heilmann & Jonas, 2010)",8.16666666666667,42.5833333333333,10.2,3.97051020408163
algner2022_mimi16,MIMI-16 (Microinsults and Microinvalidations against women in the workplace),12.4375,72.5625,7,8.2354993718593
algner2022_oss,"Occupational Self-Efficacy Scale - Short Form (OSS-SF; Rigotti, Schyns, & Mohr, 2008)",9.66666666666667,45.6666666666667,6.33333333333333,4.25241379310345
algner2022_uwes,"Utrecht Work Engagement Scale-9, German version (UWES-9; Schaufeli & Bakker, 2003; Sautier et al., 2015)",6.88888888888889,40.7777777777778,7.42857142857143,4.98698924731183
ali_2021_gad7,"GAD-7 (Generalized Anxiety Disorder 7-item scale; Spitzer et al., 2006)",6.42857142857143,37.8571428571429,15.25,6.84603174603175
ali_2021_iesr,"Impact of Event Scale-Revised (IES-R; Weiss & Marmar, 1997)",8.54545454545454,43.8636363636364,10.4,4.24299422799423
ali_2021_isi,"Insomnia Severity Index (ISI; Morin et al., 2011)",12.0333333333333,80.2,10.2333333333333,8.96726747720365
ali_2021_phq9,"Patient Health Questionnaire-9 (PHQ-9; Kroenke, Spitzer & Williams, 2001)",12,69.2222222222222,15.25,7.13456603773585
ali_2021_spfi,"Stanford Professional Fulfillment Index (SPFI; Trockel et al., 2018)",6.6875,40.25,10.65,6.05361111111111
alkouri_2025_coping,"Coping Behavior Inventory (CBI) (Sheu et al., 2002)",7.73684210526316,45.6315789473684,7.2,6.37158610812746
alkouri_2025_icu_stressors,"Perceived Stress Scale (PSS) -- ICU/clinical placement stressor subscale (Sheu et al., 1997)",9.3448275862069,61.9655172413793,7.2,9.69507316452475
allen_2025_delaydiscount,"Monetary Choice Questionnaire (MCQ; Kirby, Petry & Bickel, 1999), 27-item version",11,51.2222222222222,11.6111111111111,3.09538461538461
almuqbil_2022_epds,"Edinburgh Postnatal Depression Scale (EPDS; Cox, Holden & Sagovsky, 1987) -- Arabic translation (Ghubash et al., 1997) administered; English item text shown is the standard EPDS source wording, see note",9.5,48,19.25,4.13815789473685
alsecypiamh_wu_2022_cps,Claremont Purpose Scale,13.4166666666667,71.75,5.38333333333333,5.77866564417178
alsecypiamh_wu_2022_empathy,empathic concern subscale of the Interpersonal Reactivity Index,12.5714285714286,72,10.4,7.13486356340289
alsecypiamh_wu_2022_nei,Gallup's negative experience index,3.2,18.2,2.5,4.833
alsecypiamh_wu_2022_pei,Gallup's positive experience index,9,54.2,2.5,6.12608695652174
ALSECYPIAMH_WU_2022_PHQ,Patient Health Questionnaire-2 (PHQ-2),6,39.5,15.25,6.41666666666667
alsecypiamh_wu_2022_pil,Purpose in Life,4,21.75,9.5,4.4075
ALSECYPIAMH_WU_2022_SDQ,"Strengths and Difficulties Questionnaire (SDQ), prosocial subscale",12.6666666666667,74.6666666666667,11.6666666666667,7.24285714285714
alsecypiamh_wu_2022_swemwbs,Short Warwick-Edinburgh Mental Wellbeing Scale,6.14285714285714,35,11.6,3.81966777408638
alsecypiamh_wu_2022_swls,Satisfaction with Life Scale,9.4,45.4,14.4285714285714,3.13982978723404
alsuhibani_2022_consp_s1,Conspiracy Mentality Questionnaire (CMQ),14.4,88.8,9.27272727272727,10.5121111111111
alsuhibani_2022_ecrs_s3,Experiences in Close Relationships Scale - Short Form (ECR-12),10.3333333333333,58.5833333333333,12.8571428571429,7.37709677419355
alsuhibani_2022_gcbs,Generic Conspiracist Beliefs Scale (GCBS),15.5333333333333,99.5333333333333,17.2,11.0248907563025
alsuhibani_2022_loc,Multidimensional Locus of Control Scale (Levenson IPC Scale),14.875,76.875,15.5,7.00228641456583
alsuhibani_2022_npi_s3,"Narcissistic Personality Inventory (NPI-13, forced-choice)",1,2,41.5,-3.4
alsuhibani_2022_pads_s1,"Paranoia and Deservedness Scale (PaDS), P scale",11.2,61.5,17.6,6.478
alsuhibani_2022_pads_s2,"Revised Paranoia and Deservedness Scale (PaDS-R), P scale",10.875,61.875,17.6,6.96159482758621
alsuhibani_2022_sers,Self-Esteem Rating Scale-Short Form (SERS),10.25,47.7,13.1428571428571,3.66115853658536
altahla_2024_swls,Satisfaction with Life Scale (SWLS),9.4,45.8,14.4285714285714,3.13982978723404
altahla_2024_whoqol,WHOQOL-BREF (World Health Organization Quality of Life - Brief),9.57692307692308,52.7692307692308,13.0230769230769,5.58435742971887
altman_2020_capq,Cannabis-Associated Problems Questionnaire (CAPQ),3.73684210526316,22.6842105263158,36.1666666666667,5.62896899783706
alves_2017_hamd17,"Hamilton Depression Rating Scale, 17-item version (HDRS-17 / HAM-D17)",7.49275362318841,56.5652173913044,16.9710144927536,14.6433308182428
amarilla_2020_barthel,Barthel Index of Activities of Daily Living (10-item),1.1,7.53333333333333,18.0333333333333,9.15415151515151
amarilla_2020_eq5d,EQ-5D (3-level) health status questionnaire,2,14,34.5333333333333,16.5786666666667
amarilla_2020_lawton_brody,Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale,2.5,18.625,90.4375,14.295
amarilla_2020_sf12,SF-12 Health Survey,23.0212765957447,129.531914893617,13.2340425531915,6.31106947917799
amatus_cipora_2024_amas,"The AMATUS Dataset: Arithmetic Performance, Mathematics Anxiety and Attitudes in Primary School Teachers and University Students",9.44444444444444,51.8888888888889,5.8,6.14039215686275
amatus_cipora_2024_arithmetic,"The AMATUS Dataset: Arithmetic Performance, Mathematics Anxiety and Attitudes in Primary School Teachers and University Students",4,8.825,NA,-1.97
amatus_cipora_2024_bfi_n,"The AMATUS Dataset: Arithmetic Performance, Mathematics Anxiety and Attitudes in Primary School Teachers and University Students",6.375,34,6.4,6.10017156862745
amatus_cipora_2024_fsmas_se,"The AMATUS Dataset: Arithmetic Performance, Mathematics Anxiety and Attitudes in Primary School Teachers and University Students",12.1111111111111,62.7777777777778,7.4,6.67094801223242
amatus_cipora_2024_gad,"The AMATUS Dataset: Arithmetic Performance, Mathematics Anxiety and Attitudes in Primary School Teachers and University Students",6.42857142857143,37.7142857142857,16.5,6.84603174603175
amatus_cipora_2024_pisa_me,"The AMATUS Dataset: Arithmetic Performance, Mathematics Anxiety and Attitudes in Primary School Teachers and University Students",11.6666666666667,62.3333333333333,15.25,112.620704225352
