irw_version	irw_released_at	dataset	redivis_tag	redivis_released_at	precision	redivis_released_before
1	2023-09-25T19:19:15Z	item_response_warehouse	v1.0	2023-09-25T19:19:15Z	bracketed	2024-01-19T17:42:45Z
2	2024-01-19T17:42:45Z	item_response_warehouse	v1.1	2024-01-19T17:42:45Z	bracketed	2024-01-24T04:27:28Z
3	2024-01-24T04:27:28Z	item_response_warehouse	v1.2	2024-01-24T04:27:28Z	bracketed	2024-01-24T12:59:34Z
4	2024-01-24T12:59:34Z	item_response_warehouse	v1.3	2024-01-24T12:59:34Z	bracketed	2024-01-30T01:57:13Z
5	2024-01-30T01:57:13Z	item_response_warehouse	v2.0	2024-01-30T01:57:13Z	bracketed	2024-02-16T01:33:47Z
6	2024-02-16T01:33:47Z	item_response_warehouse	v3.0	2024-02-16T01:33:47Z	bracketed	2024-03-01T22:26:08Z
7	2024-03-01T22:26:08Z	item_response_warehouse	v4.0	2024-03-01T22:26:08Z	bracketed	2024-03-11T21:29:00Z
8	2024-03-11T21:29:00Z	item_response_warehouse	v5.0	2024-03-11T21:29:00Z	bracketed	2024-09-03T23:05:59Z
9	2024-09-03T23:05:59Z	item_response_warehouse	v5.1	2024-09-03T23:05:59Z	bracketed	2024-09-05T18:44:48Z
10	2024-09-05T18:44:48Z	item_response_warehouse	v5.2	2024-09-05T18:44:48Z	bracketed	2024-09-05T18:51:42Z
11	2024-09-05T18:51:42Z	item_response_warehouse	v6.0	2024-09-05T18:51:42Z	bracketed	2024-09-09T15:26:52Z
12	2024-09-09T15:26:52Z	item_response_warehouse	v6.1	2024-09-09T15:26:52Z	bracketed	2024-09-12T11:54:09Z
13	2024-09-12T11:54:09Z	item_response_warehouse	v7.0	2024-09-12T11:54:09Z	bracketed	2024-09-12T17:54:52Z
14	2024-09-12T17:54:52Z	item_response_warehouse	v7.1	2024-09-12T17:54:52Z	bracketed	2024-09-17T12:45:10Z
15	2024-09-17T12:45:10Z	item_response_warehouse	v7.2	2024-09-17T12:45:10Z	bracketed	2024-09-17T23:42:25Z
16	2024-09-17T23:42:25Z	item_response_warehouse	v7.3	2024-09-17T23:42:25Z	bracketed	2024-09-18T23:55:21Z
17	2024-09-18T23:55:21Z	item_response_warehouse	v7.4	2024-09-18T23:55:21Z	bracketed	2024-09-23T23:04:59Z
18	2024-09-23T23:04:59Z	item_response_warehouse	v7.5	2024-09-23T23:04:59Z	bracketed	2024-09-26T16:32:49Z
19	2024-09-26T16:32:49Z	item_response_warehouse	v7.6	2024-09-26T16:32:49Z	bracketed	2024-09-26T22:14:07Z
20	2024-09-26T22:14:07Z	item_response_warehouse	v7.7	2024-09-26T22:14:07Z	bracketed	2024-10-02T00:04:40Z
21	2024-10-02T00:04:40Z	item_response_warehouse	v8.0	2024-10-02T00:04:40Z	bracketed	2024-10-02T12:21:25Z
22	2024-10-02T12:21:25Z	item_response_warehouse	v8.1	2024-10-02T12:21:25Z	bracketed	2024-10-03T19:51:35Z
23	2024-10-03T19:51:35Z	item_response_warehouse	v9.0	2024-10-03T19:51:35Z	bracketed	2024-10-03T23:07:02Z
24	2024-10-03T23:07:02Z	item_response_warehouse	v10.0	2024-10-03T23:07:02Z	bracketed	2024-10-03T23:41:00Z
25	2024-10-03T23:41:00Z	item_response_warehouse	v11.0	2024-10-03T23:41:00Z	bracketed	2024-10-04T20:53:52Z
26	2024-10-04T20:53:52Z	item_response_warehouse	v11.1	2024-10-04T20:53:52Z	bracketed	2024-10-07T16:24:45Z
27	2024-10-07T16:24:45Z	item_response_warehouse	v11.2	2024-10-07T16:24:45Z	bracketed	2024-10-08T13:21:26Z
28	2024-10-08T13:21:26Z	item_response_warehouse	v11.3	2024-10-08T13:21:26Z	bracketed	2024-10-09T16:54:01Z
29	2024-10-09T16:54:01Z	item_response_warehouse	v11.4	2024-10-09T16:54:01Z	bracketed	2024-10-14T14:42:11Z
30	2024-10-14T14:42:11Z	item_response_warehouse	v11.5	2024-10-14T14:42:11Z	bracketed	2024-10-22T14:28:35Z
31	2024-10-22T14:28:35Z	item_response_warehouse	v11.6	2024-10-22T14:28:35Z	bracketed	2024-10-24T13:09:34Z
32	2024-10-24T13:09:34Z	item_response_warehouse	v11.7	2024-10-24T13:09:34Z	bracketed	2024-10-26T14:33:04Z
33	2024-10-26T14:33:04Z	item_response_warehouse	v11.8	2024-10-26T14:33:04Z	bracketed	2024-10-27T14:21:43Z
34	2024-10-27T14:21:43Z	item_response_warehouse	v11.9	2024-10-27T14:21:43Z	bracketed	2024-10-28T14:24:09Z
35	2024-10-28T14:24:09Z	item_response_warehouse	v11.10	2024-10-28T14:24:09Z	bracketed	2024-10-30T12:26:27Z
36	2024-10-30T12:26:27Z	item_response_warehouse	v11.11	2024-10-30T12:26:27Z	bracketed	2024-10-30T17:37:29Z
37	2024-10-30T17:37:29Z	item_response_warehouse	v11.12	2024-10-30T17:37:29Z	bracketed	2024-10-31T18:09:49Z
38	2024-10-31T18:09:49Z	item_response_warehouse	v11.13	2024-10-31T18:09:49Z	bracketed	2024-11-01T16:54:49Z
39	2024-11-01T16:54:49Z	item_response_warehouse	v11.14	2024-11-01T16:54:49Z	bracketed	2024-11-01T18:28:28Z
40	2024-11-01T18:28:28Z	item_response_warehouse	v11.15	2024-11-01T18:28:28Z	bracketed	2024-11-05T01:34:20Z
41	2024-11-05T01:34:20Z	item_response_warehouse	v11.16	2024-11-05T01:34:20Z	bracketed	2024-11-05T23:42:44Z
42	2024-11-05T23:42:44Z	item_response_warehouse	v11.17	2024-11-05T23:42:44Z	bracketed	2024-11-12T04:25:18Z
43	2024-11-12T04:25:18Z	item_response_warehouse	v11.18	2024-11-12T04:25:18Z	bracketed	2024-11-14T16:25:32Z
44	2024-11-14T16:25:32Z	item_response_warehouse	v11.19	2024-11-14T16:25:32Z	bracketed	2024-11-15T22:23:54Z
45	2024-11-15T22:23:54Z	item_response_warehouse	v11.20	2024-11-15T22:23:54Z	bracketed	2024-11-19T14:44:05Z
46	2024-11-19T14:44:05Z	item_response_warehouse	v11.21	2024-11-19T14:44:05Z	bracketed	2024-11-21T17:52:17Z
47	2024-11-21T17:52:17Z	item_response_warehouse	v11.22	2024-11-21T17:52:17Z	bracketed	2024-11-23T17:46:48Z
48	2024-11-23T17:46:48Z	item_response_warehouse	v11.23	2024-11-23T17:46:48Z	bracketed	2024-11-26T16:40:58Z
49	2024-11-26T16:40:58Z	item_response_warehouse	v11.24	2024-11-26T16:40:58Z	bracketed	2024-11-27T05:25:16Z
50	2024-11-27T05:25:16Z	item_response_warehouse	v11.25	2024-11-27T05:25:16Z	bracketed	2024-12-02T18:24:24Z
51	2024-12-02T18:24:24Z	item_response_warehouse	v12.0	2024-12-02T18:24:24Z	bracketed	2024-12-06T19:43:03Z
52	2024-12-06T19:43:03Z	item_response_warehouse	v13.0	2024-12-06T19:43:03Z	bracketed	2024-12-07T15:40:27Z
53	2024-12-07T15:40:27Z	item_response_warehouse	v14.0	2024-12-07T15:40:27Z	bracketed	2024-12-09T17:29:18Z
54	2024-12-09T17:29:18Z	item_response_warehouse	v14.1	2024-12-09T17:29:18Z	bracketed	2024-12-10T13:15:38Z
55	2024-12-10T13:15:38Z	item_response_warehouse	v15.0	2024-12-10T13:15:38Z	bracketed	2024-12-10T16:35:31Z
56	2024-12-10T16:35:31Z	item_response_warehouse	v16.0	2024-12-10T16:35:31Z	bracketed	2024-12-11T18:21:13Z
57	2024-12-10T17:11:07Z	item_response_warehouse	v16.0	2024-12-10T16:35:31Z	bracketed	2024-12-11T18:21:13Z
57	2024-12-10T17:11:07Z	irw_meta	v1.0	2024-12-10T17:11:07Z	exact	
58	2024-12-11T18:21:13Z	item_response_warehouse	v16.1	2024-12-11T18:21:13Z	bracketed	2024-12-13T03:20:38Z
58	2024-12-11T18:21:13Z	irw_meta	v1.0	2024-12-10T17:11:07Z	exact	
59	2024-12-13T03:20:38Z	item_response_warehouse	v16.2	2024-12-13T03:20:38Z	bracketed	2024-12-16T00:26:48Z
59	2024-12-13T03:20:38Z	irw_meta	v1.0	2024-12-10T17:11:07Z	exact	
60	2024-12-16T00:26:48Z	item_response_warehouse	v16.3	2024-12-16T00:26:48Z	bracketed	2024-12-17T18:12:58Z
60	2024-12-16T00:26:48Z	irw_meta	v1.0	2024-12-10T17:11:07Z	exact	
61	2024-12-17T18:12:58Z	item_response_warehouse	v17.0	2024-12-17T18:12:58Z	bracketed	2024-12-18T21:03:52Z
61	2024-12-17T18:12:58Z	irw_meta	v1.0	2024-12-10T17:11:07Z	exact	
62	2024-12-18T21:03:52Z	item_response_warehouse	v18.0	2024-12-18T21:03:52Z	bracketed	2024-12-19T22:04:39Z
62	2024-12-18T21:03:52Z	irw_meta	v1.0	2024-12-10T17:11:07Z	exact	
63	2024-12-19T22:04:39Z	item_response_warehouse	v18.1	2024-12-19T22:04:39Z	bracketed	2025-01-06T15:44:14Z
63	2024-12-19T22:04:39Z	irw_meta	v1.0	2024-12-10T17:11:07Z	exact	
64	2025-01-06T15:44:14Z	item_response_warehouse	v18.2	2025-01-06T15:44:14Z	bracketed	2025-01-06T16:11:49Z
64	2025-01-06T15:44:14Z	irw_meta	v1.0	2024-12-10T17:11:07Z	exact	
65	2025-01-06T16:11:49Z	item_response_warehouse	v19.0	2025-01-06T16:11:49Z	bracketed	2025-01-06T16:24:38Z
65	2025-01-06T16:11:49Z	irw_meta	v1.0	2024-12-10T17:11:07Z	exact	
66	2025-01-06T16:24:38Z	item_response_warehouse	v19.1	2025-01-06T16:24:38Z	bracketed	2025-01-08T23:22:44Z
66	2025-01-06T16:24:38Z	irw_meta	v1.0	2024-12-10T17:11:07Z	exact	
67	2025-01-08T23:22:44Z	item_response_warehouse	v19.2	2025-01-08T23:22:44Z	bracketed	2025-01-18T16:44:28Z
67	2025-01-08T23:22:44Z	irw_meta	v1.0	2024-12-10T17:11:07Z	exact	
68	2025-01-18T16:44:28Z	item_response_warehouse	v20.0	2025-01-18T16:44:28Z	bracketed	2025-01-23T21:54:38Z
68	2025-01-18T16:44:28Z	irw_meta	v1.0	2024-12-10T17:11:07Z	exact	
69	2025-01-23T21:54:38Z	item_response_warehouse	v20.1	2025-01-23T21:54:38Z	bracketed	2025-01-28T14:55:31Z
69	2025-01-23T21:54:38Z	irw_meta	v1.0	2024-12-10T17:11:07Z	exact	
70	2025-01-28T14:55:31Z	item_response_warehouse	v21.0	2025-01-28T14:55:31Z	bracketed	2025-01-29T17:40:04Z
70	2025-01-28T14:55:31Z	irw_meta	v1.0	2024-12-10T17:11:07Z	exact	
71	2025-01-29T02:16:07Z	item_response_warehouse	v21.0	2025-01-28T14:55:31Z	bracketed	2025-01-29T17:40:04Z
71	2025-01-29T02:16:07Z	irw_meta	v1.1	2025-01-29T02:16:07Z	exact	
72	2025-01-29T17:40:04Z	item_response_warehouse	v21.1	2025-01-29T17:40:04Z	bracketed	2025-02-01T14:57:34Z
72	2025-01-29T17:40:04Z	irw_meta	v1.1	2025-01-29T02:16:07Z	exact	
73	2025-01-29T17:57:33Z	item_response_warehouse	v21.1	2025-01-29T17:40:04Z	bracketed	2025-02-01T14:57:34Z
