n_responses,n_participants,n_items,responses_per_participant,n_categories,table
17307,17307,7,1,17307,asap20train
7291,317,23,23,10,blum_2018_imak_nominal
386760,3223,120,120,5,borges_brazil_residency_2024_cbt
199400,1994,100,100,6,borges_brazil_residency_2024_pbt
882,294,3,3,873,cos101_2026_openended
45000000,1000000,45,45,7,enem_2013_1mil_ch
45000000,1000000,45,45,7,enem_2013_1mil_cn
45000000,1000000,50,45,7,enem_2013_1mil_lc
45000000,1000000,45,45,7,enem_2013_1mil_mt
45000000,1000000,45,45,7,enem_2014_1mil_ch
45000000,1000000,45,45,7,enem_2014_1mil_cn
44995860,999908,50,45,7,enem_2014_1mil_lc
44995904,999909,45,44.999998999909,7,enem_2014_1mil_mt
45000000,1000000,45,45,7,enem_2015_1mil_ch
45000000,1000000,45,45,7,enem_2015_1mil_cn
44995770,999906,50,45,7,enem_2015_1mil_lc
44995815,999907,45,45,7,enem_2015_1mil_mt
45000000,1000000,45,45,7,enem_2016_1mil_ch
44997972,1000000,45,44.997972,7,enem_2016_1mil_cn
45000000,1000000,50,45,7,enem_2016_1mil_lc
44999610,1000000,45,44.99961,7,enem_2016_1mil_mt
44978352,1000000,45,44.978352,7,enem_2017_1mil_ch
44975131,999471,45,44.9989354368461,7,enem_2017_1mil_cn
44979936,1000000,50,44.979936,7,enem_2017_1mil_lc
44976062,999471,45,44.9998669296058,7,enem_2017_1mil_mt
44999858,1000000,45,44.999858,7,enem_2018_1mil_ch
44998580,1000000,45,44.99858,7,enem_2018_1mil_cn
45000000,1000000,50,45,7,enem_2018_1mil_lc
44999330,1000000,45,44.99933,7,enem_2018_1mil_mt
45000000,1000000,45,45,7,enem_2019_1mil_ch
44999716,1000000,45,44.999716,7,enem_2019_1mil_cn
45000000,1000000,50,45,7,enem_2019_1mil_lc
44999858,1000000,45,44.999858,7,enem_2019_1mil_mt
45000000,1000000,45,45,7,enem_2020_1mil_ch
44948147,998883,45,44.9984102242205,7,enem_2020_1mil_cn
45000000,1000000,50,45,7,enem_2020_1mil_lc
44946767,998883,45,44.9970286810367,7,enem_2020_1mil_mt
45000000,1000000,45,45,7,enem_2021_1mil_ch
44991368,999846,45,44.9982977378516,7,enem_2021_1mil_cn
44997422,1000000,50,44.997422,7,enem_2021_1mil_lc
44992641,999846,45,44.9995709339238,7,enem_2021_1mil_mt
45000000,1000000,45,45,7,enem_2022_1mil_ch
44974302,999438,45,44.9995917705751,7,enem_2022_1mil_cn
44998364,1000000,50,44.998364,7,enem_2022_1mil_lc
44973945,999438,45,44.9992345698282,7,enem_2022_1mil_mt
45000000,1000000,45,45,7,enem_2023_1mil_ch
44986496,999722,45,44.9990057235912,7,enem_2023_1mil_cn
44999136,1000000,50,44.999136,7,enem_2023_1mil_lc
44986496,999722,45,44.9990057235912,7,enem_2023_1mil_mt
45000000,1000000,45,45,7,enem_2024_1mil_ch
44995826,999917,45,44.99956096356,7,enem_2024_1mil_cn
45000000,1000000,50,45,7,enem_2024_1mil_lc
44994948,999917,45,44.9986828906799,7,enem_2024_1mil_mt
44141850,980930,45,45,7,enem_2025_1mil_ch
44129859,980793,45,44.9940599086657,7,enem_2025_1mil_cn
44141850,980930,50,45,7,enem_2025_1mil_lc
44124033,980793,45,44.9881198173315,7,enem_2025_1mil_mt
1388,709,2,1.95768688293371,12,goldberg_2018_spa_computer_use
4588,1147,4,4,4,himmelstein-berlin_numeracy-2025
5486,1680,4,3.26547619047619,4,mthimkhulu_2023_pirls_reading_mc
11190,1244,9,8.9951768488746,16,much_tte_2025_concentrationtask
21761,1244,20,17.4927652733119,1004,much_tte_2025_matrixreasoning
15594,15594,15,1,15594,persuade_learningagency
162024,13502,12,12,4,preference_inventory
343876,9295,37,36.9958041958042,40,wilmer-mrmet-normative-data-set-2022
636480,17680,36,36,77,wilmer-rmet-normative-data-set-2022
