table,claimed,cited_was,cited_now,outcome
andrich_mudfold,10.1177/014662168801200105,10.1177/014662168801200104,10.1177/014662168801200105,refetched
enem_2023_1mil_ch,10.46814/lajdv3n5-018,10.46814/lajdv3n5-020,10.46814/lajdv3n5-018,refetched
enem_2023_1mil_cn,10.46814/lajdv3n5-018,10.46814/lajdv3n5-021,10.46814/lajdv3n5-018,refetched
enem_2023_1mil_lc,10.46814/lajdv3n5-018,10.46814/lajdv3n5-019,10.46814/lajdv3n5-018,refetched
enem_2023_1mil_mt,10.46814/lajdv3n5-018,10.46814/lajdv3n5-022,10.46814/lajdv3n5-018,refetched
enem_2024_1mil_ch,10.46814/lajdv3n5-018,10.46814/lajdv3n5-024,10.46814/lajdv3n5-018,refetched
enem_2024_1mil_cn,10.46814/lajdv3n5-018,10.46814/lajdv3n5-025,10.46814/lajdv3n5-018,refetched
enem_2024_1mil_lc,10.46814/lajdv3n5-018,10.46814/lajdv3n5-023,10.46814/lajdv3n5-018,refetched
enem_2024_1mil_mt,10.46814/lajdv3n5-018,10.46814/lajdv3n5-026,10.46814/lajdv3n5-018,refetched
goksel_2026_embarrassment_affectivetrust,10.1037/pspa0000477,10.1037/pspa0000487,10.1037/pspa0000477,refetched
goksel_2026_embarrassment_appeasement,10.1037/pspa0000477,10.1037/pspa0000486,10.1037/pspa0000477,refetched
goksel_2026_embarrassment_emb_perception,10.1037/pspa0000477,10.1037/pspa0000485,10.1037/pspa0000477,refetched
goksel_2026_embarrassment_moralityandwarmth,10.1037/pspa0000477,10.1037/pspa0000484,10.1037/pspa0000477,refetched
goksel_2026_embarrassment_puremorality,10.1037/pspa0000477,10.1037/pspa0000482,10.1037/pspa0000477,refetched
goksel_2026_embarrassment_purewarmth,10.1037/pspa0000477,10.1037/pspa0000483,10.1037/pspa0000477,refetched
goksel_2026_embarrassment_resilience,10.1037/pspa0000477,10.1037/pspa0000480,10.1037/pspa0000477,refetched
goksel_2026_embarrassment_similarity,10.1037/pspa0000477,10.1037/pspa0000489,10.1037/pspa0000477,refetched
goksel_2026_embarrassment_socialcompetence,10.1037/pspa0000477,10.1037/pspa0000479,10.1037/pspa0000477,refetched
goksel_2026_embarrassment_warmth_competence,10.1037/pspa0000477,10.1037/pspa0000481,10.1037/pspa0000477,refetched
goksel_2026_embarrassment_wcm,10.1037/pspa0000477,10.1037/pspa0000478,10.1037/pspa0000477,refetched
hyatt_2023_aggression_cab,10.1002/ab.22088,10.1002/ab.22089,10.1002/ab.22088,refetched
hyatt_2023_aggression_neo,10.1002/ab.22088,10.1002/ab.22090,10.1002/ab.22088,refetched
hyatt_2023_aggression_prelim2_epa,10.1002/ab.22088,10.1002/ab.22091,10.1002/ab.22088,refetched
hyatt_2023_aggression_s3_acme,10.1002/ab.22088,10.1002/ab.22093,10.1002/ab.22088,refetched
hyatt_2023_aggression_s3_bpaq,10.1002/ab.22088,10.1002/ab.22094,10.1002/ab.22088,refetched
hyatt_2023_aggression_s3_cast,10.1002/ab.22088,10.1002/ab.22096,10.1002/ab.22088,refetched
hyatt_2023_aggression_s3_daq,10.1002/ab.22088,10.1002/ab.22095,10.1002/ab.22088,refetched
