table,column,kind,was,now
ALSECYPIAMH_WU_2022_Empathy,Description,conflict,Perce Empathy Scale,empathic concern subscale of the Interpersonal Reactivity Index
ALSECYPIAMH_WU_2022_NEI,Description,conflict,National Eye Institute Questionnaire,Gallup's negative experience index
ALSECYPIAMH_WU_2022_PEI,Description,conflict,Pancreatic Exocrine Insufficiency,Gallup's positive experience index
andrich_mudfold,DOI__for_paper_,conflict,10.1177/014662168801200104,10.1177/014662168801200105
assessment_time_fournier_2025_bscs,Description,conflict,Reducing Assessment Time Without Sacrificing Content Validity in Short-Form Development: An Illustration Through the Revised 20-Item Short Version of the UPPS-P Impulsive Behavior Scale (UPPS-P-20-R),Brief Self-Control Scale
assessment_time_fournier_2025_gad,Description,conflict,Reducing Assessment Time Without Sacrificing Content Validity in Short-Form Development: An Illustration Through the Revised 20-Item Short Version of the UPPS-P Impulsive Behavior Scale (UPPS-P-20-R),Generalised Anxiety Disorder scale (GAD-7)
assessment_time_fournier_2025_phq,Description,conflict,Reducing Assessment Time Without Sacrificing Content Validity in Short-Form Development: An Illustration Through the Revised 20-Item Short Version of the UPPS-P Impulsive Behavior Scale (UPPS-P-20-R),The Patient Health Questionnaire (PHQ-9)
assessment_time_fournier_2025_pmpuq,Description,conflict,Reducing Assessment Time Without Sacrificing Content Validity in Short-Form Development: An Illustration Through the Revised 20-Item Short Version of the UPPS-P Impulsive Behavior Scale (UPPS-P-20-R),15-item short version of the Problematic Mobile Phone Use Questionnaire
assessment_time_fournier_2025_upps,Description,conflict,Reducing Assessment Time Without Sacrificing Content Validity in Short-Form Development: An Illustration Through the Revised 20-Item Short Version of the UPPS-P Impulsive Behavior Scale (UPPS-P-20-R),The revised 20-item short version of the UPPS-P Impulsive Behavior Scale (UPPS-P-20-R)
burgess_2025_soas,Reference_x,conflict,Burgess et al. (2025). The 6-item specific object anthropomorphism scale (SOAS): a new questionnaire for children and adolescents. PeerJ.,David et al. (2025). The 6-item specific object anthropomorphism scale: a new questionnaire for children and adults. PeerJ.
caetano-santos-lsas-2021,Description,conflict,This study examined the psychometric properties of the Measure of Anxiety in Selection Interviews (MASI) in a Portuguese sample.,This study examined the psychometric properties of the Liebowitz Social Anxiety Scale (LSAS) in a Portuguese sample.
ccapsvtskhpacr_mercedes_2023_beck,Description,fill,NA,Beck Depression Inventory(Beck)
ccapsvtskhpacr_mercedes_2023_beck,URL__for_data_,fill,NA,https://osf.io/8t4fp/
ccapsvtskhpacr_mercedes_2023_hada,Description,fill,NA,Hospital Anxiety and Depression Scale(HADA and HADD)
ccapsvtskhpacr_mercedes_2023_hada,URL__for_data_,fill,NA,https://osf.io/8t4fp/
ccapsvtskhpacr_mercedes_2023_physical,Description,fill,NA,Physical Activity: 30 questions on the past physical condition of the participants on a binary scale.
ccapsvtskhpacr_mercedes_2023_physical,URL__for_data_,fill,NA,https://osf.io/8t4fp/
ccapsvtskhpacr_mercedes_2023_sf,Description,fill,NA,Short Form 12 Health Survey Questionnaire(SF12)
ccapsvtskhpacr_mercedes_2023_sf,URL__for_data_,fill,NA,https://osf.io/8t4fp/
ccapsvtskhpacr_mercedes_2023_tsk,Description,fill,NA,Spanish version of The Tampa Scale for Kinesiophobia (TSK)
ccapsvtskhpacr_mercedes_2023_tsk,URL__for_data_,fill,NA,https://osf.io/8t4fp/
