table,DOI__for_paper_,Reference_x,URL__for_data_,Derived_License,Description,BibTex
asap20train,10.1016/j.asw.2025.100954,"Crossley, S. A., Baffour, P., Burleigh, L., & King, J. (2025). A large-scale corpus for assessing source-based writing quality: ASAP 2.0. Assessing Writing, 65, 100954.",https://github.com/scrosseye/ASAP_2.0/blob/main/ASAP_2_Final_github_train.zip,CC BY 4.0,argumentative essays from U.S. secondary students," @article{Crossley_2025, title={A large-scale corpus for assessing source-based writing quality: ASAP 2.0}, volume={65}, ISSN={1075-2935}, url={http://dx.doi.org/10.1016/j.asw.2025.100954}, DOI={10.1016/j.asw.2025.100954}, journal={Assessing Writing}, publisher={Elsevier BV}, author={Crossley, Scott A. and Baffour, Perpetual and Burleigh, L. and King, Jules}, year={2025}, month=jul, pages={100954} }
"
enem_2015_1mil_mt,10.46814/lajdv3n5-018,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,CC BY 4.0,Nominal version of enem_2015_1mil_mt: text is the response option the examinee marked on the mathematics portion of the 2015 Brazilian ENEM. resp is retained as the scored 0/1.,"@article{Martins_2021, title={Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil}, volume={3}, ISSN={2674-9297}, url={http://dx.doi.org/10.46814/lajdv3n5-018}, DOI={10.46814/lajdv3n5-018}, number={5}, journal={Latin American Journal of Development}, publisher={South Florida Publishing LLC}, author={Martins, Dayse Marinho}, year={2021}, month=Sept, pages={2898–2907} }
"
enem_2020_1mil_lc,10.46814/lajdv3n5-018,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,CC BY 4.0,Nominal version of enem_2020_1mil_lc: text is the response option the examinee marked on the language and codes portion of the 2020 Brazilian ENEM. resp is retained as the scored 0/1.,"@article{Martins_2021, title={Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil}, volume={3}, ISSN={2674-9297}, url={http://dx.doi.org/10.46814/lajdv3n5-018}, DOI={10.46814/lajdv3n5-018}, number={5}, journal={Latin American Journal of Development}, publisher={South Florida Publishing LLC}, author={Martins, Dayse Marinho}, year={2021}, month=Sept, pages={2898–2907} }
"
enem_2018_1mil_mt,10.46814/lajdv3n5-018,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,CC BY 4.0,Nominal version of enem_2018_1mil_mt: text is the response option the examinee marked on the mathematics portion of the 2018 Brazilian ENEM. resp is retained as the scored 0/1.,"@article{Martins_2021, title={Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil}, volume={3}, ISSN={2674-9297}, url={http://dx.doi.org/10.46814/lajdv3n5-018}, DOI={10.46814/lajdv3n5-018}, number={5}, journal={Latin American Journal of Development}, publisher={South Florida Publishing LLC}, author={Martins, Dayse Marinho}, year={2021}, month=Sept, pages={2898–2907} }
"
enem_2020_1mil_mt,10.46814/lajdv3n5-018,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,CC BY 4.0,Nominal version of enem_2020_1mil_mt: text is the response option the examinee marked on the mathematics portion of the 2020 Brazilian ENEM. resp is retained as the scored 0/1.,"@article{Martins_2021, title={Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil}, volume={3}, ISSN={2674-9297}, url={http://dx.doi.org/10.46814/lajdv3n5-018}, DOI={10.46814/lajdv3n5-018}, number={5}, journal={Latin American Journal of Development}, publisher={South Florida Publishing LLC}, author={Martins, Dayse Marinho}, year={2021}, month=Sept, pages={2898–2907} }
"
enem_2013_1mil_mt,10.46814/lajdv3n5-018,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,CC BY 4.0,Nominal version of enem_2013_1mil_mt: text is the response option the examinee marked on the mathematics portion of the 2013 Brazilian ENEM. resp is retained as the scored 0/1.,"@article{Martins_2021, title={Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil}, volume={3}, ISSN={2674-9297}, url={http://dx.doi.org/10.46814/lajdv3n5-018}, DOI={10.46814/lajdv3n5-018}, number={5}, journal={Latin American Journal of Development}, publisher={South Florida Publishing LLC}, author={Martins, Dayse Marinho}, year={2021}, month=Sept, pages={2898–2907} }
"
enem_2023_1mil_mt,10.46814/lajdv3n5-018,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,CC BY 4.0,Nominal version of enem_2023_1mil_mt: text is the response option the examinee marked on the mathematics portion of the 2023 Brazilian ENEM. resp is retained as the scored 0/1.,"@article{Martins_2021, title={Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil}, volume={3}, ISSN={2674-9297}, url={http://dx.doi.org/10.46814/lajdv3n5-018}, DOI={10.46814/lajdv3n5-018}, number={5}, journal={Latin American Journal of Development}, publisher={South Florida Publishing LLC}, author={Martins, Dayse Marinho}, year={2021}, month=Sept, pages={2898–2907} }
"
enem_2013_1mil_ch,10.46814/lajdv3n5-018,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,CC BY 4.0,Nominal version of enem_2013_1mil_ch: text is the response option the examinee marked on the humanities portion of the 2013 Brazilian ENEM. resp is retained as the scored 0/1.,"@article{Martins_2021, title={Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil}, volume={3}, ISSN={2674-9297}, url={http://dx.doi.org/10.46814/lajdv3n5-018}, DOI={10.46814/lajdv3n5-018}, number={5}, journal={Latin American Journal of Development}, publisher={South Florida Publishing LLC}, author={Martins, Dayse Marinho}, year={2021}, month=Sept, pages={2898–2907} }
"
enem_2020_1mil_ch,10.46814/lajdv3n5-018,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,CC BY 4.0,Nominal version of enem_2020_1mil_ch: text is the response option the examinee marked on the humanities portion of the 2020 Brazilian ENEM. resp is retained as the scored 0/1.,"@article{Martins_2021, title={Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil}, volume={3}, ISSN={2674-9297}, url={http://dx.doi.org/10.46814/lajdv3n5-018}, DOI={10.46814/lajdv3n5-018}, number={5}, journal={Latin American Journal of Development}, publisher={South Florida Publishing LLC}, author={Martins, Dayse Marinho}, year={2021}, month=Sept, pages={2898–2907} }
"
enem_2021_1mil_cn,10.46814/lajdv3n5-018,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,CC BY 4.0,Nominal version of enem_2021_1mil_cn: text is the response option the examinee marked on the natural sciences portion of the 2021 Brazilian ENEM. resp is retained as the scored 0/1.,"@article{Martins_2021, title={Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil}, volume={3}, ISSN={2674-9297}, url={http://dx.doi.org/10.46814/lajdv3n5-018}, DOI={10.46814/lajdv3n5-018}, number={5}, journal={Latin American Journal of Development}, publisher={South Florida Publishing LLC}, author={Martins, Dayse Marinho}, year={2021}, month=Sept, pages={2898–2907} }
"
