"table" "table.lower" "Description" "URL (for data)" "Reference" "DOI (for paper)" "Original License" "Public Reshare?" "Derived License" "Notes" "Contributor" "Date"
"1" "joreskog_moustaki_2001" "joreskog_moustaki_2001" "Common responses (i.e., Table 3) to political action survey" "https://www.researchgate.net/profile/Ir-Moustaki/publication/255572793_Factor_Analysis_of_Ordinal_Variables_A_Comparison_of_Three_Approaches/links/56993b0508aea14769432fe5/Factor-Analysis-of-Ordinal-Variables-A-Comparison-of-Three-Approaches.pdf" "Jöreskog, K. G., & Moustaki, I. (2001). Factor analysis of ordinal variables: A comparison of three approaches. Multivariate Behavioral Research,, 36(3), 347-387." "10.1207/S15327906347-387" NA "Public" NA "See table 3 (not copyrightable)" "BD" NA
"2" "NARQing" "narqing" "Data from the Narcissistic Admiration and Rivalry Questionnaire (NARQ) along with Rosenberg self-esteem (RSE) and Multigroup Ethnic Identity Measure (MEIM)." "https://osf.io/3g4sw" "Chou, E., Westberg, D. W., Nguyen, P. L., & Syed, M. (2023, October 28). The Structure and Correlates of the Narcissistic Admiration and Rivalry Questionnaire among U.S. Racial/Ethnic Groups. https://doi.org/10.31234/osf.io/w3rxe" "10.31234/osf.io/w3rxe" "CC-By Attribution 4.0 International" "Public" NA NA "BD" "2-2-2024"
"3" "Tests of vocabulary_TSQ" "tests of vocabulary_tsq" NA "https://osf.io/ef3s4/" "Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068." "10.3758/s13428-022-01856-x" NA "Private" NA NA "Annie" "9-25-2024"
"4" "Tests of vocabulary_Vocabulary" "tests of vocabulary_vocabulary" NA "https://osf.io/ef3s4/" "Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068." "10.3758/s13428-022-01856-x" NA "Private" NA NA "Annie" "9-25-2024"
"5" "Tests of vocabulary_AFOQT" "tests of vocabulary_afoqt" NA "https://osf.io/ef3s4/" "Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068." "10.3758/s13428-022-01856-x" NA "Private" NA NA "Annie" "9-25-2024"
"6" "Tests of vocabulary_ART" "tests of vocabulary_art" NA "https://osf.io/ef3s4/" "Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068." "10.3758/s13428-022-01856-x" NA "Private" NA NA "Annie" "9-25-2024"
"7" "Tests of vocabulary_BFI" "tests of vocabulary_bfi" NA "https://osf.io/ef3s4/" "Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068." "10.3758/s13428-022-01856-x" NA "Private" NA NA "Annie" "9-25-2024"
"8" "Tests of vocabulary_GK" "tests of vocabulary_gk" NA "https://osf.io/ef3s4/" "Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068." "10.3758/s13428-022-01856-x" NA "Private" NA NA "Annie" "9-25-2024"
"9" "Tests of vocabulary_IceageQ" "tests of vocabulary_iceageq" NA "https://osf.io/ef3s4/" "Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068." "10.3758/s13428-022-01856-x" NA "Private" NA NA "Annie" "9-25-2024"
"10" "Tests of vocabulary_ND" "tests of vocabulary_nd" NA "https://osf.io/ef3s4/" "Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068." "10.3758/s13428-022-01856-x" NA "Private" NA NA "Annie" "9-25-2024"
"11" "Tests of vocabulary_RF" "tests of vocabulary_rf" NA "https://osf.io/ef3s4/" "Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068." "10.3758/s13428-022-01856-x" NA "Private" NA NA "Annie" "9-25-2024"
"12" "Tests of vocabulary_T" "tests of vocabulary_t" NA "https://osf.io/ef3s4/" "Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068." "10.3758/s13428-022-01856-x" NA "Private" NA NA "Annie" "9-25-2024"
"13" "PVPVESQ_Gasiorowska_2021_study2_AQ" "pvpvesq_gasiorowska_2021_study2_aq" NA "https://osf.io/twzq4/" "Gasiorowska, A., Glomb, K., & Kesebir, P. (2023). Psychometric validation of the polish version of the emotional style questionnaire. Current Psychology, 42(26), 22351-22369." "10.1007/s12144-022-03323-4" NA "Private" NA NA NA NA
"14" "mhscdc_fried_2020_se" "mhscdc_fried_2020_se" NA "https://osf.io/mvdpe/" "Fried, E. I., & Epskamp, S. (2022, May 7). Mental Health and Social Contact During the COVID-19 Pandemic: An Ecological Momentary Assessment Study. https://doi.org/10.17605/OSF.IO/MVDPE" "10.31234/osf.io/36xkp" "CC BY 4.0" "Public" "CC BY 4.0" NA "arthur" "3-8-2025"
"15" "klippel_irw" "klippel_irw" NA NA "Klippel, R. (2025). Gender Perception in Musical Theatre Singing." NA NA NA NA NA NA NA
"16" "singh_2025_identity_study1_irs" "singh_2025_identity_study1_irs" "Assesses perceptions of ethnic-racial identity functioning as a resource, advantage, burden, or stressor" "https://researchbox.org/2404&PEER_REVIEW_passcode=BHMTZT" "Singh KK, Elliot AJ, Handley ED, Jamieson JP (2025) Identity as a resource or a demand. PLoS ONE 20(1): e0318449. https://doi.org/10.1371/journal.pone.0318449" "10.1371/journal.pone.0318449" NA "Public" NA NA "SEC" "5-29-2025"
"17" "singh_2025_identity_study1_cse" "singh_2025_identity_study1_cse" "Evaluates perceptions of social groups as sources of self-worth, social importance, and personal impact" "https://researchbox.org/2404&PEER_REVIEW_passcode=BHMTZT" "Singh KK, Elliot AJ, Handley ED, Jamieson JP (2025) Identity as a resource or a demand. PLoS ONE 20(1): e0318449. https://doi.org/10.1371/journal.pone.0318449" "10.1371/journal.pone.0318449" NA "Public" NA NA "SEC" "5-29-2025"
"18" "singh_2025_identity_study1_grit" "singh_2025_identity_study1_grit" "Measures persistence, perseverance, and dedication towards long-term goals" "https://researchbox.org/2404&PEER_REVIEW_passcode=BHMTZT" "Singh KK, Elliot AJ, Handley ED, Jamieson JP (2025) Identity as a resource or a demand. PLoS ONE 20(1): e0318449. https://doi.org/10.1371/journal.pone.0318449" "10.1371/journal.pone.0318449" NA "Public" NA NA "SEC" "5-29-2025"
"19" "singh_2025_identity_study1_pds" "singh_2025_identity_study1_pds" "Assesses the frequency of being treated with less respect, courtesy, or dignity in daily life" "https://researchbox.org/2404&PEER_REVIEW_passcode=BHMTZT" "Singh KK, Elliot AJ, Handley ED, Jamieson JP (2025) Identity as a resource or a demand. PLoS ONE 20(1): e0318449. https://doi.org/10.1371/journal.pone.0318449" "10.1371/journal.pone.0318449" NA "Public" NA NA "SEC" "5-29-2025"
"20" "singh_2025_identity_study1_pia" "singh_2025_identity_study1_pia" "Measures feelings of nervousness, unease, and tension when interacting with members of other ethnic or racial groups" "https://researchbox.org/2404&PEER_REVIEW_passcode=BHMTZT" "Singh KK, Elliot AJ, Handley ED, Jamieson JP (2025) Identity as a resource or a demand. PLoS ONE 20(1): e0318449. https://doi.org/10.1371/journal.pone.0318449" "10.1371/journal.pone.0318449" NA "Public" NA NA "SEC" "5-29-2025"
"21" "singh_2025_identity_study1_pit" "singh_2025_identity_study1_pit" "Evaluates perceptions of honesty, trustworthiness, and kindness of members from other ethnic or racial groups" "https://researchbox.org/2404&PEER_REVIEW_passcode=BHMTZT" "Singh KK, Elliot AJ, Handley ED, Jamieson JP (2025) Identity as a resource or a demand. PLoS ONE 20(1): e0318449. https://doi.org/10.1371/journal.pone.0318449" "10.1371/journal.pone.0318449" NA "Public" NA NA "SEC" "5-29-2025"
"22" "singh_2025_identity_study1_pba" "singh_2025_identity_study1_pba" "Assesses the extent to which individuals avoid social interactions and relationships with members of other ethnic or racial groups" "https://researchbox.org/2404&PEER_REVIEW_passcode=BHMTZT" "Singh KK, Elliot AJ, Handley ED, Jamieson JP (2025) Identity as a resource or a demand. PLoS ONE 20(1): e0318449. https://doi.org/10.1371/journal.pone.0318449" "10.1371/journal.pone.0318449" NA "Public" NA NA "SEC" "5-29-2025"
"23" "singh_2025_identity_study1_pss" "singh_2025_identity_study1_pss" "Measures the frequency of stress, feelings of control, and ability to manage personal difficulties over the past month" "https://researchbox.org/2404&PEER_REVIEW_passcode=BHMTZT" "Singh KK, Elliot AJ, Handley ED, Jamieson JP (2025) Identity as a resource or a demand. PLoS ONE 20(1): e0318449. https://doi.org/10.1371/journal.pone.0318449" "10.1371/journal.pone.0318449" NA "Public" NA NA "SEC" "5-29-2025"
"24" "singh_2025_identity_study1_gi" "singh_2025_identity_study1_gi" "Assesses feelings of belonging, similarity, and emotional bonds with one's ethnic or racial group" "https://researchbox.org/2404&PEER_REVIEW_passcode=BHMTZT" "Singh KK, Elliot AJ, Handley ED, Jamieson JP (2025) Identity as a resource or a demand. PLoS ONE 20(1): e0318449. https://doi.org/10.1371/journal.pone.0318449" "10.1371/journal.pone.0318449" NA "Public" NA NA "SEC" "5-29-2025"
"25" "singh_2025_identity_study2_irs" "singh_2025_identity_study2_irs" "Assesses perceptions of ethnic-racial identity functioning as a resource, advantage, burden, or stressor" "https://researchbox.org/2404&PEER_REVIEW_passcode=BHMTZT" "Singh KK, Elliot AJ, Handley ED, Jamieson JP (2025) Identity as a resource or a demand. PLoS ONE 20(1): e0318449. https://doi.org/10.1371/journal.pone.0318449" "10.1371/journal.pone.0318449" NA "Public" NA NA "SEC" "5-29-2025"
"26" "singh_2025_identity_study2_cse" "singh_2025_identity_study2_cse" "Evaluates perceptions of social groups as sources of self-worth, social importance, and personal impact" "https://researchbox.org/2404&PEER_REVIEW_passcode=BHMTZT" "Singh KK, Elliot AJ, Handley ED, Jamieson JP (2025) Identity as a resource or a demand. PLoS ONE 20(1): e0318449. https://doi.org/10.1371/journal.pone.0318449" "10.1371/journal.pone.0318449" NA "Public" NA NA "SEC" "5-29-2025"
"27" "singh_2025_identity_study2_grit" "singh_2025_identity_study2_grit" "Measures persistence, perseverance, and dedication towards long-term goals" "https://researchbox.org/2404&PEER_REVIEW_passcode=BHMTZT" "Singh KK, Elliot AJ, Handley ED, Jamieson JP (2025) Identity as a resource or a demand. PLoS ONE 20(1): e0318449. https://doi.org/10.1371/journal.pone.0318449" "10.1371/journal.pone.0318449" NA "Public" NA NA "SEC" "5-29-2025"
"28" "singh_2025_identity_study2_pds" "singh_2025_identity_study2_pds" "Assesses the frequency of being treated with less respect, courtesy, or dignity in daily life" "https://researchbox.org/2404&PEER_REVIEW_passcode=BHMTZT" "Singh KK, Elliot AJ, Handley ED, Jamieson JP (2025) Identity as a resource or a demand. PLoS ONE 20(1): e0318449. https://doi.org/10.1371/journal.pone.0318449" "10.1371/journal.pone.0318449" NA "Public" NA NA "SEC" "5-29-2025"
"29" "singh_2025_identity_study2_pia" "singh_2025_identity_study2_pia" "Measures feelings of nervousness, unease, and tension when interacting with members of other ethnic or racial groups" "https://researchbox.org/2404&PEER_REVIEW_passcode=BHMTZT" "Singh KK, Elliot AJ, Handley ED, Jamieson JP (2025) Identity as a resource or a demand. PLoS ONE 20(1): e0318449. https://doi.org/10.1371/journal.pone.0318449" "10.1371/journal.pone.0318449" NA "Public" NA NA "SEC" "5-29-2025"
"30" "singh_2025_identity_study2_pit" "singh_2025_identity_study2_pit" "Evaluates perceptions of honesty, trustworthiness, and kindness of members from other ethnic or racial groups" "https://researchbox.org/2404&PEER_REVIEW_passcode=BHMTZT" "Singh KK, Elliot AJ, Handley ED, Jamieson JP (2025) Identity as a resource or a demand. PLoS ONE 20(1): e0318449. https://doi.org/10.1371/journal.pone.0318449" "10.1371/journal.pone.0318449" NA "Public" NA NA "SEC" "5-29-2025"
