table,table.lower,Description,URL (for data),Reference,DOI (for paper),DOI (for data),Original License,Custom License (source),Public Reshare?,Derived License,Custom License (derived),Notes,Contributor,Date
mtf,mtf,NA,NA,NA,NA,10.3886/ICPSR38503.v1,NA,NA,Private,Missing (NA),NA,NA,automated,9/6/2026
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI,psr-p_scale_intimacy_hakim_2018_study2_psi,NA,NA,NA,NA,10.7910/DVN/F3KS7M,NA,NA,Public,CC0 1.0,NA,NA,automated,9/6/2026
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR,psr-p_scale_intimacy_hakim_2018_study2_psr,NA,NA,NA,NA,10.7910/DVN/F3KS7M,NA,NA,Public,CC0 1.0,NA,NA,automated,9/6/2026
fryback_2009_health_pwbs,fryback_2009_health_pwbs,NA,NA,NA,NA,10.3886/ICPSR23263.v1,NA,NA,Private,NA,NA,NA,automated,9/6/2026
fryback_2009_health_pwbp,fryback_2009_health_pwbp,NA,NA,NA,NA,10.3886/ICPSR23263.v1,NA,NA,Private,NA,NA,NA,automated,9/6/2026
fryback_2009_health_discrm,fryback_2009_health_discrm,NA,NA,NA,NA,10.3886/ICPSR23263.v1,NA,NA,Private,NA,NA,NA,automated,9/6/2026
fryback_2009_health_sf,fryback_2009_health_sf,NA,NA,NA,NA,10.3886/ICPSR23263.v1,NA,NA,Private,NA,NA,NA,automated,9/6/2026
diaz-narvaez_2024_dental_students,diaz-narvaez_2024_dental_students,NA,NA,NA,NA,10.17605/OSF.IO/ZUPHW,NA,NA,Private,NA,NA,NA,automated,9/6/2026
anthropomorphism_health_Voropaeva_2026,anthropomorphism_health_voropaeva_2026,NA,NA,NA,NA,10.6084/m9.figshare.32287584,NA,NA,Public,CC BY 4.0,NA,NA,automated,9/6/2026
parenting_anunciacao_2025_affect,parenting_anunciacao_2025_affect,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,"The OSF deposit (osf.io/3xvys) carried no licence until the depositor, Luis Anunciacao, set CC BY 4.0 on 2026-09-08 at IRW's request (confirmed via the OSF API, license: CC-By Attribution 4.0 International). Supersedes the interim Permission via Email recorded by apply_osf_permission() in metadata/dict_union.R. irw#2058.",automated,9/10/2026
parenting_anunciacao_2025_goals,parenting_anunciacao_2025_goals,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,"The OSF deposit (osf.io/3xvys) carried no licence until the depositor, Luis Anunciacao, set CC BY 4.0 on 2026-09-08 at IRW's request (confirmed via the OSF API, license: CC-By Attribution 4.0 International). Supersedes the interim Permission via Email recorded by apply_osf_permission() in metadata/dict_union.R. irw#2058.",automated,9/10/2026
parenting_anunciacao_2025_material_rewards,parenting_anunciacao_2025_material_rewards,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,"The OSF deposit (osf.io/3xvys) carried no licence until the depositor, Luis Anunciacao, set CC BY 4.0 on 2026-09-08 at IRW's request (confirmed via the OSF API, license: CC-By Attribution 4.0 International). Supersedes the interim Permission via Email recorded by apply_osf_permission() in metadata/dict_union.R. irw#2058.",automated,9/10/2026
parenting_anunciacao_2025_materialism,parenting_anunciacao_2025_materialism,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,"The OSF deposit (osf.io/3xvys) carried no licence until the depositor, Luis Anunciacao, set CC BY 4.0 on 2026-09-08 at IRW's request (confirmed via the OSF API, license: CC-By Attribution 4.0 International). Supersedes the interim Permission via Email recorded by apply_osf_permission() in metadata/dict_union.R. irw#2058.",automated,9/10/2026
parenting_anunciacao_2025_rejection,parenting_anunciacao_2025_rejection,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,"The OSF deposit (osf.io/3xvys) carried no licence until the depositor, Luis Anunciacao, set CC BY 4.0 on 2026-09-08 at IRW's request (confirmed via the OSF API, license: CC-By Attribution 4.0 International). Supersedes the interim Permission via Email recorded by apply_osf_permission() in metadata/dict_union.R. irw#2058.",automated,9/10/2026
parenting_anunciacao_2025_values,parenting_anunciacao_2025_values,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,"The OSF deposit (osf.io/3xvys) carried no licence until the depositor, Luis Anunciacao, set CC BY 4.0 on 2026-09-08 at IRW's request (confirmed via the OSF API, license: CC-By Attribution 4.0 International). Supersedes the interim Permission via Email recorded by apply_osf_permission() in metadata/dict_union.R. irw#2058.",automated,9/10/2026
eammi_grahe_2018_marriage_timing,eammi_grahe_2018_marriage_timing,NA,NA,NA,NA,NA,CC0 1.0,NA,Public,CC0 1.0,NA,The OSF deposit (osf.io/qtqpb) publishes an explicit licence -- the OSF API reports `CC0 1.0 Universal` -- so the interim `Permission via Email` written by apply_osf_permission() in metadata/dict_union.R no longer applies; that project is removed from OSF_PERMISSION_PROJECTS in the same change. Verified against api.osf.io/v2/nodes/qtqpb/?embed=license on 2026-09-20. irw#2302.,automated,9/20/2026
hachenberger_2025_gonogo,hachenberger_2025_gonogo,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,The OSF deposit (osf.io/rjbx2) publishes an explicit licence -- the OSF API reports `CC-By Attribution 4.0 International` -- so the interim `Permission via Email` written by apply_osf_permission() in metadata/dict_union.R no longer applies; that project is removed from OSF_PERMISSION_PROJECTS in the same change. Verified against api.osf.io/v2/nodes/rjbx2/?embed=license on 2026-09-20. irw#2302.,automated,9/20/2026
hachenberger_2025_gonogo_main,hachenberger_2025_gonogo_main,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,The OSF deposit (osf.io/rjbx2) publishes an explicit licence -- the OSF API reports `CC-By Attribution 4.0 International` -- so the interim `Permission via Email` written by apply_osf_permission() in metadata/dict_union.R no longer applies; that project is removed from OSF_PERMISSION_PROJECTS in the same change. Verified against api.osf.io/v2/nodes/rjbx2/?embed=license on 2026-09-20. irw#2302.,automated,9/20/2026
hachenberger_2025_gonogo_pilot,hachenberger_2025_gonogo_pilot,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,The OSF deposit (osf.io/rjbx2) publishes an explicit licence -- the OSF API reports `CC-By Attribution 4.0 International` -- so the interim `Permission via Email` written by apply_osf_permission() in metadata/dict_union.R no longer applies; that project is removed from OSF_PERMISSION_PROJECTS in the same change. Verified against api.osf.io/v2/nodes/rjbx2/?embed=license on 2026-09-20. irw#2302.,automated,9/20/2026
hachenberger_2025_stroop_bin,hachenberger_2025_stroop_bin,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,The OSF deposit (osf.io/rjbx2) publishes an explicit licence -- the OSF API reports `CC-By Attribution 4.0 International` -- so the interim `Permission via Email` written by apply_osf_permission() in metadata/dict_union.R no longer applies; that project is removed from OSF_PERMISSION_PROJECTS in the same change. Verified against api.osf.io/v2/nodes/rjbx2/?embed=license on 2026-09-20. irw#2302.,automated,9/20/2026
hachenberger_2025_stroop_main_bin,hachenberger_2025_stroop_main_bin,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,The OSF deposit (osf.io/rjbx2) publishes an explicit licence -- the OSF API reports `CC-By Attribution 4.0 International` -- so the interim `Permission via Email` written by apply_osf_permission() in metadata/dict_union.R no longer applies; that project is removed from OSF_PERMISSION_PROJECTS in the same change. Verified against api.osf.io/v2/nodes/rjbx2/?embed=license on 2026-09-20. irw#2302.,automated,9/20/2026
hachenberger_2025_stroop_pilot_bin,hachenberger_2025_stroop_pilot_bin,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,The OSF deposit (osf.io/rjbx2) publishes an explicit licence -- the OSF API reports `CC-By Attribution 4.0 International` -- so the interim `Permission via Email` written by apply_osf_permission() in metadata/dict_union.R no longer applies; that project is removed from OSF_PERMISSION_PROJECTS in the same change. Verified against api.osf.io/v2/nodes/rjbx2/?embed=license on 2026-09-20. irw#2302.,automated,9/20/2026
hachenberger_2025_webexec,hachenberger_2025_webexec,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,The OSF deposit (osf.io/rjbx2) publishes an explicit licence -- the OSF API reports `CC-By Attribution 4.0 International` -- so the interim `Permission via Email` written by apply_osf_permission() in metadata/dict_union.R no longer applies; that project is removed from OSF_PERMISSION_PROJECTS in the same change. Verified against api.osf.io/v2/nodes/rjbx2/?embed=license on 2026-09-20. irw#2302.,automated,9/20/2026
hachenberger_2025_webexec_main,hachenberger_2025_webexec_main,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,The OSF deposit (osf.io/rjbx2) publishes an explicit licence -- the OSF API reports `CC-By Attribution 4.0 International` -- so the interim `Permission via Email` written by apply_osf_permission() in metadata/dict_union.R no longer applies; that project is removed from OSF_PERMISSION_PROJECTS in the same change. Verified against api.osf.io/v2/nodes/rjbx2/?embed=license on 2026-09-20. irw#2302.,automated,9/20/2026
hachenberger_2025_webexec_pilot,hachenberger_2025_webexec_pilot,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,The OSF deposit (osf.io/rjbx2) publishes an explicit licence -- the OSF API reports `CC-By Attribution 4.0 International` -- so the interim `Permission via Email` written by apply_osf_permission() in metadata/dict_union.R no longer applies; that project is removed from OSF_PERMISSION_PROJECTS in the same change. Verified against api.osf.io/v2/nodes/rjbx2/?embed=license on 2026-09-20. irw#2302.,automated,9/20/2026
thirdpartypunishmentunfairsharing_mcauliffe_2025_canada,thirdpartypunishmentunfairsharing_mcauliffe_2025_canada,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,The OSF deposit (osf.io/6nm2s) publishes an explicit licence -- the OSF API reports `CC-By Attribution 4.0 International` -- so the interim `Permission via Email` written by apply_osf_permission() in metadata/dict_union.R no longer applies; that project is removed from OSF_PERMISSION_PROJECTS in the same change. Verified against api.osf.io/v2/nodes/6nm2s/?embed=license on 2026-09-20. irw#2302.,automated,9/20/2026
thirdpartypunishmentunfairsharing_mcauliffe_2025_india,thirdpartypunishmentunfairsharing_mcauliffe_2025_india,NA,NA,NA,NA,NA,CC BY 4.0,NA,Public,CC BY 4.0,NA,The OSF deposit (osf.io/6nm2s) publishes an explicit licence -- the OSF API reports `CC-By Attribution 4.0 International` -- so the interim `Permission via Email` written by apply_osf_permission() in metadata/dict_union.R no longer applies; that project is removed from OSF_PERMISSION_PROJECTS in the same change. Verified against api.osf.io/v2/nodes/6nm2s/?embed=license on 2026-09-20. irw#2302.,automated,9/20/2026
