table,note
imos_1997,"Clean pass, with caveats. (1) resp 0-7 is the jury's mark out of 7 for a written proof, not a selected response; option_text is blank for all 48 rows and was deliberately not padded with the mark values. metadata/tags.csv tags item format as 'Likert Scale/selected response' for all imos_* rows, which is wrong for this table (same metadata defect reported for imos_1987/imos_1988 in batch_049 and again in batch_050; still owed a tags.csv fix outside this round)."
imos_1997,"(2) Option rows are emitted for all 8 marks 0-7 for every problem because that is the official per-problem mark range. No contestant scored 6 on problem2, so that one option row exceeds the observed levels; a per-item coverage WARN on problem2/resp=6 is expected and is not a defect. All other 47 cells are occupied."
imos_1997,"(3) Unlike the 1996 paper, the official 1997 PDF numbers all six problems explicitly (Day I 1-3, Day II 4-6), so the statement-to-code tie for problems 4-6 does not rest on the IMO day convention -- it is printed. It is corroborated anyway cell for cell against the official results table's P4-P6 columns."
imos_1997,"(4) Typeset mathematics is rendered in plain text (S_1, S_2, x_1 . . . x_n, (n + 1)/2, n x n, 2n - 1, a^(b^2) = b^a, 2^(n^2/4) < f(2^n) < 2^(n^2/2), <=, >=), and LaTeX math spacing is closed up ('f (m, n)' -> 'f(m, n)', 'T B + T C' -> 'TB + TC'). Two stacked fractions that pdftotext flattens were restored to the printed value: problem 1(b) extracts as '21 max{m, n}' and is (1/2) max{m, n}; problem 3 extracts as 'n+1 2' and is (n + 1)/2. Anyone re-extracting from the plain text alone will see the flattened forms and should not read them as a discrepancy. A reader wanting the typeset original should use https://www.imo-official.org/assets/documents/problems/1997/1997_eng.pdf."
imos_1997,"(5) instructions is blank: the official PDF publishes no participant instructions or rubric, only the two day headers, which are recorded as section_prompt on section_ids imos_1997_day1 (problems 1-3) and imos_1997_day2 (problems 4-6). The 1997 headers carry a date but no time limit, unlike 1996's."
imos_1997,"(6) The IMO paper is sat in each contestant's own language (460 contestants in 1997); the shipped item_text is the organisers' official English version, i.e. the canonical instrument rather than any one administered wording. language and the _translated columns are deliberately omitted rather than claiming a single administered language. Carried as the public_note."
imos_1997,"(7) Rights: checked https://www.imo-official.org/problems.aspx on 2026-09-07 -- the strings copyright, licence/license, commercial and redistribut appear nowhere on the problem archive page, and the PDF itself carries no notice. Nothing quotable, so silence-is-permission applies (same finding as imos_1987/imos_1988 in batch_049 and the six batch_050 tables)."
imos_1999,"Clean pass, with caveats. (1) resp 0-7 is the jury's mark out of 7 for a written proof, not a selected response; option_text is blank (NA) for all 48 rows and the unlabelled score points were deliberately not padded with their own numbers. All 48 item x mark cells are populated in the live data (smallest cell = 3, problem3/resp=5), so option-row coverage is exact and no per-item coverage WARN is expected."
imos_1999,"(2) Unlike the 1996 paper, the official IMO 1999 English paper numbers its Day II problems 4, 5 and 6 outright rather than restarting at 1, so the statement-to-code tie is printed directly for all six problems -- the Day I/Day II convention was not needed as an inference here. Corroborated cell for cell against the official results table's P1-P6 columns (48/48, 450 contestants)."
imos_1999,"(3) Typeset mathematics is rendered in plain-text/LaTeX-style notation (n >= 2, sum_{1<=i<j<=n}, x_i^2, (sum_{1<=i<=n} x_i)^4, n x n, n^2, (p - 1)^n, n^{p-1}, G_1, G_2, f : R --> R). pdftotext flattens the superscripts in problems 2, 3 and 4 (it emits 'x2i', 'n2', 'np-1'); these were restored to the printed exponents visible in the rendered PDF, so anyone re-extracting from the plain text alone will see a difference that is not a discrepancy. The paper's centred-dot ellipsis in problem 2 is written '. . .'. A reader wanting the typeset original should use https://www.imo-official.org/assets/documents/problems/1999/1999_eng.pdf."
