"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km1_glucose","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"A glucose machine must be available at home",NA,"Yes",1
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km1_glucose","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"A glucose machine must be available at home",NA,"No",2
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km1_glucose","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"A glucose machine must be available at home",NA,"Don’t know",3
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km2_test","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know how to test for your sugar level at home",NA,"Yes",1
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km2_test","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know how to test for your sugar level at home",NA,"No",2
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km2_test","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know how to test for your sugar level at home",NA,"Don’t know",3
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km3_ideal","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know your ideal sugar level",NA,"Yes",1
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km3_ideal","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know your ideal sugar level",NA,"No",2
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km3_ideal","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know your ideal sugar level",NA,"Don’t know",3
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km4_morning","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know blood sugar must be checked early morning before breakfast",NA,"Yes",1
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km4_morning","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know blood sugar must be checked early morning before breakfast",NA,"No",2
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km4_morning","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know blood sugar must be checked early morning before breakfast",NA,"Don’t know",3
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km5_exercise","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know blood sugar must be checked before and after physical exercise",NA,"Yes",1
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km5_exercise","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know blood sugar must be checked before and after physical exercise",NA,"No",2
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km5_exercise","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know blood sugar must be checked before and after physical exercise",NA,"Don’t know",3
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km6_signs","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know excessive sweating, shaking, behavioural changes and confusion are signs of hypoglycaemia",NA,"Yes",1
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km6_signs","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know excessive sweating, shaking, behavioural changes and confusion are signs of hypoglycaemia",NA,"No",2
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km6_signs","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know excessive sweating, shaking, behavioural changes and confusion are signs of hypoglycaemia",NA,"Don’t know",3
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km7_deal","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know how to deal with sweating, shaking, and confusion",NA,"Yes",1
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km7_deal","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know how to deal with sweating, shaking, and confusion",NA,"No",2
"afaya_2020_monitoring_knowledge","afaya_2020_monitoring_knowledge_1","km7_deal","Afaya et al. (2020) diabetes knowledge questionnaire - Knowledge on Self Blood Glucose Monitoring subscale","English; Dagbani",NA,NA,"Do you know how to deal with sweating, shaking, and confusion",NA,"Don’t know",3
