"table","mapping_basis","text_source","source_ref","note","public_note","uploaded"
"artistic_preferences","data_labels","study_materials","https://openpsychometrics.org/_rawdata/APS_data.zip (codebook.txt); https://openpsychometrics.org/tests/APS/","Item text for items 31-56 transcribed verbatim from the APS_data codebook (TIPI1-10 stems and 7 anchor labels; VCL1-16 words and the check-list instruction). Items 1-30 are painting-pair stimuli with no verbal stem, so item_text is blank and only resp 1/5 carry the codebook's anchors ('strong preference for option A'/'...option B'); resp 2-4 left blank rather than padded. Section prompt for items 1-30 is the test page's Procedure sentence. IRW item codes are POSITIONAL (data/artistic_preferences.R assigns row_number() over the retained columns); the column selection was reproduced from the raw data.csv and all 56 positions matched.","Items 1-30 are image-pair items from the Artistic Preferences Scales (choose which of two paintings you prefer and by how much) and have no text stem; the paintings are distributed with the source dataset. Items 31-40 are the Ten Item Personality Inventory and items 41-56 a 16-word vocabulary check list administered in the same session.","2026-08-18"
"arzamoncunill_2023_epq_clinical","paper_explicit","study_materials","PeerJ 10.7717/peerj.16246 Appendix S3 (administered Spanish questionnaire), S5 (item-number to descriptor map), S1 (pretest reformulations, both languages), S2 (retained-item factor tables)","Administered-language backfill under irw#1777. The table holds all 22 clinical-care items of the 43-item pretest pool; only the 12 that survived into the final questionnaire have published Spanish wording, so 12 items now carry their administered Spanish in item_text and 10 keep the English category descriptor with an empty item_text_translated. The Spanish-to-E-code tie rests on S5 mapping each pool item NUMBER to its English descriptor and each S3 Spanish item matching exactly one of those descriptors by content; the resulting set of 12 codes (E14,E15,E16,E17,E18,E22,E23,E24,E25,E26,E31,E32) is exactly the 12 clinical-care items S2's factor tables list as retained, which is an independent check of the set. Two of the twelve (E14, E31) are corroborated outright by S1, which prints pre-pretest and final wording side by side in both languages, and those two English strings are the authors' own. The other ten English translations are mine, not the authors'. instructions is now the Spanish stem verbatim from S3 with the authors' English from S1 alongside. The 7-point anchors are published in English only ('very much disagree' to 'very much agree'), so option_text is unchanged with an empty option_text_translated.","Item text for the 12 items retained in the final questionnaire is now the administered Spanish from Appendix S3, with English alongside; the study published wording for those 12 only, so the other 10 items still carry the English category descriptor from Appendix S5 rather than any administered wording. Ten of the twelve English translations were produced by IRW, not by the study's authors.","2026-09-01"
"atmadjaja_2026_pos","unknown","unknown","https://doi.org/10.6084/m9.figshare.32747610.v1","BLOCKED, no CSV written. Source xlsx ('Master Data Paper.xlsx', single sheet) has only bare headers No./Name/CQ1-4/POS1-4/EWE1-4/ITS1-4 -- opened and inspected, no second sheet, no codebook, no labels. Figshare record has empty references and related_materials; no companion publication found by title or author search. Neither item wording nor the response-anchor labels are recoverable.","",""
"audretsch_2021_entrepreneurial_ecosystems","data_labels","study_materials","PLOS ONE 10.1371/journal.pone.0247609; S2 File (.dta) variable labels + S3 File do-file 'label variable' statements; scale anchors from article sections 4.2-4.3","IRW item codes ARE the source .dta column names (data/audretsch_2021_entrepreneurial_ecosystems.py ITEM_COLS), so no mapping step. .dta labels are truncated at Stata's 80-char cap; full text taken from the do-file's label variable commands. Labels transcribed verbatim including an unclosed parenthesis in political_eship and non-standard grammar elsewhere.","The paper quotes a different wording for the ee_quality item than the study's own data file label; the data file label is what is shipped here. Only the endpoints of the 1-7 scale (1 = very weak, 7 = very strong) are documented, so the intermediate options are blank.","2026-08-18"
"autonomysupport_mokken","data_labels","study_materials","CRAN package mokken 3.1.2, man/autonomySupport.Rd item table (Short/Content) and details; data/mokken.R uses colnames(autonomySupport) verbatim as item codes","Item codes are the dataset's own column names and the package documentation tables Short-name -> item content directly, so the tie is at the source. Response anchors (1 = not at all/never, 5 = certainly/always) from the same Rd details section.","Item 'Decide' is reverse-worded in the original questionnaire; the IRW responses are the raw, unreversed scores.","2026-08-18"
"avilesgonzalez2019_ces","data_labels","study_materials","PLOS ONE 10.1371/journal.pone.0217106; S2 File pone.0217106.s002.sav SPSS variable labels and value labels (figshare file 15243404)","IRW item codes ARE the .sav column names (data/avilesgonzalez2019_ces.py CES_ITEM_COLS). Item text = SPSS variable labels with the leading item number stripped; source typos retained verbatim. option_text = the .sav's own value labels, which are stored in upper case and were rendered in sentence case.","Item text comes from the study's SPSS file, which stores the English Caring Efficacy Scale wording (with several typographical errors preserved here) even though the respondents were Italian nurses.","2026-08-18"
"baaziz_2023_sms2","paper_explicit","study_materials","PLOS ONE 10.1371/journal.pone.0295262 Table 7 (article XML, not OCR)","Administered-language backfill under irw#1777. Table 7 prints all 18 SMS-II items in Arabic, each numbered 1-18 with the authors' own English underneath, so item_text is now the administered Arabic and item_text_translated the paper's English -- the same source row, so no new mapping inference over the 2026-08-18 extraction. Arabic taken verbatim from the article XML (741 Arabic characters present in the marked-up table), not transcribed from the table image. The English strings are carried over unchanged from the published curation rather than re-copied from the XML, so the only content difference from the live table is the added Arabic; the two differ solely in apostrophe glyph. The paper states the 1-7 anchors only in English ('Not at all true' to 'Very true') and prints no Arabic anchors anywhere in the article or its three .xlsx supplements, so option_text keeps the English with an empty option_text_translated.","Item text is the administered Arabic from the paper's Table 7, with the authors' own English alongside; the 1-7 scale anchors are recorded in English only, because the paper never prints them in Arabic.","2026-09-01"
"baka2023_bpnsf","data_labels","study_materials","figshare 10.6084/m9.figshare.21988799 (Baza repozytorium Baka.Prusik.sav) SPSS variable labels; response anchors from the same file's value labels","One .sav serves all four baka2023_* tables (olbi, bpnsf, uwes, jcs). IRW item codes BPNSF_1..BPNSF_24 ARE the source column names with the wave prefix f2/f3 stripped by data/baka2023_jobcrafting.py; no positional assignment. Item text = SPSS variable labels verbatim (Polish, source typos such as 'w prazy' in BPNSF_7 retained). DEVIATION: the .sav's value labels for every BPNSF variable read 1='Strongly agree' .. 7='Strongly disagree', which is contradicted by the data - satisfaction items (1,3,4,7,9,12,13,14,16,19,21,24) correlate +0.28..+0.40 with the UWES mean (whose own 0-6 Never..Always labels are unambiguous) while frustration items correlate -0.02..-0.22, so a high number means agreement. The anchors are therefore shipped in the corrected ascending direction (1 = Strongly disagree, 4 = Neutral, 7 = Strongly agree). Scale points 2,3,5,6 are labelled only with their own digit in the file and are left blank. The sibling OLBI table's descending labels are genuine (all 8 OLBI items, including positively-worded ones, correlate negatively with UWES), so this is specific to BPNSF. No instructions text in the .sav, left blank.","The study's data file labels the BPNSF response scale as 1 = Strongly agree to 7 = Strongly disagree, but the responses themselves run the other way (need-satisfaction items rise with work engagement), so the anchors here are given in the corrected direction: 1 = Strongly disagree, 7 = Strongly agree.","2026-08-18"
"baka2023_jcs","data_labels","study_materials","figshare 10.6084/m9.figshare.21988799 (Baza repozytorium Baka.Prusik.sav) SPSS variable + value labels","Same .sav as the other three baka2023_* tables. IRW item codes JCS_1..JCS_21 ARE the source column names with the wave prefix stripped (data/baka2023_jobcrafting.py); no positional assignment. Item text = SPSS variable labels verbatim (Polish, including the stray space before the full stop in JCS_3 and before the comma in JCS_19, as stored). option_text = the file's own value labels, 1=Never .. 5=Very often (wave-1 and wave-3 variables carry the English labels, the wave-2 variables the identical Polish set Nigdy..Bardzo często; the English set is shipped). All 21 items use all 5 levels in the live data. No instructions text in the .sav, left blank.","Item stems are in Polish as administered, but the response anchors carried by the study's data file are English glosses rather than the Polish wording participants saw.","2026-08-18"
"baka2023_olbi","data_labels","study_materials","figshare 10.6084/m9.figshare.21988799 (Baza repozytorium Baka.Prusik.sav) SPSS variable + value labels","IRW item codes OLBI_1..OLBI_8 ARE the source .sav column names (wave prefix f2/f3 stripped by data/baka2023_jobcrafting.py); no positional assignment. Item text = SPSS variable labels verbatim (Polish); option text = SPSS value labels verbatim (English, 1=Completely agree .. 4=Completely disagree). No instructions text exists in the .sav, left blank rather than invented.","Item stems are in Polish as administered, but the response anchors carried by the study's data file are English glosses rather than the Polish wording participants saw.","2026-08-18"
"baka2023_uwes","data_labels","study_materials","figshare 10.6084/m9.figshare.21988799 (Baza repozytorium Baka.Prusik.sav) SPSS variable + value labels","IRW item codes UWES_1..UWES_17 ARE the source .sav column names (wave prefix stripped); no positional assignment. Item text = SPSS variable labels verbatim (Polish UWES-17); option text = SPSS value labels verbatim, 0=Never .. 6=Always, matching the published UWES 0-6 scale and the live resp range 0-6. UWES_10's label had a leading space which was stripped; no other edits. No instructions text in the .sav, left blank.","Item stems are in Polish as administered, but the response anchors carried by the study's data file are English glosses rather than the Polish wording participants saw.","2026-08-18"
"bakker_2020_pss10","data_labels","study_materials","PLOS ONE 10.1371/journal.pone.0227958 S4 supporting-information .sav; SPSS variable + value labels","IRW item codes (upset201 .. difficulties210) ARE the source .sav column names, self-describing; data/bakker_2020_pss_rses.py melts them by name with MAP_PSS Never=0..Very Often=4, identical to the .sav's own value labels. All 10 live items are the standard PSS-10. Deviation from literal transcription: the shared stem repeated in every variable label was moved once into `instructions` and item_text holds the item-specific remainder.","","2026-08-18"
