"table","note"
"artistic_preferences","Clean pass with caveats. (1) The live table pools THREE instruments, not one: items 1-30 are the Artistic Preferences Scales 1.2 painting-pair items (RA1-8, LP1-8, MF1-8, V1-6 in file order), items 31-40 are the Ten Item Personality Inventory, items 41-56 are the 16-word vocabulary check list (VCL) -- the table name describes only the first 30. Consider correcting the dictionary Description. (2) item_text is blank for items 1-30 by design: an APS item is a pair of paintings (images/<scale>/<n>A.jpg vs <n>B.jpg in the openpsychometrics APS_data archive) with no verbal stem; only resp 1 and 5 carry anchors, so option_text for 2-4 is blank. (3) Bare-integer item codes assigned positionally by data/artistic_preferences.R; verified by exact reproduction of the column selection and per-item mean match on all 56 items. | AUDIT WARN EXPLAINED (orchestrator, 2026-08-17): 59.5% blank item_text is expected -- items 1-30 are painting-PAIR stimuli with no verbal stem (the images ship in the archive), the same no-stem case as a forced-choice instrument. Blank option_text likewise: only resp 1 and 5 carry anchors. NEEDS A HUMAN DECISION: whether shipping 30 of 56 items with no stem text is acceptable."
"atmadjaja_2026_pos","BLOCKED - no CSV written. The figshare source (10.6084/m9.figshare.32747610) contains only the response matrix with bare column headers CQ1-4/POS1-4/EWE1-4/ITS1-4; no codebook, no item wording, no value labels, and figshare lists no references or related materials. No published companion paper could be located (web search on title and all three author names returned nothing). Item text and the 5-point anchor labels are both unrecoverable from any source found."
"arzamoncunill_2023_epq_clinical","Pass with a real caveat: item_text values are the short 'Category of coded statement' descriptors that supplement peerj-11-16246-s005.docx gives for each item number, NOT the literal administered stems. The study published full item wording (in Spanish, appendix S3) only for the 26 items retained in the final questionnaire, whereas the live table holds all 22 clinical-care items of the 43-item pretest pool, so 10 of the 22 have no published stem in any language."
"audretsch_2021_entrepreneurial_ecosystems","Clean pass with caveats: item text taken verbatim from the study's own Stata do-file (S3) variable labels, which are the untruncated form of the .dta's 80-char-capped labels. The paper's section 4.2 quotes a DIFFERENT wording for ee_quality ('There is a strong focus on growth-oriented and productive entrepreneurship activity in my region (city)') than the data label ('There is a strong entrepreneurship ecosystem (EE) in my region (city)'); the data label was shipped. Some labels are ungrammatical or unclosed in the source (political_eship ends mid-sentence with an unclosed parenthesis; informal_networking and formal_networking read 'There is a sufficient formal/informal networks') and were transcribed as-is. Response anchors 1='very weak' / 7='very strong' come from the paper; midpoints 2-6 are unlabeled in every source and left blank. | AUDIT WARN EXPLAINED (orchestrator, 2026-08-17): row-count anomaly on eship_skills is MISSINGNESS, not item-code conflation -- it has 1,189 rows against a median of 1,822 but carries the full 1-7 resp range, i.e. fewer respondents answered it. corruption (1,414) is similarly light. The 71% blank option_text is by design: only the 1/7 anchors are documented, 2-6 correctly left blank."
"autonomysupport_mokken","Clean pass with caveat: item 'Decide' is documented as inversely coded in mokken's autonomySupport.Rd; the live IRW data are the raw (unreversed) scores, and the '(inversely coded)' annotation was kept out of item_text. Item 'Choose' has only resp 1-4 in the data (no respondent used 5), so it carries 4 option rows by design. Only the two extreme anchors are documented (1='not at all/never', 5='certainly/always'); 2-4 left blank. Items are an English translation/description of a Dutch questionnaire as documented in the package."
"avilesgonzalez2019_ces","Clean pass with caveats: item text from the SPSS variable labels of the study's own S2 .sav. Leading item numbers ('1 ', '3.', '24. ') were stripped; source typos were NOT corrected and remain verbatim (e.g. 'uneasy' label is missing its opening 'If'; 'culture' reads 'Ioften'; 'touch' reads “my clients’ patients”; lowercase 'i' in several items). Value labels are stored uppercase in the .sav (VERY DISAGREE ...) and were rendered in sentence case. Labels are the English CES wording although the sample is Italian nurses who presumably answered an Italian form."
"baaziz_2023_sms2","Item text is the paper's English back-translation (Table 7); the administered language was Arabic and the Arabic wording is printed in the same table but not shipped. Only the 1/7 endpoints of the 7-point scale are documented; 2-6 blank. Paper's Table 2 item means run ~0.6 higher than the live data for items 16-18 (4.86/4.79/4.86 vs 4.18/4.17/4.25) while items 1-15 agree within 0.10 - unexplained, though the rank order within every subscale block matches. Item 16's printed wording is external-regulation content sitting in the amotivation block (see public_note)."
"baka2023_bpnsf","Response anchors were shipped REVERSED relative to the .sav's own value labels, on data evidence (see provenance note). A human should sanity-check that call before upload. Item text is Polish with source typos retained ('w prazy', doubled spaces in 'pewny/ a', 'związany/ a')."
"baka2023_jcs","Clean pass; the only caveat is that Polish item stems carry English response anchors from the file's own value labels."
"baka2023_olbi","Only 8 OLBI items are present in the study .sav (the published OLBI has 16); the 8 administered items are transcribed as labelled. Item text is Polish while the .sav's own value labels (response anchors) are English glosses, not the Polish anchors participants saw."
"baka2023_uwes","Item text is Polish (UWES-17 Polish version, 0-6 Never..Always as in the published UWES) while the .sav's value labels (response anchors) are English glosses, not the Polish anchors participants saw. UWES_10's variable label had a leading space, stripped."
"bakker_2020_pss10","The .sav variable labels repeat the shared stem 'In the last month, how often have you been/felt:' on every item; it was recorded once in `instructions` and the item-specific remainder in `item_text` rather than duplicated 10 times. Items 4/5/7/8 (confident204, goingyourway205, controlirritations207, ontop208) are stored raw/unreversed in the live data, so the same 0-4 Never..Very Often anchors apply to every item."
