"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","item_text_translated","option_text_translated"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_1","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Daily newspapers",NA,"Regelmäßig",1,NA,NA,"Regularly"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_1","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Daily newspapers",NA,"Häufig",2,NA,NA,"Frequently"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_1","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Daily newspapers",NA,"Gelegentlich",3,NA,NA,"Occasionally"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_1","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Daily newspapers",NA,"Selten",4,NA,NA,"Rarely"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_1","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Daily newspapers",NA,"Nie",5,NA,NA,"Never"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_2","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Weekly or trade magazines",NA,"Regelmäßig",1,NA,NA,"Regularly"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_2","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Weekly or trade magazines",NA,"Häufig",2,NA,NA,"Frequently"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_2","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Weekly or trade magazines",NA,"Gelegentlich",3,NA,NA,"Occasionally"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_2","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Weekly or trade magazines",NA,"Selten",4,NA,NA,"Rarely"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_2","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Weekly or trade magazines",NA,"Nie",5,NA,NA,"Never"
