"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","resp","option_text"
"gpt4mcq_young_2025","gpt4mcq_young_2025_1","AIQ1","ChatGPT-4-generated multiple-choice quiz on the reading 'Love, Friendship, and Social Support'","The quiz is about to begin.  It will ask you several multiple choice questions about the reading you just completed. 

Please try to earn the highest score you can by reading each question and response option carefully.",NA,"Which factor is NOT listed as influencing attraction between people according to psychological research?",1,1,"Financial status"
"gpt4mcq_young_2025","gpt4mcq_young_2025_1","AIQ1","ChatGPT-4-generated multiple-choice quiz on the reading 'Love, Friendship, and Social Support'","The quiz is about to begin.  It will ask you several multiple choice questions about the reading you just completed. 

Please try to earn the highest score you can by reading each question and response option carefully.",NA,"Which factor is NOT listed as influencing attraction between people according to psychological research?",1,2,"Similarity"
"gpt4mcq_young_2025","gpt4mcq_young_2025_1","AIQ1","ChatGPT-4-generated multiple-choice quiz on the reading 'Love, Friendship, and Social Support'","The quiz is about to begin.  It will ask you several multiple choice questions about the reading you just completed. 

Please try to earn the highest score you can by reading each question and response option carefully.",NA,"Which factor is NOT listed as influencing attraction between people according to psychological research?",1,3,"Proximity"
"gpt4mcq_young_2025","gpt4mcq_young_2025_1","AIQ1","ChatGPT-4-generated multiple-choice quiz on the reading 'Love, Friendship, and Social Support'","The quiz is about to begin.  It will ask you several multiple choice questions about the reading you just completed. 

Please try to earn the highest score you can by reading each question and response option carefully.",NA,"Which factor is NOT listed as influencing attraction between people according to psychological research?",1,4,"Reciprocity"
"gpt4mcq_young_2025","gpt4mcq_young_2025_1","AIQ2","ChatGPT-4-generated multiple-choice quiz on the reading 'Love, Friendship, and Social Support'","The quiz is about to begin.  It will ask you several multiple choice questions about the reading you just completed. 

Please try to earn the highest score you can by reading each question and response option carefully.",NA,"According to Durkheim, what is a crucial factor for personal well-being and potentially preventing suicide?",1,1,"Being socially connected"
"gpt4mcq_young_2025","gpt4mcq_young_2025_1","AIQ2","ChatGPT-4-generated multiple-choice quiz on the reading 'Love, Friendship, and Social Support'","The quiz is about to begin.  It will ask you several multiple choice questions about the reading you just completed. 

Please try to earn the highest score you can by reading each question and response option carefully.",NA,"According to Durkheim, what is a crucial factor for personal well-being and potentially preventing suicide?",1,2,"Physical health"
"gpt4mcq_young_2025","gpt4mcq_young_2025_1","AIQ2","ChatGPT-4-generated multiple-choice quiz on the reading 'Love, Friendship, and Social Support'","The quiz is about to begin.  It will ask you several multiple choice questions about the reading you just completed. 

Please try to earn the highest score you can by reading each question and response option carefully.",NA,"According to Durkheim, what is a crucial factor for personal well-being and potentially preventing suicide?",1,3,"Economic stability"
"gpt4mcq_young_2025","gpt4mcq_young_2025_1","AIQ2","ChatGPT-4-generated multiple-choice quiz on the reading 'Love, Friendship, and Social Support'","The quiz is about to begin.  It will ask you several multiple choice questions about the reading you just completed. 

Please try to earn the highest score you can by reading each question and response option carefully.",NA,"According to Durkheim, what is a crucial factor for personal well-being and potentially preventing suicide?",1,4,"Educational attainment"
"gpt4mcq_young_2025","gpt4mcq_young_2025_1","AIQ3","ChatGPT-4-generated multiple-choice quiz on the reading 'Love, Friendship, and Social Support'","The quiz is about to begin.  It will ask you several multiple choice questions about the reading you just completed. 

Please try to earn the highest score you can by reading each question and response option carefully.",NA,"How does the Internet and social media influence the development of relationships, according to the chapter?",1,1,"By providing a virtual space where people can meet and develop deep connections"
"gpt4mcq_young_2025","gpt4mcq_young_2025_1","AIQ3","ChatGPT-4-generated multiple-choice quiz on the reading 'Love, Friendship, and Social Support'","The quiz is about to begin.  It will ask you several multiple choice questions about the reading you just completed. 

Please try to earn the highest score you can by reading each question and response option carefully.",NA,"How does the Internet and social media influence the development of relationships, according to the chapter?",1,2,"By decreasing the overall quality of relationships due to lack of physical presence"
"gpt4mcq_young_2025","gpt4mcq_young_2025_1","AIQ3","ChatGPT-4-generated multiple-choice quiz on the reading 'Love, Friendship, and Social Support'","The quiz is about to begin.  It will ask you several multiple choice questions about the reading you just completed. 

Please try to earn the highest score you can by reading each question and response option carefully.",NA,"How does the Internet and social media influence the development of relationships, according to the chapter?",1,3,"By limiting the number of people one can interact with at a time"
"gpt4mcq_young_2025","gpt4mcq_young_2025_1","AIQ3","ChatGPT-4-generated multiple-choice quiz on the reading 'Love, Friendship, and Social Support'","The quiz is about to begin.  It will ask you several multiple choice questions about the reading you just completed. 

Please try to earn the highest score you can by reading each question and response option carefully.",NA,"How does the Internet and social media influence the development of relationships, according to the chapter?",1,4,"By increasing the likelihood of engaging in superficial relationships"
