"table","instrument","language","instructions","instructions_translated","section_id","section_prompt","section_prompt_translated","item","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd1","loss of interest",NA,NA,0,"very rarely or less than once per day",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd1","loss of interest",NA,NA,1,"sometimes or 1-2 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd1","loss of interest",NA,NA,2,"often or 3-4 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd1","loss of interest",NA,NA,3,"almost always or 5-7 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd2","trouble concentrating",NA,NA,0,"very rarely or less than once per day",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd2","trouble concentrating",NA,NA,1,"sometimes or 1-2 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd2","trouble concentrating",NA,NA,2,"often or 3-4 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd2","trouble concentrating",NA,NA,3,"almost always or 5-7 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd3","feeling depressed",NA,NA,0,"very rarely or less than once per day",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd3","feeling depressed",NA,NA,1,"sometimes or 1-2 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd3","feeling depressed",NA,NA,2,"often or 3-4 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd3","feeling depressed",NA,NA,3,"almost always or 5-7 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd4","feeling tired or low in energy",NA,NA,0,"very rarely or less than once per day",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd4","feeling tired or low in energy",NA,NA,1,"sometimes or 1-2 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd4","feeling tired or low in energy",NA,NA,2,"often or 3-4 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd4","feeling tired or low in energy",NA,NA,3,"almost always or 5-7 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd5","feel pretty good",NA,NA,0,"very rarely or less than once per day",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd5","feel pretty good",NA,NA,1,"sometimes or 1-2 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd5","feel pretty good",NA,NA,2,"often or 3-4 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd5","feel pretty good",NA,NA,3,"almost always or 5-7 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd6","feeling afraid",NA,NA,0,"very rarely or less than once per day",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd6","feeling afraid",NA,NA,1,"sometimes or 1-2 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd6","feeling afraid",NA,NA,2,"often or 3-4 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd6","feeling afraid",NA,NA,3,"almost always or 5-7 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd7","trouble falling asleep",NA,NA,0,"very rarely or less than once per day",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd7","trouble falling asleep",NA,NA,1,"sometimes or 1-2 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd7","trouble falling asleep",NA,NA,2,"often or 3-4 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd7","trouble falling asleep",NA,NA,3,"almost always or 5-7 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd8","generally satisfied",NA,NA,0,"very rarely or less than once per day",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd8","generally satisfied",NA,NA,1,"sometimes or 1-2 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd8","generally satisfied",NA,NA,2,"often or 3-4 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd8","generally satisfied",NA,NA,3,"almost always or 5-7 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd9","feeling alone",NA,NA,0,"very rarely or less than once per day",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd9","feeling alone",NA,NA,1,"sometimes or 1-2 days during the past week",NA
"jeon_2019_cesd10","Korean version of the 10-item short-form Center for Epidemiological Studies Depression (CESD-10) scale","Korean",NA,NA,"jeon_2019_cesd10_1",NA,NA,"cesd9","feeling alone",NA,NA,2,"often or 3-4 days during the past week",NA
