"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","resp"
"dou2025_area","dou2025_area_1","area_1","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，我能体会到其中的美","When appreciating a work of art, I can perceive the beauty in it",NA,"strongly disagree",1
"dou2025_area","dou2025_area_1","area_1","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，我能体会到其中的美","When appreciating a work of art, I can perceive the beauty in it",NA,NA,2
"dou2025_area","dou2025_area_1","area_1","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，我能体会到其中的美","When appreciating a work of art, I can perceive the beauty in it",NA,NA,3
"dou2025_area","dou2025_area_1","area_1","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，我能体会到其中的美","When appreciating a work of art, I can perceive the beauty in it",NA,NA,4
"dou2025_area","dou2025_area_1","area_1","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，我能体会到其中的美","When appreciating a work of art, I can perceive the beauty in it",NA,"strongly agree",5
"dou2025_area","dou2025_area_1","area_2","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，我会为其和谐美而感动","When appreciating a work of art, I am moved by its harmonious beauty",NA,"strongly disagree",1
"dou2025_area","dou2025_area_1","area_2","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，我会为其和谐美而感动","When appreciating a work of art, I am moved by its harmonious beauty",NA,NA,2
"dou2025_area","dou2025_area_1","area_2","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，我会为其和谐美而感动","When appreciating a work of art, I am moved by its harmonious beauty",NA,NA,3
"dou2025_area","dou2025_area_1","area_2","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，我会为其和谐美而感动","When appreciating a work of art, I am moved by its harmonious beauty",NA,NA,4
"dou2025_area","dou2025_area_1","area_2","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，我会为其和谐美而感动","When appreciating a work of art, I am moved by its harmonious beauty",NA,"strongly agree",5
"dou2025_area","dou2025_area_1","area_3","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏音乐时，会被音乐所感动","When listening to music, I am moved by the music",NA,"strongly disagree",1
"dou2025_area","dou2025_area_1","area_3","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏音乐时，会被音乐所感动","When listening to music, I am moved by the music",NA,NA,2
"dou2025_area","dou2025_area_1","area_3","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏音乐时，会被音乐所感动","When listening to music, I am moved by the music",NA,NA,3
"dou2025_area","dou2025_area_1","area_3","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏音乐时，会被音乐所感动","When listening to music, I am moved by the music",NA,NA,4
