"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","resp"
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc1","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Sollte ich mich in einer Zwickmühle befinden, würden mir viele Auswege einfallen.","If I should find myself in a jam, I could think of many ways to get out of it.",NA,"strongly disagree",1
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc1","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Sollte ich mich in einer Zwickmühle befinden, würden mir viele Auswege einfallen.","If I should find myself in a jam, I could think of many ways to get out of it.",NA,NA,2
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc1","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Sollte ich mich in einer Zwickmühle befinden, würden mir viele Auswege einfallen.","If I should find myself in a jam, I could think of many ways to get out of it.",NA,NA,3
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc1","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Sollte ich mich in einer Zwickmühle befinden, würden mir viele Auswege einfallen.","If I should find myself in a jam, I could think of many ways to get out of it.",NA,NA,4
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc1","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Sollte ich mich in einer Zwickmühle befinden, würden mir viele Auswege einfallen.","If I should find myself in a jam, I could think of many ways to get out of it.",NA,NA,5
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc1","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Sollte ich mich in einer Zwickmühle befinden, würden mir viele Auswege einfallen.","If I should find myself in a jam, I could think of many ways to get out of it.",NA,"strongly agree",6
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc2","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Im Moment betrachte ich mich als recht erfolgreich.","Right now, I see myself as being pretty successful.",NA,"strongly disagree",1
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc2","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Im Moment betrachte ich mich als recht erfolgreich.","Right now, I see myself as being pretty successful.",NA,NA,2
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc2","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Im Moment betrachte ich mich als recht erfolgreich.","Right now, I see myself as being pretty successful.",NA,NA,3
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc2","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Im Moment betrachte ich mich als recht erfolgreich.","Right now, I see myself as being pretty successful.",NA,NA,4
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc2","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Im Moment betrachte ich mich als recht erfolgreich.","Right now, I see myself as being pretty successful.",NA,NA,5
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc2","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Im Moment betrachte ich mich als recht erfolgreich.","Right now, I see myself as being pretty successful.",NA,"strongly agree",6
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc3","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Mir fallen viele Strategien ein, um meine derzeitigen Ziele zu erreichen.","I can think of many ways to reach my current goals.",NA,"strongly disagree",1
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc3","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Mir fallen viele Strategien ein, um meine derzeitigen Ziele zu erreichen.","I can think of many ways to reach my current goals.",NA,NA,2
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc3","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Mir fallen viele Strategien ein, um meine derzeitigen Ziele zu erreichen.","I can think of many ways to reach my current goals.",NA,NA,3
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc3","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Mir fallen viele Strategien ein, um meine derzeitigen Ziele zu erreichen.","I can think of many ways to reach my current goals.",NA,NA,4
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc3","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Mir fallen viele Strategien ein, um meine derzeitigen Ziele zu erreichen.","I can think of many ways to reach my current goals.",NA,NA,5
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc3","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Mir fallen viele Strategien ein, um meine derzeitigen Ziele zu erreichen.","I can think of many ways to reach my current goals.",NA,"strongly agree",6
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc4","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Ich freue mich auf das Leben, das noch vor mir liegt.","I am looking forward to the life ahead of me.",NA,"strongly disagree",1
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc4","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Ich freue mich auf das Leben, das noch vor mir liegt.","I am looking forward to the life ahead of me.",NA,NA,2
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc4","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Ich freue mich auf das Leben, das noch vor mir liegt.","I am looking forward to the life ahead of me.",NA,NA,3
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc4","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Ich freue mich auf das Leben, das noch vor mir liegt.","I am looking forward to the life ahead of me.",NA,NA,4
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc4","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Ich freue mich auf das Leben, das noch vor mir liegt.","I am looking forward to the life ahead of me.",NA,NA,5
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc4","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Ich freue mich auf das Leben, das noch vor mir liegt.","I am looking forward to the life ahead of me.",NA,"strongly agree",6
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc5","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Die Zukunft wird für mich viel Gutes mit sich bringen.","The future holds a lot of good in store for me.",NA,"strongly disagree",1
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc5","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Die Zukunft wird für mich viel Gutes mit sich bringen.","The future holds a lot of good in store for me.",NA,NA,2
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc5","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Die Zukunft wird für mich viel Gutes mit sich bringen.","The future holds a lot of good in store for me.",NA,NA,3
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc5","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Die Zukunft wird für mich viel Gutes mit sich bringen.","The future holds a lot of good in store for me.",NA,NA,4
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc5","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Die Zukunft wird für mich viel Gutes mit sich bringen.","The future holds a lot of good in store for me.",NA,NA,5
"dudasova_2021_cpc12_study3","dudasova_2021_cpc12_study3_1","cpc5","Compound Psychological Capital Scale (CPC-12)","German",NA,NA,"Die Zukunft wird für mich viel Gutes mit sich bringen.","The future holds a lot of good in store for me.",NA,"strongly agree",6
