"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"peters_2025_si_intention","peters_2025_si_intention_1","food","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): self-isolation intention checklist (siIntention)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","What would change?",NA,"I would stop leaving the house for food, medicine, or healthcare",NA,NA,0
"peters_2025_si_intention","peters_2025_si_intention_1","food","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): self-isolation intention checklist (siIntention)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","What would change?",NA,"I would stop leaving the house for food, medicine, or healthcare",NA,NA,1
"peters_2025_si_intention","peters_2025_si_intention_1","shops","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): self-isolation intention checklist (siIntention)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","What would change?",NA,"I would stop leaving the house for other shops or services",NA,NA,0
"peters_2025_si_intention","peters_2025_si_intention_1","shops","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): self-isolation intention checklist (siIntention)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","What would change?",NA,"I would stop leaving the house for other shops or services",NA,NA,1
"peters_2025_si_intention","peters_2025_si_intention_1","famly","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): self-isolation intention checklist (siIntention)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","What would change?",NA,"I would stop visiting family",NA,NA,0
"peters_2025_si_intention","peters_2025_si_intention_1","famly","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): self-isolation intention checklist (siIntention)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","What would change?",NA,"I would stop visiting family",NA,NA,1
"peters_2025_si_intention","peters_2025_si_intention_1","frnds","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): self-isolation intention checklist (siIntention)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","What would change?",NA,"I would stop visiting friends",NA,NA,0
"peters_2025_si_intention","peters_2025_si_intention_1","frnds","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): self-isolation intention checklist (siIntention)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","What would change?",NA,"I would stop visiting friends",NA,NA,1
"peters_2025_si_intention","peters_2025_si_intention_1","sport","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): self-isolation intention checklist (siIntention)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","What would change?",NA,"I would stop outdoor walks or exercise",NA,NA,0
"peters_2025_si_intention","peters_2025_si_intention_1","sport","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): self-isolation intention checklist (siIntention)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","What would change?",NA,"I would stop outdoor walks or exercise",NA,NA,1
