"IRW item","source col (study1/3)","source col (study2)","SHIPPED item_text","source .sav variable label (verbatim)","match","option_text (resp:label)"
"LOC_01","LOC01","LOC1","Whether or not I get to be a leader depends mostly on my ability.","1. Whether or not I get to be a leader depends mostly on my ability.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_02","LOC02","LOC2","To a great extent my life is controlled by accidental happenings.","2. To a great extent my life is controlled by accidental happenings.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_03","LOC03","LOC3","I feel like what happens in my life is mostly determined by powerful people.","3. I feel like what happens in my life is mostly determined by powerful people.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_04","LOC04","LOC4","Whether or not I get into a car accident depends mostly on how good a driver I am.","4. Whether or not I get into a car accident depends mostly on how good a driver I am.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_05","LOC05","LOC5","When I make plans, I am almost certain to make them work.","5. When I make plans, I am almost certain to make them work.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_06","LOC06","LOC6","Often there is no chance of protecting my personal interests from bad luck.","6. Often there is no chance of protecting my personal interests from bad luck.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_07","LOC07","LOC7","When I get what I want, it’s usually because I’m lucky.","7. When I get what I want, it’s usually because I’m lucky.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_08","LOC08","LOC8","Although I might have good ability, I will not be given leadership responsibility without appealing to those in positions of power.","8. Although I might have good ability, I will not be given leadership responsibility without appealing to those in positions of power.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_09","LOC09","LOC9","How many friends I have depends on how nice a person I am.","9. How many friends I have depends on how nice a person I am.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_10","LOC10","LOC10","I have often found that what is going to happen will happen.","10. I have often found that what is going to happen will happen.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_11","LOC11","LOC11","My life is chiefly controlled by powerful others.","11. My life is chiefly controlled by powerful others.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_12","LOC12","LOC12","Whether or not I get into a car accident is mostly a matter of luck.","12. Whether or not I get into a car accident is mostly a matter of luck.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_13","LOC13","LOC13","People like myself have very little chance of protecting our personal interests when they conflict with those of strong pressure groups.","13. People like myself have very little chance of protecting our personal interests when they conflict with those of strong pressure groups.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_14","LOC14","LOC14","It’s not always wise for me to plan too far ahead because many things turn out to be a matter of good or bad fortune.","14. It’s not always wise for me to plan too far ahead because many things turn out to be a matter of good or bad fortune.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_15","LOC15","LOC15","Getting what I want requires pleasing those people above me.","15. Getting what I want requires pleasing those people above me.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_16","LOC16","LOC16","Whether or not I get to be a leader depends on whether I’m lucky enough to be in the right place at the right time.","16. Whether or not I get to be a leader depends on whether I’m lucky enough to be in the right place at the right time.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_17","LOC17","LOC17","If important people were to decide they didn’t like me, I probably wouldn’t make many friends.","17. If important people were to decide they didn’t like me, I probably wouldn’t make many friends.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_18","LOC18","LOC18","I can pretty much determine what will happen in my life.","18. I can pretty much determine what will happen in my life.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_19","LOC19","LOC19","I am usually able to protect my personal interests.","19. I am usually able to protect my personal interests.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_20","LOC20","LOC20","Whether or not I get into a car accident depends mostly on the other driver.","20. Whether or not I get into a car accident depends mostly on the other driver.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_21","LOC21","LOC21","When I get what I want, it’s usually because I worked hard for it.","21. When I get what I want, it’s usually because I worked hard for it.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_22","LOC22","LOC22","In order to have my plans work, I make sure that they fit in with the desires of people who have power over me.","22. In order to have my plans work, I make sure that they fit in with the desires of people who have power over me.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_23","LOC23","LOC23","My life is determined by my own actions.","23. My life is determined by my own actions.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
"LOC_24","LOC24","LOC24","It’s chiefly a matter of fate whether or not I have a few friends or many friends.","24. It’s chiefly a matter of fate whether or not I have a few friends or many friends.","yes","1=Strongly disagree | 2=Somewhat disagree | 3=Slightly disagree | 4=Slightly agree | 5=Somewhat agree | 6=Strongly agree"
