"item code","SHIPPED item_text","resp","SHIPPED option_text","raw S1 file label","count in raw S1 file","count in live IRW table","match"
"item_simple_decisions","How confident are you in AI's ability to make simple decisions (e.g., recommending movies, suggesting products)?","1","Not confident","not confident","25","25","ok"
"item_simple_decisions","How confident are you in AI's ability to make simple decisions (e.g., recommending movies, suggesting products)?","2","Neutral","neutral","83","83","ok"
"item_simple_decisions","How confident are you in AI's ability to make simple decisions (e.g., recommending movies, suggesting products)?","3","Somewhat confident","somewhat confident","156","156","ok"
"item_simple_decisions","How confident are you in AI's ability to make simple decisions (e.g., recommending movies, suggesting products)?","4","Very confident","very confident","71","71","ok"
"item_complex_decisions","How confident are you in AI's ability to perform complex decision-making (e.g., making medical diagnoses, legal judgments)?","1","Not confident","not confident","84","84","ok"
"item_complex_decisions","How confident are you in AI's ability to perform complex decision-making (e.g., making medical diagnoses, legal judgments)?","2","Neutral","neutral","94","94","ok"
"item_complex_decisions","How confident are you in AI's ability to perform complex decision-making (e.g., making medical diagnoses, legal judgments)?","3","Somewhat confident","somewhat confident","112","112","ok"
"item_complex_decisions","How confident are you in AI's ability to perform complex decision-making (e.g., making medical diagnoses, legal judgments)?","4","Very confident","very confident","45","45","ok"
"item_memory_recall","How confident are you in AI's ability to perform memory recall tasks (e.g., remembering passwords, recalling historical facts)?","1","Not confident","not confident","27","27","ok"
"item_memory_recall","How confident are you in AI's ability to perform memory recall tasks (e.g., remembering passwords, recalling historical facts)?","2","Neutral","neutral","71","71","ok"
"item_memory_recall","How confident are you in AI's ability to perform memory recall tasks (e.g., remembering passwords, recalling historical facts)?","3","Somewhat confident","somewhat confident","124","124","ok"
"item_memory_recall","How confident are you in AI's ability to perform memory recall tasks (e.g., remembering passwords, recalling historical facts)?","4","Very confident","very confident","113","113","ok"
"item_math_problem_solving","How confident are you in AI's ability to solve complex problems (e.g., solving mathematical equations, optimizing logistical routes)?","1","Not confident","not confident","21","21","ok"
"item_math_problem_solving","How confident are you in AI's ability to solve complex problems (e.g., solving mathematical equations, optimizing logistical routes)?","2","Neutral","neutral","74","74","ok"
"item_math_problem_solving","How confident are you in AI's ability to solve complex problems (e.g., solving mathematical equations, optimizing logistical routes)?","3","Somewhat confident","somewhat confident","145","145","ok"
"item_math_problem_solving","How confident are you in AI's ability to solve complex problems (e.g., solving mathematical equations, optimizing logistical routes)?","4","Very confident","very confident","95","95","ok"
