"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","item_text_translated","option_text_translated"
"chile_2023_social-welfare-survey_h","main","h1","Chile CASEN community safety ratings",NA,NA,"¿Cuántas veces ha sido víctima de un delito, como asalto o robo?",NA,"Nunca",1,"How many times have you been a victim of a crime such as assault or robbery?","Never"
"chile_2023_social-welfare-survey_h","main","h1","Chile CASEN community safety ratings",NA,NA,"¿Cuántas veces ha sido víctima de un delito, como asalto o robo?",NA,"No sabe",NA,"How many times have you been a victim of a crime such as assault or robbery?","Don't know"
"chile_2023_social-welfare-survey_h","main","h1","Chile CASEN community safety ratings",NA,NA,"¿Cuántas veces ha sido víctima de un delito, como asalto o robo?",NA,"Más de una vez",3,"How many times have you been a victim of a crime such as assault or robbery?","More than once"
"chile_2023_social-welfare-survey_h","main","h1","Chile CASEN community safety ratings",NA,NA,"¿Cuántas veces ha sido víctima de un delito, como asalto o robo?",NA,"No responde",NA,"How many times have you been a victim of a crime such as assault or robbery?","No response"
"chile_2023_social-welfare-survey_h","main","h1","Chile CASEN community safety ratings",NA,NA,"¿Cuántas veces ha sido víctima de un delito, como asalto o robo?",NA,"Una vez",2,"How many times have you been a victim of a crime such as assault or robbery?","Once"
"chile_2023_social-welfare-survey_h","main","h2_a","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Cuando está en plazas,parques o espacios naturales",NA,"No sabe",NA,"How safe do you feel: When you are in plazas parks or natural spaces?","Don't know"
"chile_2023_social-welfare-survey_h","main","h2_a","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Cuando está en plazas,parques o espacios naturales",NA,"No responde",NA,"How safe do you feel: When you are in plazas parks or natural spaces?","No response"
"chile_2023_social-welfare-survey_h","main","h2_a","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Cuando está en plazas,parques o espacios naturales",NA,"Nada",1,"How safe do you feel: When you are in plazas parks or natural spaces?","Not at all"
"chile_2023_social-welfare-survey_h","main","h2_a","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Cuando está en plazas,parques o espacios naturales",NA,"Algo",3,"How safe do you feel: When you are in plazas parks or natural spaces?","Somewhat"
"chile_2023_social-welfare-survey_h","main","h2_a","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Cuando está en plazas,parques o espacios naturales",NA,"Poca",2,"How safe do you feel: When you are in plazas parks or natural spaces?","A little"
"chile_2023_social-welfare-survey_h","main","h2_a","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Cuando está en plazas,parques o espacios naturales",NA,"Bastante",4,"How safe do you feel: When you are in plazas parks or natural spaces?","Fairly"
"chile_2023_social-welfare-survey_h","main","h2_a","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Cuando está en plazas,parques o espacios naturales",NA,"Mucha",5,"How safe do you feel: When you are in plazas parks or natural spaces?","A lot"
"chile_2023_social-welfare-survey_h","main","h2_b","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Caminando de día por calles o caminos",NA,"Mucha",5,"How safe do you feel: Walking during the day through streets or paths?","A lot"
"chile_2023_social-welfare-survey_h","main","h2_b","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Caminando de día por calles o caminos",NA,"No sabe",NA,"How safe do you feel: Walking during the day through streets or paths?","Don't know"
"chile_2023_social-welfare-survey_h","main","h2_b","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Caminando de día por calles o caminos",NA,"Nada",1,"How safe do you feel: Walking during the day through streets or paths?","Not at all"
"chile_2023_social-welfare-survey_h","main","h2_b","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Caminando de día por calles o caminos",NA,"Poca",2,"How safe do you feel: Walking during the day through streets or paths?","A little"
"chile_2023_social-welfare-survey_h","main","h2_b","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Caminando de día por calles o caminos",NA,"No responde",NA,"How safe do you feel: Walking during the day through streets or paths?","No response"
"chile_2023_social-welfare-survey_h","main","h2_b","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Caminando de día por calles o caminos",NA,"Algo",3,"How safe do you feel: Walking during the day through streets or paths?","Somewhat"
"chile_2023_social-welfare-survey_h","main","h2_b","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Caminando de día por calles o caminos",NA,"Bastante",4,"How safe do you feel: Walking during the day through streets or paths?","Fairly"
