"itemtext_name","response_table","kind"
"alsecypiamh_wu_2022_cps","ALSECYPIAMH_WU_2022_CPS","case_mismatch"
"alsecypiamh_wu_2022_empathy","ALSECYPIAMH_WU_2022_Empathy","case_mismatch"
"alsecypiamh_wu_2022_nei","ALSECYPIAMH_WU_2022_NEI","case_mismatch"
"alsecypiamh_wu_2022_pei","ALSECYPIAMH_WU_2022_PEI","case_mismatch"
"alsecypiamh_wu_2022_pil","ALSECYPIAMH_WU_2022_PIL","case_mismatch"
"alsecypiamh_wu_2022_swemwbs","ALSECYPIAMH_WU_2022_SWEMWBS","case_mismatch"
"alsecypiamh_wu_2022_swls","ALSECYPIAMH_WU_2022_SWLS","case_mismatch"
"aspirations_sonmez_2022","Aspirations_Sonmez_2022","case_mismatch"
"bscs_fadplus_goto2021","BSCS_fadplus_goto2021","case_mismatch"
"cbi_rodriguez_2021","CBI_Rodriguez_2021","case_mismatch"
"coach_chen_2022_hdrs","COACH_Chen_2022_HDRS","case_mismatch"
"coach_chen_2022_phq9","COACH_Chen_2022_PHQ9","case_mismatch"
"eeedprm_bulut_2021","EEEDPRM_Bulut_2021","case_mismatch"
"emsc_kuan-chin_2023","EMSC_Kuan-chin_2023","case_mismatch"
"faces_spanish_vegas_2022_faces","FACES_Spanish_Vegas_2022_FACES","case_mismatch"
"faces_spanish_vegas_2022_fss","FACES_Spanish_Vegas_2022_FSS","case_mismatch"
"facit_yount_2021_crqsasx","FACIT_YOUNT_2021_crqsasx","case_mismatch"
"facit_yount_2021_hadsx","FACIT_YOUNT_2021_hadsx","case_mismatch"
"fedsp_trzcinska_2023_prd","FEDSP_Trzcinska_2023_PRD","case_mismatch"
"fedsp_trzcinska_2023_pspcsa","FEDSP_Trzcinska_2023_PSPCSA","case_mismatch"
"fedsp_trzcinska_2023_smsd","FEDSP_Trzcinska_2023_SMSD","case_mismatch"
"ffm_agr","ffm_AGR","case_mismatch"
"ffm_csn","ffm_CSN","case_mismatch"
"ffm_est","ffm_EST","case_mismatch"
"ffm_ext","ffm_EXT","case_mismatch"
"ffm_opn","ffm_OPN","case_mismatch"
"fivpei_perrig_2023_imi","FIVPEI_Perrig_2023_IMI","case_mismatch"
"fivpei_perrig_2023_pxi","FIVPEI_Perrig_2023_PXI","case_mismatch"
"heard_roch_2022_cope","HEARD_Roch_2022_COPE","case_mismatch"
"heard_roch_2022_idss","HEARD_Roch_2022_IDSS","case_mismatch"
"heard_roch_2022_k6","HEARD_Roch_2022_K6","case_mismatch"
"heard_roch_2022_swlpwi","HEARD_Roch_2022_SWLPWI","case_mismatch"
"heard_roch_2022_whodas","HEARD_Roch_2022_WHODAS","case_mismatch"
"idcr_martinez_2023_story_recall_1","idcr_martinez_2023_Story_Recall_1","case_mismatch"
"idcr_martinez_2023_story_recall_2","idcr_martinez_2023_Story_Recall_2","case_mismatch"
"idcr_martinez_2023_story_recall_3","idcr_martinez_2023_Story_Recall_3","case_mismatch"
"kfcovid_fear_li2020","kfcovid_fear_Li2020","case_mismatch"
"kfcovid_pss_li2020","kfcovid_pss_Li2020","case_mismatch"
"lshs-e_quidaja_2022","LSHS-E_Quidaja_2022","case_mismatch"
"mpsycho_rmotivation","mpsycho_Rmotivation","case_mismatch"
"namprb_siwiak_2024_aot","NAMPRB_Siwiak_2024_AOT","case_mismatch"
"namprb_siwiak_2024_bsr10","NAMPRB_Siwiak_2024_BSR10","case_mismatch"
"namprb_siwiak_2024_desrpl","NAMPRB_Siwiak_2024_DESRPL","case_mismatch"
"namprb_siwiak_2024_gcbs","NAMPRB_Siwiak_2024_GCBS","case_mismatch"
"namprb_siwiak_2024_kon2066","NAMPRB_Siwiak_2024_KON2066","case_mismatch"
"namprb_siwiak_2024_kop20","NAMPRB_Siwiak_2024_KOP20","case_mismatch"
"narqing","NARQing","case_mismatch"
"os_tbmwtfs_schubert_2023_acs","OS_TBMWTFS_Schubert_2023_ACS","case_mismatch"
"os_tbmwtfs_schubert_2023_bmw3","OS_TBMWTFS_Schubert_2023_BMW3","case_mismatch"
"os_tbmwtfs_schubert_2023_cerq","OS_TBMWTFS_Schubert_2023_CERQ","case_mismatch"
"os_tbmwtfs_schubert_2023_dmw","OS_TBMWTFS_Schubert_2023_DMW","case_mismatch"
"os_tbmwtfs_schubert_2023_ipip","OS_TBMWTFS_Schubert_2023_IPIP","case_mismatch"
"os_tbmwtfs_schubert_2023_maas","OS_TBMWTFS_Schubert_2023_MAAS","case_mismatch"
"pezzuti_2025_coolpeople_main_big5_southkorea","pezzuti_2025_coolpeople_main_big5_SouthKorea","case_mismatch"
"pezzuti_2025_coolpeople_main_collectivism_mexico_chile","pezzuti_2025_coolpeople_main_collectivism_Mexico_Chile","case_mismatch"
"pezzuti_2025_coolpeople_main_collectivism_usa","pezzuti_2025_coolpeople_main_collectivism_USA","case_mismatch"
"pezzuti_2025_coolpeople_main_individualism_usa","pezzuti_2025_coolpeople_main_individualism_USA","case_mismatch"
"pezzuti_2025_coolpeople_main_masculinity_chile","pezzuti_2025_coolpeople_main_masculinity_Chile","case_mismatch"
"pezzuti_2025_coolpeople_main_materialism_chile","pezzuti_2025_coolpeople_main_materialism_Chile","case_mismatch"
"pezzuti_2025_coolpeople_main_powerdistance_usa_chile","pezzuti_2025_coolpeople_main_powerdistance_USA_Chile","case_mismatch"
