table,reason
fivpei_perrig_2023_attdiff,"Early bulk commit, no provenance row anywhere: whether to remove the entry or supply the text is an open decision, deliberately out of scope of irw#1985."
namprb_siwiak_2024_ssub,"Early bulk commit, no provenance row anywhere: whether to remove the entry or supply the text is an open decision, deliberately out of scope of irw#1985."
oxfordcovid_xue_2024_at,"Early bulk commit, no provenance row anywhere: whether to remove the entry or supply the text is an open decision, deliberately out of scope of irw#1985."
paampsmartsud_saba_2023_ders,"Early bulk commit, no provenance row anywhere: whether to remove the entry or supply the text is an open decision, deliberately out of scope of irw#1985."
singh_2025_identity_pba,"Early bulk commit, no provenance row anywhere: whether to remove the entry or supply the text is an open decision, deliberately out of scope of irw#1985."
socialstereotype_hughes_2025_judgement,"Early bulk commit, no provenance row anywhere: whether to remove the entry or supply the text is an open decision, deliberately out of scope of irw#1985."
codella_2020_school_efficacy,"Item text uploaded 2026-09-19 to the irw_text DRAFT and confirmed by ben-domingue; liveness here is read from live_tables.csv, which lists released tables only, so the entry reads as an orphan until the next version is released. Same for the response tables, uploaded the same day (automated_finding/2026-09-16). Resolves on release -- no action owed."
qi_2024_phq9,"Item text uploaded 2026-09-19 to the irw_text DRAFT and confirmed by ben-domingue; liveness here is read from live_tables.csv, which lists released tables only, so the entry reads as an orphan until the next version is released. Same for the response tables, uploaded the same day (automated_finding/2026-09-16). Resolves on release -- no action owed."
qi_2024_mspss,"Item text uploaded 2026-09-19 to the irw_text DRAFT and confirmed by ben-domingue; liveness here is read from live_tables.csv, which lists released tables only, so the entry reads as an orphan until the next version is released. Same for the response tables, uploaded the same day (automated_finding/2026-09-16). Resolves on release -- no action owed."
qi_2024_somatic,"Item text uploaded 2026-09-19 to the irw_text DRAFT and confirmed by ben-domingue; liveness here is read from live_tables.csv, which lists released tables only, so the entry reads as an orphan until the next version is released. Same for the response tables, uploaded the same day (automated_finding/2026-09-16). Resolves on release -- no action owed."
