"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"ccapsvtskhpacr_mercedes_2023_tsk","PASS",17,17,TRUE,TRUE,FALSE,TRUE,0,0,""
"chile_2023_social-welfare-survey_h","PASS",13,13,TRUE,TRUE,FALSE,TRUE,0,0,""
"double_marking_steele_2022","WARN",6,6,TRUE,TRUE,FALSE,TRUE,0,0,"1 item(s) have live resp values with no option_text row: presentation(0,1)"
"dumas_organisciak_2022","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"eammi_grahe_2018_npi","WARN",13,13,TRUE,TRUE,FALSE,TRUE,100,0,"100% of rows have blank item_text"
"eammi_grahe_2018_socmedia","WARN",12,12,TRUE,TRUE,FALSE,TRUE,0,58.9,"row-count anomaly (possible item-code conflation or missingness skew), median=3179: SocMedia_bias_dummy | 58.9% of rows have blank option_text"
"gilbert_meta_35","WARN",12,12,TRUE,TRUE,FALSE,TRUE,23.8,4.8,"23.8% of rows have blank item_text | 4.8% of rows have blank option_text | 2 of 12 items have NO option_text rows while others do (values_k, values_l) | 2 item(s) have live resp values with no option_text row: values_k(1,2,3,4), values_l(1,2,3,4)"
"gilbert_meta_42","WARN",20,20,TRUE,TRUE,FALSE,TRUE,11.8,47.1,"11.8% of rows have blank item_text | 47.1% of rows have blank option_text | 11 of 20 items have NO option_text rows while others do (life_satisfaction_a, life_satisfaction_b, life_satisfaction_c, life_satisfaction_d, locus_of_control_a, locus_of_control_b, ...) | 17 item(s) have live resp values with no option_text row: life_satisfaction_a(1,2,3,4,5,6), life_satisfaction_b(1,2,3,4,5,6), life_satisfaction_c(1,2,3,4,5,6), life_satisfaction_d(1,2,3,4,5,6), locus_of_control_a(0,1,2,3,4,5,6,7), locus_of_control_b(0,1,2,3,4,5,6,7), ..."
"gilbert_meta_78","WARN",189,189,TRUE,TRUE,FALSE,TRUE,0,100,"row-count anomaly (possible item-code conflation or missingness skew), median=955: ppvt_001, ppvt_002, ppvt_003, ppvt_004, ppvt_005, ppvt_006, ppvt_007, ppvt_008, ppvt_009, ppvt_010, ... | 100% of rows have blank option_text"
"gilbert_meta_80","WARN",36,36,TRUE,TRUE,FALSE,TRUE,0,100,"row-count anomaly (possible item-code conflation or missingness skew), median=1667.5: wj_pv_01, wj_pv_02, wj_pv_03, wj_pv_04, wj_pv_27, wj_pv_28, wj_pv_29, wj_pv_30, wj_pv_31, wj_pv_33, ... | 100% of rows have blank option_text"
"preschool_sel_akt","WARN",65,65,TRUE,TRUE,FALSE,TRUE,1.5,0,"row-count anomaly (possible item-code conflation or missingness skew), median=474: akt1_1s_t1, akt1_2s_t1, akt1_3s_t1, akt1_4s_t1, akt2_1s_t1, akt2_2s_t1, akt2_3s_t1, akt2_4s_t1, akt3_1s_t1, akt3_2s_t1, ... | 1.5% of rows have blank item_text"
"shu_2025_translation_eib","PASS",7,7,TRUE,TRUE,FALSE,TRUE,0,0,""
"singh_2025_identity_cse","PASS",16,16,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"singh_2025_identity_pit","PASS",4,4,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"sv-maia2_randelovic_2021_erq","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,40,"40% of rows have blank option_text"
"sv-maia2_randelovic_2021_hexaco60","PASS",60,60,TRUE,TRUE,FALSE,TRUE,0,0,""
"threat_isler_2024_exp4_cog_crt","WARN",3,3,TRUE,TRUE,FALSE,TRUE,0,66.7,"66.7% of rows have blank option_text | 2 of 3 items have NO option_text rows while others do (crt2, crt3)"
