"IRW item code","reconstructed original DSI item #","subscale (published key)","SHIPPED item_text","published Appendix text","exact match?"
"dsi_1","1","Emotional Reactivity","People have remarked that I'm overly emotional.","People have remarked that I'm overly emotional.","yes"
"dsi_2","2","Emotional Cutoff","I have difficulty expressing my feelings to people I care for.","I have difficulty expressing my feelings to people I care for.","yes"
"dsi_3","3","Emotional Cutoff","I often feel inhibited around my family.","I often feel inhibited around my family.","yes"
"dsi_4","6","Emotional Reactivity","When someone close to me disappoints me, I withdraw from him or her for a time.","When someone close to me disappoints me, I withdraw from him or her for a time.","yes"
"dsi_5","8","Emotional Cutoff","I tend to distance myself when people get too close to me.","I tend to distance myself when people get too close to me.","yes"
"dsi_6","10","Emotional Reactivity","I wish that I weren't so emotional.","I wish that I weren't so emotional.","yes"
"dsi_7","12","Emotional Cutoff","My spouse or partner could not tolerate it if I were to express to him or her my true feelings about some things.","My spouse or partner could not tolerate it if I were to express to him or her my true feelings about some things.","yes"
"dsi_8","14","Emotional Reactivity","At times my feelings get the best of me and I have trouble thinking clearly.","At times my feelings get the best of me and I have trouble thinking clearly.","yes"
"dsi_9","16","Emotional Cutoff","I'm often uncomfortable when people get too close to me.","I'm often uncomfortable when people get too close to me.","yes"
"dsi_10","18","Emotional Reactivity","At times, I feel as if I'm riding an emotional roller coaster.","At times, I feel as if I'm riding an emotional roller coaster.","yes"
"dsi_11","20","Emotional Cutoff","I'm concerned about losing my independence in intimate relationships.","I'm concerned about losing my independence in intimate relationships.","yes"
"dsi_12","21","Emotional Reactivity","I'm overly sensitive to criticism.","I'm overly sensitive to criticism.","yes"
"dsi_13","24","Emotional Cutoff","I often feel that my spouse or partner wants too much from me.","I often feel that my spouse or partner wants too much from me.","yes"
"dsi_14","26","Emotional Reactivity","If I have had an argument with my spouse or partner, I tend to think about it all day.","If I have had an argument with my spouse or partner, I tend to think about it all day.","yes"
"dsi_15","28","Emotional Cutoff","When one of my relationships becomes very intense, I feel the urge to run away from it.","When one of my relationships becomes very intense, I feel the urge to run away from it,","CHECK"
"dsi_16","30","Emotional Reactivity","If someone is upset with me, I can't seem to let it go easily.","If someone is upset with me, I can't seem to let it go easily.","yes"
"dsi_17","32","Emotional Cutoff","I would never consider turning to any of my family members for emotional support.","I would never consider turning to any of my family members for emotional support.","yes"
"dsi_18","34","Emotional Reactivity","I'm very sensitive to being hurt by others.","I'm very sensitive to being hurt by others.","yes"
"dsi_19","36","Emotional Cutoff","When I'm with my spouse or partner, I often feel smothered.","When I'm with my spouse or partner, I often feel smothered.","yes"
"dsi_20","38","Emotional Reactivity","I often wonder about the kind of impression I create.","I often wonder about the kind of impression I create.","yes"
"dsi_21","39","Emotional Cutoff","When things go wrong, talking about them usually makes it worse.","When things go wrong, talking about them usually makes it worse.","yes"
"dsi_22","40","Emotional Reactivity","I feel things more intensely than others do.","I feel things more intensely than others do.","yes"
"dsi_23","42","Emotional Cutoff","Our relationship might be better if my spouse or partner would give me the space I need.","Our relationship might be better if my spouse or partner would give me the space I need.","yes"
