"IRW item","resp","SHIPPED option_text","source .sav value label (verbatim)","original NPI letter","match"
"NPI01","0","I don’t like it when I find myself manipulating people.","B-  I don’t like it when I find myself manipulating people.","B","yes"
"NPI01","1","I find it easy to manipulate people.","A-  I find it easy to manipulate people.","A","yes"
"NPI02","0","When people compliment me I get embarrassed.","A- When people compliment me I get embarrassed.","A","yes"
"NPI02","1","I know that I am a good person because everybody keeps telling me so.","B- I know that I am a good person because everybody keeps telling me so.","B","yes"
"NPI03","0","I don’t mind following orders.","B- I don’t mind following orders.","B","yes"
"NPI03","1","I like having authority over other people.","A- I like having authority over other people.","A","yes"
"NPI04","0","I usually get the respect I deserve.","B- I usually get the respect I deserve.","B","yes"
"NPI04","1","I insist upon getting the respect that is due me.","A- I insist upon getting the respect that is due me.","A","yes"
"NPI05","0","I don’t particularly like to show off my body.","A- I don’t particularly like to show off my body.","A","yes"
"NPI05","1","I like to show off my body.","B- I like to show off my body.","B","yes"
"NPI06","0","Power for its own sake doesn’t interest me.","B- Power for its own sake doesn’t interest me.","B","yes"
"NPI06","1","I have a strong will to power.","A- I have a strong will to power.","A","yes"
"NPI07","0","I like to do things for other people.","B- I like to do things for other people.","B","yes"
"NPI07","1","I expect a great deal from other people.","A- I expect a great deal from other people.","A","yes"
"NPI08","0","My body is nothing special.","A- My body is nothing special.","A","yes"
"NPI08","1","I like to look at my body.","B- I like to look at my body.","B","yes"
"NPI09","0","Being in authority doesn’t mean much to me.","A- Being in authority doesn’t mean much to me.","A","yes"
"NPI09","1","People always seem to recognize my authority.","B- People always seem to recognize my authority.","B","yes"
"NPI10","0","I will take my satisfactions as they come.","B- I will take my satisfactions as they come.","B","yes"
"NPI10","1","I will never be satisfied until I get all that I deserve.","A- I will never be satisfied until I get all that I deserve.","A","yes"
"NPI11","0","I try not to be a show off.","A- I try not to be a show off.","A","yes"
"NPI11","1","I will usually show off if I get the chance.","B- I will usually show off if I get the chance.","B","yes"
"NPI12","0","Leadership is a quality that takes a long time to develop.","B- Leadership is a quality that takes a long time to develop.","B","yes"
"NPI12","1","I am a born leader.","A- I am a born leader.","A","yes"
"NPI13","0","I am not particularly interested in looking at myself in the mirror.","B- I am not particularly interested in looking at myself in the mirror.","B","yes"
"NPI13","1","I like to look at myself in the mirror.","A- I like to look at myself in the mirror.","A","yes"
