"table","section_id","item","instrument","instructions","section_prompt","item_text","resp"
"gilbert_meta_78","main","ppvt_098","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","ankle",1
"gilbert_meta_78","main","ppvt_098","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","ankle",0
"gilbert_meta_78","main","ppvt_171","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","appliance",0
"gilbert_meta_78","main","ppvt_171","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","appliance",1
"gilbert_meta_78","main","ppvt_101","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","aquarium",1
"gilbert_meta_78","main","ppvt_101","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","aquarium",0
"gilbert_meta_78","main","ppvt_154","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","aquatic",1
"gilbert_meta_78","main","ppvt_154","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","aquatic",0
"gilbert_meta_78","main","ppvt_136","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","archaeologist",0
"gilbert_meta_78","main","ppvt_136","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","archaeologist",1
"gilbert_meta_78","main","ppvt_060","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","arrow",0
"gilbert_meta_78","main","ppvt_060","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","arrow",1
"gilbert_meta_78","main","ppvt_186","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","ascending",0
"gilbert_meta_78","main","ppvt_186","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","ascending",1
"gilbert_meta_78","main","ppvt_123","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","assisting",1
"gilbert_meta_78","main","ppvt_123","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","assisting",0
"gilbert_meta_78","main","ppvt_107","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","athlete",1
"gilbert_meta_78","main","ppvt_107","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","athlete",0
"gilbert_meta_78","main","ppvt_079","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","ax",1
"gilbert_meta_78","main","ppvt_079","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","ax",0
"gilbert_meta_78","main","ppvt_001","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","ball",0
"gilbert_meta_78","main","ppvt_001","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","ball",1
"gilbert_meta_78","main","ppvt_006","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","banana",0
"gilbert_meta_78","main","ppvt_006","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","banana",1
"gilbert_meta_78","main","ppvt_022","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","belt",1
"gilbert_meta_78","main","ppvt_022","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","belt",0
