"item","resp","item_text (blank: source has no stem)","option_text (verbatim four-statement group)"
"HAnx1","0","NA","I do not worry about my health."
"HAnx1","1","NA","I occasionally worry about my health."
"HAnx1","2","NA","I spend much of my time worrying about my health."
"HAnx1","3","NA","I spend most of my time worrying about my health."
"HAnx2","0","NA","I notice aches/pains less than most other people (of my age)."
"HAnx2","1","NA","I notice aches/pains as much as most other people (of my age)."
"HAnx2","2","NA","I notice aches/pains more than most other people (of my age)."
"HAnx2","3","NA","I am aware of aches/pains in my body all the time."
"HAnx3","0","NA","As a rule I am not aware of bodily sensations or changes."
"HAnx3","1","NA","Sometimes I am aware of bodily sensations or changes."
"HAnx3","2","NA","I am often aware of bodily sensations or changes."
"HAnx3","3","NA","I am constantly aware of bodily sensations or changes."
"HAnx4","0","NA","Resisting thoughts of illness is never a problem."
"HAnx4","1","NA","Most of the time I can resist thoughts of illness."
"HAnx4","2","NA","I try to resist thoughts of illness but am often unable to do so."
"HAnx4","3","NA","Thoughts of illness are so strong that I no longer even try to resist them."
"HAnx5","0","NA","As a rule I am not afraid that I have a serious illness."
"HAnx5","1","NA","I am sometimes afraid that I have a serious illness."
"HAnx5","2","NA","I am often afraid that I have a serious illness."
"HAnx5","3","NA","I am always afraid that I have a serious illness."
"HAnx6","0","NA","I do not have images (mental pictures) of myself being ill."
"HAnx6","1","NA","I occasionally have images of myself being ill."
"HAnx6","2","NA","I frequently have images of myself being ill."
"HAnx6","3","NA","I constantly have images of myself being ill."
"HAnx7","0","NA","I do not have any difficulty taking my mind off thoughts about my health."
"HAnx7","1","NA","I sometimes have difficulty taking my mind off thoughts about my health."
"HAnx7","2","NA","I often have difficulty in taking my mind off thoughts about my health."
"HAnx7","3","NA","Nothing can take my mind off thoughts about my health."
"HAnx8","0","NA","I am lastingly relieved if my doctor tells me there is nothing wrong."
"HAnx8","1","NA","I am initially relieved but the worries sometimes return later."
"HAnx8","2","NA","I am initially relieved but the worries always return later."
"HAnx8","3","NA","I am not relieved if my doctor tells me there is nothing wrong."
"HAnx9","0","NA","If I hear about an illness I never think I have it myself."
"HAnx9","1","NA","If I hear about an illness I sometimes think I have it myself."
"HAnx9","2","NA","If I hear about an illness I often think I have it myself."
"HAnx9","3","NA","If I hear about an illness I always think I have it myself."
"HAnx10","0","NA","If I have a bodily sensation or change I rarely wonder what it means."
"HAnx10","1","NA","If I have a bodily sensation or change I often wonder what it means."
"HAnx10","2","NA","If I have a bodily sensation or change I always wonder what it means."
"HAnx10","3","NA","If I have a bodily sensation or change I must know what it means."
"HAnx11","0","NA","I usually feel at very low risk for developing a serious illness."
"HAnx11","1","NA","I usually feel at fairly low risk for developing a serious illness."
"HAnx11","2","NA","I usually feel at moderate risk for developing a serious illness."
"HAnx11","3","NA","I usually feel at high risk for developing a serious illness."
"HAnx12","0","NA","I never think I have a serious illness."
"HAnx12","1","NA","I sometimes think I have a serious illness."
"HAnx12","2","NA","I often think I have a serious illness."
"HAnx12","3","NA","I usually think that I am seriously ill."
"HAnx13","0","NA","If I notice an unexplained bodily sensation I don't find it difficult to think about other things."
"HAnx13","1","NA","If I notice an unexplained bodily sensation I sometimes find it difficult to think about other things."
"HAnx13","2","NA","If I notice an unexplained bodily sensation I often find it difficult to think about other things."
"HAnx13","3","NA","If I notice an unexplained bodily sensation I always find it difficult to think about other things."
"HAnx14","0","NA","My family/friends would say I do not worry enough about my health."
"HAnx14","1","NA","My family/friends would say I have a normal attitude to my health."
"HAnx14","2","NA","My family/friends would say I worry too much about my health."
"HAnx14","3","NA","My family/friends would say I am a hypochondriac."
"HAnx15","0","NA","If I had a serious illness I would still be able to enjoy things in my life quite a lot."
"HAnx15","1","NA","If I had a serious illness I would still be able to enjoy things in my life a little."
"HAnx15","2","NA","If I had a serious illness I would be almost completely unable to enjoy things in my life."
"HAnx15","3","NA","If I had a serious illness I would be completely unable to enjoy life at all."
"HAnx16","0","NA","If I developed a serious illness there is a good chance that modern medicine would be able to cure me."
"HAnx16","1","NA","If I developed a serious illness there is a moderate chance that modern medicine would be able to cure me."
"HAnx16","2","NA","If I developed a serious illness there is a very small chance that modern medicine would be able to cure me."
"HAnx16","3","NA","If I developed a serious illness there is no chance that modern medicine would be able to cure me."
"HAnx17","0","NA","A serious illness would ruin some aspects of my life."
"HAnx17","1","NA","A serious illness would ruin many aspects of my life."
"HAnx17","2","NA","A serious illness would ruin almost every aspect of my life."
"HAnx17","3","NA","A serious illness would ruin every aspect of my life."
"HAnx18","0","NA","If I had a serious illness I would not feel that I had lost my dignity."
"HAnx18","1","NA","If I had a serious illness I would feel that I had lost a little of my dignity."
"HAnx18","2","NA","If I had a serious illness I would feel that I had lost quite a lot of my dignity."
"HAnx18","3","NA","If I had a serious illness I would feel that I had totally lost my dignity."
