"item","hdrs_item_no","item_text","itemtext_options","canonical_max","live_observed","live_counts","flag"
"HamD1Baixa",1,"Depressed mood (gloomy attitude, pessimism about the future, feeling of sadness, tendency to weep)","0=Absent | 1=Sadness, etc. | 2=Occasional weeping | 3=Frequent weeping | 4=Extreme symptoms",4,"0,1,2,3,4","0:6 1:61 2:67 3:59 4:98",""
"HamD2Baixa",2,"Feelings of guilt","0=Absent | 1=Self-reproach, feels he/she has let people down | 2=Ideas of guilt | 3=Present illness is a punishment; delusions of guilt | 4=Hallucinations of guilt",4,"0,1,2,3,4","0:79 1:58 2:107 3:33 4:14",""
"HamD3Baixa",3,"Suicide","0=Absent | 1=Feels life is not worth living | 2=Wishes he/she were dead | 3=Suicidal ideas or gestures | 4=Attempts at suicide",4,"0,1,2,3,4","0:49 1:22 2:45 3:85 4:90",""
"HamD4Baixa",4,"Insomnia - Initial (difficulty in falling asleep)","0=Absent | 1=Occasional | 2=Frequent",2,"0,1,2","0:82 1:55 2:154",""
"HamD5Baixa",5,"Insomnia - Middle (complains of being restless and disturbed during the night. Waking during the night.)","0=Absent | 1=Occasional | 2=Frequent",2,"0,1,2","0:101 1:68 2:121",""
"HamD6Baixa",6,"Insomnia - Delayed (waking in early hours of the morning and unable to fall asleep again)","0=Absent | 1=Occasional | 2=Frequent",2,"0,1,2,3,4","0:112 1:63 2:114 3:1 4:1","live exceeds canonical max -- stray values"
"HamD7Baixa",7,"Work and interests","0=No difficulty | 1=Feelings of incapacity, listlessness, indecision and vacillation | 2=Loss of interest in hobbies, decreased social activities | 3=Productivity decreased | 4=Unable to work. Stopped working because of present illness only. (Absence from work after treatment or recovery may rate a lower score).",4,"0,1,2,3,4","0:17 1:13 2:49 3:83 4:129",""
"HamD8Baixa",8,"Retardation (slowness of thought, speech, and activity; apathy; stupor.)","0=Absent | 1=Slight retardation at interview | 2=Obvious retardation at interview | 3=Interview difficult | 4=Complete stupor",4,"0,1,2,3,4","0:91 1:100 2:86 3:13 4:1",""
"HamD9Baixa",9,"Agitation (restlessness associated with anxiety.)","0=Absent | 1=Occasional | 2=Frequent | 3=(blank) | 4=(blank)",4,"0,1,2,3,4","0:159 1:89 2:28 3:14 4:1",""
"HamD10Baixa",10,"Anxiety - Psychic","0=No difficulty | 1=Tension and irritability | 2=Worrying about minor matters | 3=Apprehensive attitude | 4=Fears",4,"0,1,2,3,4","0:48 1:117 2:90 3:24 4:12",""
"HamD11Baixa",11,"Anxiety - Somatic (gastrointestinal, indigestion; cardiovascular, palpitation, headaches; respiratory, genito-urinary, etc.)","0=Absent | 1=Mild | 2=Moderate | 3=Severe | 4=Incapacitating",4,"0,1,2,3,4","0:72 1:80 2:110 3:28 4:1",""
"HamD12Baixa",12,"Somatic symptoms - Gastrointestinal (loss of appetite, heavy feeling in abdomen; constipation)","0=Absent | 1=Mild | 2=Severe",2,"0,1,2","0:109 1:131 2:51",""
"HamD13Baixa",13,"Somatic symptoms - General (heaviness in limbs, back or head; diffuse backache; loss of energy and fatiguability)","0=Absent | 1=Mild | 2=Severe",2,"0,1,2","0:70 1:144 2:77",""
"HamD14Baixa",14,"Genital symptoms (loss of libido, menstrual disturbances)","0=Absent | 1=Mild | 2=Severe",2,"0,1,2,3","0:89 1:56 2:145 3:1","live exceeds canonical max -- stray values"
"HamD15Baixa",15,"Hypochondriasis","0=Not present | 1=Self-absorption (bodily) | 2=Preoccupation with health | 3=Querulous attitude | 4=Hypochondriacal delusions",4,"0,1,2,3,4","0:136 1:43 2:86 3:21 4:5",""
"HamD16Baixa",16,"Weight loss","0=No weight loss | 1=Slight | 2=Obvious or severe",2,"0,1,2,3,4","0:154 1:49 2:82 3:5 4:1","live exceeds canonical max -- stray values"
"HamD17Baixa",17,"Insight (insight must be interpreted in terms of patient's understanding and background.)","0=No loss | 1=Partial or doubtful loss | 2=Loss of insight",2,"0,1,2","0:242 1:37 2:12",""
